OrderID,ProductID,Revenue
ORD-00083,P007,1961.26
ORD-00084,P005,1641.21
ORD-00085,P004,1016.92
ORD-00086,P009,149.88
ORD-00087,P006,2101.69
ORD-00088,P008,1299.01
ORD-00089,P001,494.33
ORD-00090,P004,1865.34
ORD-00091,P007,1773.92
ORD-00092,P007,1085.12
ORD-00093,P008,829.63
ORD-00094,P005,2083.75
ORD-00095,P005,2833.68
ORD-00096,P012,497.39
ORD-00097,P004,605.46
ORD-00098,P007,1965.78
ORD-00099,P007,349.76
ORD-00100,P007,2013.46
ORD-00101,P005,2556.69
ORD-00102,P006,1988.21
ORD-00103,P010,1616.34
ORD-00104,P010,2684.45
ORD-00105,P010,55.75
ORD-00106,P004,1631.89
ORD-00107,P004,73.12
ORD-00108,P003,117.46
ORD-00109,P007,2780.22
ORD-00110,P009,1853.95
ORD-00111,P006,2570.22
ORD-00112,P002,909.52
ORD-00113,P011,2923.18
ORD-00114,P010,1483.5
ORD-00115,P002,2159.16
ORD-00116,P007,2317.61
ORD-00117,P005,1446.88
ORD-00118,P002,2403.4
ORD-00119,P006,741.39
ORD-00120,P011,2832.48
ORD-00121,P010,549.15
ORD-00122,P004,1448.4
ORD-00123,P011,1541.32
ORD-00124,P010,1781.77
ORD-00125,P011,2804.33
ORD-00126,P008,1654.65
ORD-00127,P001,1518.94
ORD-00128,P001,1826.21
ORD-00129,P002,1271.25
ORD-00130,P009,1398.63
ORD-00131,P010,842.85
ORD-00132,P010,651.85
ORD-00133,P003,2370.49
ORD-00134,P011,1123.13
ORD-00135,P001,398.71
ORD-00136,P002,2258.61
ORD-00137,P008,2115.09
ORD-00138,P012,1539.73
ORD-00139,P006,2988.17
ORD-00140,P002,1881.92
ORD-00141,P010,2387.9
ORD-00142,P002,575.2
ORD-00143,P010,1458.96
ORD-00144,P009,2002.22
ORD-00145,P008,2819.8
ORD-00146,P002,1776.36
ORD-00147,P008,597.61
ORD-00148,P002,1946.94
ORD-00149,P012,1868.09
ORD-00150,P007,224.03
ORD-00151,P009,1187.78
ORD-00152,P012,1271.12
ORD-00153,P011,2915.6
ORD-00154,P001,2226.49
ORD-00155,P010,1608.03
ORD-00156,P007,1997.33
ORD-00157,P001,1013.8
ORD-00158,P012,491.81
ORD-00159,P005,2374.06
ORD-00160,P012,288.24
ORD-00161,P004,640.84
ORD-00162,P011,1269.61
ORD-00163,P008,2523.45
ORD-00164,P003,82.81
ORD-00165,P008,2645.31
ORD-00166,P007,1910.05
ORD-00167,P005,2307.7
ORD-00168,P008,1677.93
ORD-00169,P010,54.77
ORD-00170,P004,1307.87
ORD-00171,P003,2672.77
ORD-00172,P007,1338.37
ORD-00173,P002,2295.7
ORD-00174,P007,1135.09
ORD-00175,P004,786.28
ORD-00176,P007,2038.26
ORD-00177,P010,1750.16
ORD-00178,P010,1890.17
ORD-00179,P005,1600.13
ORD-00180,P001,57.27
ORD-00181,P003,357.79
ORD-00182,P001,624.29
ORD-00183,P012,2363.87
ORD-00184,P012,2902.05
ORD-00185,P011,2703.43
ORD-00186,P009,2519.61
ORD-00187,P006,1868.7
ORD-00188,P002,1255.12
ORD-00189,P007,2480.83
ORD-00190,P011,1174.08
ORD-00191,P012,927.14
ORD-00192,P007,733.53
ORD-00193,P011,371.27
ORD-00194,P002,1343.74
ORD-00195,P011,2249.54
ORD-00196,P007,499.9
ORD-00197,P004,2533.83
ORD-00198,P001,283.81
ORD-00199,P012,1157.04
ORD-00200,P010,649.23
ORD-00201,P009,2738.42
ORD-00202,P011,453.23
ORD-00203,P004,167.82
ORD-00204,P006,520.24
ORD-00205,P002,1354.91
ORD-00206,P003,2972.02
ORD-00207,P011,1690.04
ORD-00208,P005,392.8
ORD-00209,P005,726.94
ORD-00210,P010,1501.94
ORD-00211,P012,914.44
ORD-00212,P002,644.91
ORD-00213,P006,63.9
ORD-00214,P006,1806.61
ORD-00215,P012,663.17
ORD-00216,P002,1897.27
ORD-00217,P008,1308.6
ORD-00218,P008,439.7
ORD-00219,P009,333.93
ORD-00220,P011,2737.36
ORD-00221,P010,943.39
ORD-00222,P010,2852.99
ORD-00223,P012,234.16
ORD-00224,P011,346.64
ORD-00225,P003,762.66
ORD-00226,P010,2048.41
ORD-00227,P004,106.76
ORD-00228,P011,2960.97
ORD-00229,P004,263.56
ORD-00230,P007,1985.72
ORD-00231,P002,307.49
ORD-00232,P007,1863.95
ORD-00233,P008,913.79
ORD-00234,P008,2491.39
ORD-00235,P005,2759.01
ORD-00236,P006,939.36
ORD-00237,P008,1072.37
ORD-00238,P006,2249.85
ORD-00239,P001,95.49
ORD-00240,P008,556.74
ORD-00241,P009,2279.63
ORD-00242,P002,1280.1
ORD-00243,P010,1768.28
ORD-00244,P009,2989.97
ORD-00245,P010,1039.06
ORD-00246,P007,2886.15
ORD-00247,P003,2793.62
ORD-00248,P007,477.81
ORD-00249,P009,1465.54
ORD-00250,P003,530.07
ORD-00251,P009,661.07
ORD-00252,P004,1496.65
ORD-00253,P001,2365.3
ORD-00254,P006,1846.02
ORD-00255,P004,2306.28
ORD-00256,P006,1787.63
ORD-00257,P009,1200.96
ORD-00258,P010,130.14
ORD-00259,P009,995.32
ORD-00260,P008,2907.41
ORD-00261,P005,2060.52
ORD-00262,P001,2664.79
ORD-00263,P007,1802.39
ORD-00264,P002,2296.34
ORD-00265,P006,1177.51
ORD-00266,P008,1241.87
ORD-00267,P006,757.94
ORD-00268,P006,2169.85
ORD-00269,P006,1948.28
ORD-00270,P012,1120.31
ORD-00271,P010,1420.77
ORD-00272,P003,465.81
ORD-00273,P003,1638.31
ORD-00274,P003,110.81
ORD-00275,P007,1369.83
ORD-00276,P003,1241.92
ORD-00277,P004,2334.27
ORD-00278,P012,435.93
ORD-00279,P010,476.79
ORD-00280,P010,1716.35
ORD-00281,P004,74.38
ORD-00282,P012,2056.71
ORD-00283,P006,1187.36
ORD-00284,P012,1751.55
ORD-00285,P005,2964.34
ORD-00286,P007,1146.17
ORD-00287,P001,2826.57
ORD-00288,P006,2011.5
ORD-00289,P001,406.01
ORD-00290,P004,1047.7
ORD-00291,P005,1568.36
ORD-00292,P011,925.23
ORD-00293,P002,2350.79
ORD-00294,P012,1528.22
ORD-00295,P010,2693.52
ORD-00296,P008,2097.45
ORD-00297,P010,812.79
ORD-00298,P004,806.03
ORD-00299,P002,1771.44
ORD-00300,P007,2671.55
ORD-00301,P007,2794.21
ORD-00302,P005,2277.51
ORD-00303,P003,403.68
ORD-00304,P003,1789.4
ORD-00305,P007,1020.33
ORD-00306,P012,2302.01
ORD-00307,P008,834.02
ORD-00308,P006,2885.24
ORD-00309,P010,370.71
ORD-00310,P008,503.42
ORD-00311,P005,2069.48
ORD-00312,P003,2093.36
ORD-00313,P012,1652.4
ORD-00314,P012,2750.48
ORD-00315,P007,2759.14
ORD-00316,P006,2641.47
ORD-00317,P004,754.05
ORD-00318,P007,489.6
ORD-00319,P004,1075.61
ORD-00320,P005,2096.9
ORD-00321,P010,221.38
ORD-00322,P005,1770.37
ORD-00323,P010,2284.32
ORD-00324,P007,1259.88
ORD-00325,P003,2557.54
ORD-00326,P004,2380.76
ORD-00327,P007,2731.81
ORD-00328,P012,1019.66
ORD-00329,P004,505.53
ORD-00330,P008,2299.12
ORD-00331,P009,2620.08
ORD-00332,P005,1233.75
ORD-00333,P007,2594.22
ORD-00334,P010,1348.05
ORD-00335,P003,1045.04
ORD-00336,P001,455.4
ORD-00337,P006,1120.71
ORD-00338,P002,403.44
ORD-00339,P003,992.28
ORD-00340,P006,2589.29
ORD-00341,P010,950.19
ORD-00342,P009,1944.27
ORD-00343,P006,2751.6
ORD-00344,P008,161.12
ORD-00345,P006,2225.18
ORD-00346,P005,601.08
ORD-00347,P003,2776.96
ORD-00348,P010,1173.16
ORD-00349,P001,1121.58
ORD-00350,P002,1085.45
ORD-00351,P003,2534.17
ORD-00352,P003,1017.78
ORD-00353,P006,2949.67
ORD-00354,P005,1035.58
ORD-00355,P001,681.55
ORD-00356,P005,2081.34
ORD-00357,P007,2074.59
ORD-00358,P011,2465.36
ORD-00359,P009,666.48
ORD-00360,P007,1964.43
ORD-00361,P004,2627.97
ORD-00362,P004,2047.97
ORD-00363,P008,1083.7
ORD-00364,P004,2636.24
ORD-00365,P006,2443.32
ORD-00366,P012,945.24
ORD-00367,P010,1447.25
ORD-00368,P009,388.51
ORD-00369,P002,350.53
ORD-00370,P007,2051.63
ORD-00371,P003,2756.67
ORD-00372,P004,514.79
ORD-00373,P011,2090.61
ORD-00374,P007,2506.61
ORD-00375,P003,1955.73
ORD-00376,P004,930.72
ORD-00377,P009,2661.82
ORD-00378,P001,430.81
ORD-00379,P006,2182.56
ORD-00380,P001,2271.94
ORD-00381,P004,615.49
ORD-00382,P012,289.34
ORD-00383,P003,2449.2
ORD-00384,P004,1343.85
ORD-00385,P009,103.77
ORD-00386,P012,1449.49
ORD-00387,P002,1845.88
ORD-00388,P010,637.85
ORD-00389,P003,2033.91
ORD-00390,P004,832.06
ORD-00391,P010,1546.07
ORD-00392,P002,1981.05
ORD-00393,P005,1673.76
ORD-00394,P001,2767.43
ORD-00395,P008,2490.05
ORD-00396,P005,2613.51
ORD-00397,P001,2676.12
ORD-00398,P007,2698.37
ORD-00399,P003,1203.85
ORD-00400,P008,2340.69
