TransactionID,Date,Region,Montant,Categorie,Statut
TXN-000059,2024-07-30,UK,492.5,A,Actif
TXN-000060,2024-03-16,IT,404.49,B,Inactif
TXN-000061,2024-08-31,FR,376.99,A,Inactif
TXN-000062,2024-09-04,DE,967.92,A,Actif
TXN-000063,2024-12-20,FR,717.38,C,Inactif
TXN-000064,2024-05-20,FR,364.83,A,Actif
TXN-000065,2024-04-16,IT,990.49,C,Inactif
TXN-000066,2024-07-12,UK,816.78,C,Actif
TXN-000067,2024-02-12,IT,836.17,C,Actif
TXN-000068,2024-01-04,FR,991.4,C,Inactif
TXN-000069,2024-03-31,DE,653.45,A,Actif
TXN-000070,2024-04-29,DE,84.51,C,Actif
TXN-000071,2024-01-21,ES,505.31,A,Actif
TXN-000072,2024-12-27,ES,275.73,C,Actif
TXN-000073,2024-09-26,UK,641.24,B,Actif
TXN-000074,2024-12-28,IT,225.07,A,Inactif
TXN-000075,2024-07-15,UK,950.58,A,Actif
TXN-000076,2024-11-07,FR,914.66,B,Inactif
TXN-000077,2024-03-27,IT,371.71,B,Inactif
TXN-000078,2024-10-06,DE,71.46,B,Actif
TXN-000079,2024-06-26,DE,997.49,B,Inactif
TXN-000080,2024-09-28,ES,168.41,A,Inactif
TXN-000081,2024-11-01,UK,501.32,B,Actif
TXN-000082,2024-01-10,UK,441.32,A,Inactif
TXN-000083,2024-01-29,UK,892.07,C,Inactif
TXN-000084,2024-10-21,UK,310.73,A,Actif
TXN-000085,2024-05-25,FR,893.76,C,Actif
TXN-000086,2024-09-24,FR,842.4,C,Actif
TXN-000087,2024-08-22,UK,106.69,B,Inactif
TXN-000088,2024-11-05,ES,925.54,C,Inactif
TXN-000089,2024-12-07,IT,62.35,A,Inactif
TXN-000090,2024-03-23,UK,761.07,B,Inactif
TXN-000091,2024-08-26,UK,335.86,C,Inactif
TXN-000092,2024-03-28,FR,421.65,C,Actif
TXN-000093,2024-09-02,IT,756.19,A,Inactif
TXN-000094,2024-09-29,UK,381.95,C,Actif
TXN-000095,2024-10-18,ES,999.63,A,Actif
TXN-000096,2024-10-05,IT,102.5,B,Inactif
TXN-000097,2024-09-05,FR,874.81,B,Inactif
TXN-000098,2024-04-17,FR,657.89,B,Inactif
TXN-000099,2024-08-25,IT,170.23,C,Inactif
TXN-000100,2024-03-26,UK,261.56,B,Actif
TXN-000101,2024-12-25,IT,117.36,A,Actif
TXN-000102,2024-07-30,DE,814.71,B,Actif
TXN-000103,2024-07-27,FR,940.56,C,Inactif
TXN-000104,2024-03-20,ES,57.78,B,Inactif
TXN-000105,2024-03-06,ES,572.68,A,Actif
TXN-000106,2024-09-05,DE,241.85,A,Actif
TXN-000107,2024-12-03,UK,623.24,A,Inactif
TXN-000108,2024-06-07,DE,524.07,C,Actif
TXN-000109,2024-04-14,UK,936.27,B,Inactif
TXN-000110,2024-11-09,FR,379.14,A,Actif
TXN-000111,2024-02-11,FR,226.17,C,Actif
TXN-000112,2024-04-05,IT,123.61,C,Inactif
TXN-000113,2024-04-02,IT,484.21,B,Inactif
TXN-000114,2024-09-21,IT,786.02,C,Inactif
TXN-000115,2024-11-19,IT,793.24,B,Inactif
TXN-000116,2024-08-07,DE,584.12,A,Inactif
TXN-000117,2024-01-22,UK,725.92,B,Inactif
TXN-000118,2024-01-12,UK,48.14,B,Inactif
TXN-000119,2024-04-08,DE,34.76,C,Inactif
TXN-000120,2024-03-12,DE,256.7,C,Actif
TXN-000121,2024-08-15,UK,839.42,C,Inactif
TXN-000122,2024-01-20,ES,960.42,B,Inactif
TXN-000123,2024-06-14,IT,927.94,A,Inactif
TXN-000124,2024-04-12,FR,579.47,B,Inactif
TXN-000125,2024-03-17,IT,210.17,C,Actif
TXN-000126,2024-11-09,FR,715.36,A,Actif
TXN-000127,2024-12-23,UK,17.29,A,Inactif
TXN-000128,2024-12-27,IT,596.02,C,Inactif
TXN-000129,2024-03-12,FR,383.99,C,Inactif
TXN-000130,2024-02-18,UK,193.5,A,Actif
TXN-000131,2024-07-26,IT,336.85,B,Inactif
TXN-000132,2024-05-25,DE,173.38,B,Inactif
TXN-000133,2024-04-19,FR,841.86,C,Actif
TXN-000134,2024-01-13,ES,187.4,A,Actif
TXN-000135,2024-04-24,ES,344.9,A,Inactif
TXN-000136,2024-08-24,FR,735.16,A,Inactif
TXN-000137,2024-12-20,FR,381.36,A,Inactif
TXN-000138,2024-04-19,IT,685.09,B,Actif
TXN-000139,2024-02-02,IT,25.01,A,Inactif
TXN-000140,2024-05-13,FR,642.0,C,Inactif
TXN-000141,2024-01-24,DE,454.52,B,Actif
TXN-000142,2024-03-04,UK,851.91,B,Inactif
TXN-000143,2024-06-18,IT,309.16,B,Actif
TXN-000144,2024-05-23,ES,850.27,A,Actif
TXN-000145,2024-10-02,FR,229.24,C,Inactif
TXN-000146,2024-12-05,ES,706.6,A,Inactif
TXN-000147,2024-06-09,FR,274.15,C,Inactif
TXN-000148,2024-04-09,IT,549.34,B,Actif
TXN-000149,2024-05-09,DE,571.58,A,Actif
TXN-000150,2024-09-12,UK,43.32,C,Actif
TXN-000151,2024-04-03,UK,556.01,A,Actif
TXN-000152,2024-03-17,IT,799.98,B,Inactif
TXN-000153,2024-12-10,DE,415.61,A,Actif
TXN-000154,2024-08-10,ES,128.44,C,Inactif
TXN-000155,2024-12-20,DE,876.45,A,Inactif
TXN-000156,2024-12-07,ES,15.1,B,Inactif
TXN-000157,2024-01-22,FR,242.33,C,Actif
TXN-000158,2024-12-23,FR,987.43,C,Actif
TXN-000159,2024-08-15,ES,758.85,B,Actif
TXN-000160,2024-10-31,ES,362.45,B,Inactif
TXN-000161,2024-10-10,IT,481.72,A,Actif
TXN-000162,2024-07-27,IT,672.17,B,Actif
TXN-000163,2024-04-13,DE,467.48,C,Actif
TXN-000164,2024-06-26,IT,880.53,C,Inactif
TXN-000165,2024-12-05,ES,926.7,A,Inactif
TXN-000166,2024-11-22,FR,215.51,B,Inactif
TXN-000167,2024-12-26,UK,532.61,A,Inactif
TXN-000168,2024-05-12,ES,330.03,A,Inactif
TXN-000169,2024-05-16,IT,611.54,B,Inactif
TXN-000170,2024-04-13,IT,230.13,C,Actif
TXN-000171,2024-10-09,IT,49.62,C,Inactif
TXN-000172,2024-04-28,UK,924.87,A,Actif
TXN-000173,2024-07-26,ES,300.42,B,Inactif
TXN-000174,2024-02-29,UK,418.3,A,Inactif
TXN-000175,2024-08-15,FR,324.08,C,Inactif
TXN-000176,2024-12-27,DE,540.72,A,Inactif
TXN-000177,2024-03-13,FR,414.39,A,Actif
TXN-000178,2024-12-13,FR,629.44,A,Actif
TXN-000179,2024-10-02,DE,158.91,A,Actif
TXN-000180,2024-02-28,UK,637.65,A,Actif
TXN-000181,2024-03-22,UK,442.06,B,Inactif
TXN-000182,2024-01-10,ES,927.74,B,Inactif
TXN-000183,2024-09-13,IT,714.86,C,Inactif
TXN-000184,2024-08-29,IT,97.01,B,Actif
TXN-000185,2024-09-05,UK,310.3,A,Actif
TXN-000186,2024-08-19,FR,702.93,A,Actif
TXN-000187,2024-11-20,FR,166.31,C,Inactif
TXN-000188,2024-12-21,IT,975.82,C,Inactif
TXN-000189,2024-09-14,ES,624.18,C,Actif
TXN-000190,2024-05-29,IT,979.72,C,Actif
TXN-000191,2024-12-05,UK,929.9,A,Actif
TXN-000192,2024-03-18,FR,881.64,C,Actif
TXN-000193,2024-01-11,FR,71.66,B,Inactif
TXN-000194,2024-08-15,ES,909.0,C,Inactif
TXN-000195,2024-08-20,UK,626.49,C,Actif
TXN-000196,2024-11-19,IT,518.87,A,Actif
TXN-000197,2024-05-05,ES,451.44,B,Actif
TXN-000198,2024-02-05,DE,671.27,B,Actif
TXN-000199,2024-11-26,UK,803.58,B,Inactif
TXN-000200,2024-07-12,ES,470.02,B,Inactif
TXN-000201,2024-05-08,DE,818.42,C,Actif
TXN-000202,2024-02-22,UK,150.87,A,Inactif
TXN-000203,2024-12-20,ES,997.82,A,Actif
TXN-000204,2024-03-15,IT,481.47,C,Inactif
TXN-000205,2024-06-07,ES,773.54,B,Actif
TXN-000206,2024-03-04,IT,209.4,C,Actif
TXN-000207,2024-11-11,IT,291.15,A,Inactif
TXN-000208,2024-12-27,IT,56.3,C,Actif
TXN-000209,2024-12-13,UK,767.05,A,Actif
TXN-000210,2024-07-25,UK,871.39,C,Inactif
TXN-000211,2024-02-11,UK,819.32,A,Actif
TXN-000212,2024-09-07,IT,283.58,A,Inactif
TXN-000213,2024-05-16,IT,779.98,C,Inactif
TXN-000214,2024-09-21,UK,759.74,C,Inactif
TXN-000215,2024-03-31,ES,647.62,B,Inactif
TXN-000216,2024-06-01,UK,69.14,A,Inactif
TXN-000217,2024-12-19,ES,872.04,A,Inactif
TXN-000218,2024-06-16,IT,262.34,A,Actif
TXN-000219,2024-03-28,IT,991.95,B,Inactif
TXN-000220,2024-04-12,FR,723.88,B,Actif
TXN-000221,2024-06-10,IT,783.61,A,Inactif
TXN-000222,2024-09-27,IT,256.74,C,Actif
TXN-000223,2024-08-06,FR,520.52,B,Inactif
TXN-000224,2024-11-16,FR,503.72,B,Inactif
TXN-000225,2024-08-02,DE,510.85,B,Actif
TXN-000226,2024-05-18,ES,159.59,B,Actif
TXN-000227,2024-08-20,DE,581.13,A,Actif
TXN-000228,2024-01-11,DE,943.79,C,Inactif
TXN-000229,2024-08-09,UK,616.63,C,Actif
TXN-000230,2024-03-01,UK,833.09,B,Inactif
TXN-000231,2024-10-30,FR,761.36,C,Actif
TXN-000232,2024-07-20,UK,704.85,B,Inactif
TXN-000233,2024-01-30,DE,555.87,C,Inactif
TXN-000234,2024-10-27,FR,641.69,B,Inactif
TXN-000235,2024-07-09,DE,174.7,B,Actif
TXN-000236,2024-10-28,ES,634.01,B,Inactif
TXN-000237,2024-09-13,FR,456.06,A,Inactif
TXN-000238,2024-11-21,FR,576.46,A,Inactif
TXN-000239,2024-09-27,FR,508.03,C,Actif
TXN-000240,2024-03-29,ES,418.37,A,Actif
TXN-000241,2024-07-06,DE,963.06,A,Inactif
TXN-000242,2024-09-20,UK,649.21,A,Inactif
TXN-000243,2024-10-01,UK,745.99,A,Inactif
TXN-000244,2024-04-17,DE,212.45,B,Inactif
TXN-000245,2024-04-19,IT,184.59,C,Actif
TXN-000246,2024-02-05,ES,647.4,A,Actif
TXN-000247,2024-10-25,DE,891.31,A,Actif
TXN-000248,2024-10-11,FR,897.36,A,Actif
TXN-000249,2024-02-07,FR,119.51,A,Inactif
TXN-000250,2024-10-25,FR,511.35,A,Actif
TXN-000251,2024-03-10,DE,921.58,C,Inactif
TXN-000252,2024-04-30,UK,435.65,A,Inactif
TXN-000253,2024-06-27,UK,230.53,A,Actif
TXN-000254,2024-09-13,UK,336.48,C,Inactif
TXN-000255,2024-01-15,ES,776.01,B,Inactif
TXN-000256,2024-06-25,IT,139.53,C,Inactif
TXN-000257,2024-02-10,UK,85.57,C,Actif
TXN-000258,2024-12-25,DE,128.56,B,Inactif
TXN-000259,2024-07-18,DE,678.14,C,Actif
TXN-000260,2024-10-02,UK,385.14,B,Inactif
TXN-000261,2024-10-18,UK,907.27,C,Inactif
TXN-000262,2024-11-16,FR,619.83,A,Inactif
TXN-000263,2024-02-18,UK,447.93,C,Inactif
TXN-000264,2024-12-24,FR,526.8,B,Actif
TXN-000265,2024-10-07,FR,925.21,C,Inactif
TXN-000266,2024-03-26,ES,940.15,C,Inactif
TXN-000267,2024-02-13,IT,714.37,C,Inactif
TXN-000268,2024-07-04,UK,517.01,A,Actif
TXN-000269,2024-07-29,UK,96.31,B,Actif
TXN-000270,2024-10-11,DE,738.36,C,Actif
TXN-000271,2024-09-23,DE,401.7,B,Inactif
TXN-000272,2024-03-27,FR,176.79,C,Inactif
TXN-000273,2024-12-08,UK,979.14,A,Actif
TXN-000274,2024-08-20,FR,382.03,B,Inactif
TXN-000275,2024-08-18,UK,46.15,A,Inactif
TXN-000276,2024-08-11,ES,101.8,C,Actif
TXN-000277,2024-06-05,UK,439.65,C,Actif
TXN-000278,2024-07-13,ES,134.69,C,Actif
TXN-000279,2024-11-06,FR,188.95,A,Inactif
TXN-000280,2024-10-03,IT,275.72,B,Inactif
TXN-000281,2024-05-03,DE,631.56,A,Actif
TXN-000282,2024-04-25,FR,977.22,A,Actif
TXN-000283,2024-07-03,DE,700.09,A,Actif
TXN-000284,2024-08-31,IT,887.7,B,Actif
TXN-000285,2024-10-19,ES,314.96,A,Inactif
TXN-000286,2024-11-26,UK,441.75,C,Actif
TXN-000287,2024-04-27,IT,393.63,B,Inactif
TXN-000288,2024-11-06,IT,24.77,B,Actif
TXN-000289,2024-12-09,FR,78.41,C,Actif
TXN-000290,2024-03-08,UK,946.33,C,Actif
TXN-000291,2024-01-21,DE,13.88,C,Actif
TXN-000292,2024-12-28,FR,377.25,B,Actif
TXN-000293,2024-01-31,DE,812.99,B,Actif
TXN-000294,2024-01-23,FR,809.32,C,Inactif
TXN-000295,2024-01-22,DE,667.02,C,Inactif
TXN-000296,2024-07-02,FR,112.86,C,Inactif
TXN-000297,2024-07-18,ES,642.36,C,Inactif
TXN-000298,2024-07-27,DE,906.46,C,Inactif
TXN-000299,2024-02-25,IT,372.79,C,Actif
TXN-000300,2024-07-10,ES,272.95,A,Actif
TXN-000301,2024-02-19,UK,707.54,A,Actif
TXN-000302,2024-02-07,ES,467.57,C,Actif
TXN-000303,2024-02-07,DE,464.8,B,Actif
TXN-000304,2024-06-14,IT,959.49,B,Actif
TXN-000305,2024-04-26,IT,451.41,C,Actif
TXN-000306,2024-06-27,ES,586.16,C,Actif
TXN-000307,2024-07-18,UK,677.51,B,Actif
TXN-000308,2024-03-15,UK,357.0,C,Inactif
TXN-000309,2024-10-19,ES,331.58,A,Actif
TXN-000310,2024-05-15,DE,180.33,A,Inactif
TXN-000311,2024-04-04,FR,240.22,B,Actif
TXN-000312,2024-03-22,ES,577.87,A,Inactif
TXN-000313,2024-12-15,FR,774.63,B,Actif
TXN-000314,2024-02-28,FR,447.01,B,Inactif
TXN-000315,2024-07-05,FR,615.74,A,Actif
TXN-000316,2024-12-20,UK,328.3,C,Actif
TXN-000317,2024-01-22,ES,605.05,C,Actif
TXN-000318,2024-04-27,DE,390.57,A,Inactif
TXN-000319,2024-10-07,IT,637.87,B,Inactif
TXN-000320,2024-02-03,ES,341.62,B,Inactif
TXN-000321,2024-08-11,IT,94.47,A,Actif
TXN-000322,2024-08-12,DE,628.96,C,Actif
TXN-000323,2024-01-28,UK,778.73,A,Actif
TXN-000324,2024-04-24,FR,523.84,C,Inactif
TXN-000325,2024-09-25,IT,764.49,A,Inactif
TXN-000326,2024-08-26,FR,459.32,C,Actif
TXN-000327,2024-06-29,ES,60.99,A,Actif
TXN-000328,2024-08-03,DE,756.7,A,Actif
TXN-000329,2024-08-04,UK,227.19,A,Inactif
TXN-000330,2024-11-04,DE,195.61,A,Actif
TXN-000331,2024-08-09,FR,922.75,A,Actif
TXN-000332,2024-08-11,DE,88.44,B,Inactif
TXN-000333,2024-10-19,FR,618.06,A,Inactif
TXN-000334,2024-11-20,ES,353.47,A,Actif
TXN-000335,2024-12-24,FR,638.55,B,Inactif
TXN-000336,2024-11-17,UK,469.1,A,Inactif
TXN-000337,2024-03-30,FR,364.68,A,Inactif
TXN-000338,2024-06-24,ES,828.48,A,Inactif
TXN-000339,2024-07-09,FR,433.62,A,Actif
TXN-000340,2024-04-27,ES,496.38,A,Actif
TXN-000341,2024-09-23,IT,792.94,A,Actif
TXN-000342,2024-04-11,ES,678.83,B,Inactif
TXN-000343,2024-04-27,DE,104.24,A,Inactif
TXN-000344,2024-08-23,DE,983.34,A,Inactif
TXN-000345,2024-05-06,IT,545.1,B,Inactif
TXN-000346,2024-04-16,UK,132.21,C,Actif
TXN-000347,2024-03-06,FR,62.47,C,Inactif
TXN-000348,2024-04-24,FR,427.28,C,Actif
TXN-000349,2024-11-07,IT,368.34,A,Inactif
TXN-000350,2024-03-24,FR,331.17,A,Actif
TXN-000351,2024-03-12,ES,103.15,A,Actif
TXN-000352,2024-02-29,DE,383.25,B,Actif
TXN-000353,2024-07-09,UK,861.89,C,Actif
TXN-000354,2024-07-22,IT,270.04,B,Inactif
TXN-000355,2024-01-07,FR,994.34,A,Inactif
TXN-000356,2024-07-30,ES,669.99,B,Inactif
TXN-000357,2024-08-04,FR,625.11,B,Inactif
TXN-000358,2024-06-21,ES,107.36,C,Inactif
TXN-000359,2024-04-17,FR,924.27,A,Inactif
TXN-000360,2024-01-15,FR,218.88,A,Inactif
TXN-000361,2024-12-09,DE,235.4,C,Inactif
TXN-000362,2024-09-10,UK,987.21,A,Inactif
TXN-000363,2024-06-12,FR,537.27,A,Inactif
TXN-000364,2024-03-02,UK,534.71,B,Actif
TXN-000365,2024-06-01,FR,958.05,B,Actif
TXN-000366,2024-05-07,UK,378.19,B,Actif
TXN-000367,2024-07-18,FR,76.15,B,Inactif
TXN-000368,2024-11-06,IT,795.44,C,Actif
TXN-000369,2024-12-24,UK,418.57,C,Inactif
TXN-000370,2024-08-20,IT,927.55,C,Actif
TXN-000371,2024-12-10,UK,478.11,B,Actif
TXN-000372,2024-05-16,IT,823.14,C,Inactif
TXN-000373,2024-08-28,ES,476.59,B,Inactif
TXN-000374,2024-12-02,DE,556.66,B,Actif
TXN-000375,2024-04-03,IT,271.46,B,Actif
TXN-000376,2024-03-02,DE,949.04,C,Actif
TXN-000377,2024-02-10,DE,243.44,C,Inactif
TXN-000378,2024-10-25,FR,190.1,C,Inactif
TXN-000379,2024-09-03,IT,40.92,A,Actif
TXN-000380,2024-08-30,DE,614.14,A,Actif
TXN-000381,2024-10-24,DE,424.45,A,Actif
TXN-000382,2024-05-08,IT,76.95,A,Inactif
TXN-000383,2024-01-25,UK,434.52,B,Inactif
TXN-000384,2024-05-05,DE,235.63,B,Inactif
TXN-000385,2024-11-01,ES,346.07,B,Inactif
TXN-000386,2024-02-25,UK,597.03,A,Actif
TXN-000387,2024-08-20,IT,365.18,A,Actif
TXN-000388,2024-07-29,DE,801.63,C,Actif
TXN-000389,2024-09-27,ES,344.15,A,Actif
TXN-000390,2024-08-28,DE,857.43,C,Actif
TXN-000391,2024-08-08,IT,760.82,A,Inactif
TXN-000392,2024-08-17,ES,943.58,A,Inactif
TXN-000393,2024-01-23,ES,928.29,C,Actif
TXN-000394,2024-06-26,IT,670.05,A,Inactif
TXN-000395,2024-11-13,DE,936.79,B,Inactif
TXN-000396,2024-02-13,DE,656.49,A,Inactif
TXN-000397,2024-11-24,ES,222.17,B,Inactif
TXN-000398,2024-04-04,DE,280.93,B,Actif
TXN-000399,2024-06-19,FR,940.43,C,Actif
TXN-000400,2024-07-28,IT,843.8,C,Inactif
TXN-000401,2024-05-01,ES,221.19,B,Actif
TXN-000402,2024-10-15,FR,357.1,B,Inactif
TXN-000403,2024-03-12,FR,661.84,B,Actif
TXN-000404,2024-03-02,DE,990.46,C,Actif
TXN-000405,2024-05-20,IT,168.48,C,Inactif
TXN-000406,2024-10-05,UK,986.6,B,Inactif
TXN-000407,2024-01-05,IT,47.71,C,Inactif
TXN-000408,2024-11-17,IT,677.55,B,Inactif
TXN-000409,2024-08-03,ES,186.21,C,Actif
TXN-000410,2024-09-05,ES,109.83,C,Inactif
TXN-000411,2024-06-23,DE,989.01,A,Inactif
TXN-000412,2024-07-12,UK,983.33,C,Actif
TXN-000413,2024-02-04,FR,540.36,C,Inactif
TXN-000414,2024-11-08,FR,975.08,A,Inactif
TXN-000415,2024-12-28,ES,337.45,A,Inactif
TXN-000416,2024-07-26,FR,207.68,A,Inactif
TXN-000417,2024-10-13,DE,484.73,A,Actif
TXN-000418,2024-02-21,DE,82.81,A,Actif
TXN-000419,2024-04-25,IT,361.38,B,Actif
TXN-000420,2024-09-20,ES,412.08,B,Inactif
TXN-000421,2024-04-16,DE,132.58,B,Inactif
TXN-000422,2024-03-20,ES,532.22,B,Actif
TXN-000423,2024-06-08,UK,192.7,C,Actif
TXN-000424,2024-05-06,UK,549.43,B,Actif
TXN-000425,2024-10-22,UK,355.28,B,Actif
TXN-000426,2024-02-18,IT,904.93,C,Inactif
TXN-000427,2024-05-05,IT,625.85,A,Inactif
TXN-000428,2024-08-01,ES,72.81,A,Actif
TXN-000429,2024-01-19,IT,307.19,C,Inactif
TXN-000430,2024-04-04,DE,983.95,B,Actif
TXN-000431,2024-03-14,IT,407.18,A,Actif
TXN-000432,2024-09-17,UK,284.33,A,Actif
TXN-000433,2024-08-05,FR,907.53,A,Actif
TXN-000434,2024-03-15,ES,794.01,C,Actif
TXN-000435,2024-01-18,ES,763.33,B,Inactif
TXN-000436,2024-11-23,DE,284.09,B,Inactif
TXN-000437,2024-12-23,ES,811.99,B,Actif
TXN-000438,2024-07-13,DE,412.66,C,Actif
TXN-000439,2024-12-13,FR,988.23,B,Inactif
TXN-000440,2024-03-25,FR,207.92,A,Actif
TXN-000441,2024-07-06,FR,937.03,C,Inactif
TXN-000442,2024-10-29,FR,132.25,A,Actif
TXN-000443,2024-04-26,DE,231.02,B,Inactif
TXN-000444,2024-03-08,FR,982.81,B,Inactif
TXN-000445,2024-09-23,DE,385.35,B,Actif
TXN-000446,2024-10-04,IT,441.83,C,Inactif
TXN-000447,2024-02-16,UK,275.4,C,Inactif
TXN-000448,2024-07-05,FR,372.99,A,Actif
TXN-000449,2024-01-05,DE,736.35,A,Actif
TXN-000450,2024-06-28,ES,676.68,B,Actif
TXN-000451,2024-07-06,UK,444.73,A,Inactif
TXN-000452,2024-06-16,IT,465.04,A,Inactif
TXN-000453,2024-05-26,ES,272.11,A,Inactif
TXN-000454,2024-09-27,UK,808.53,C,Actif
TXN-000455,2024-12-02,FR,323.02,A,Actif
TXN-000456,2024-01-29,UK,946.5,C,Inactif
TXN-000457,2024-06-01,UK,487.46,A,Actif
TXN-000458,2024-07-20,ES,636.28,B,Actif
TXN-000459,2024-12-10,FR,481.53,A,Actif
TXN-000460,2024-06-10,DE,576.11,B,Inactif
TXN-000461,2024-11-07,UK,725.39,B,Inactif
TXN-000462,2024-10-26,ES,527.75,C,Inactif
TXN-000463,2024-12-12,FR,603.05,B,Actif
TXN-000464,2024-06-12,ES,705.9,A,Inactif
TXN-000465,2024-05-09,ES,119.67,A,Inactif
TXN-000466,2024-07-08,IT,223.37,B,Inactif
TXN-000467,2024-01-13,UK,684.1,B,Inactif
TXN-000468,2024-08-19,ES,477.26,A,Inactif
TXN-000469,2024-12-23,IT,67.06,C,Actif
TXN-000470,2024-03-30,IT,84.22,C,Inactif
TXN-000471,2024-07-26,FR,679.19,A,Inactif
TXN-000472,2024-11-11,ES,313.0,B,Actif
TXN-000473,2024-05-19,DE,23.72,A,Actif
TXN-000474,2024-03-05,DE,742.8,A,Inactif
TXN-000475,2024-12-28,ES,876.97,C,Actif
TXN-000476,2024-09-17,ES,266.7,A,Actif
TXN-000477,2024-03-04,UK,415.25,C,Inactif
TXN-000478,2024-02-12,FR,52.79,A,Inactif
TXN-000479,2024-12-04,DE,20.27,C,Inactif
TXN-000480,2024-01-30,FR,207.54,A,Actif
TXN-000481,2024-02-15,IT,752.13,A,Inactif
TXN-000482,2024-07-12,FR,971.07,B,Actif
TXN-000483,2024-08-27,FR,499.49,A,Inactif
TXN-000484,2024-12-04,FR,183.69,C,Inactif
TXN-000485,2024-04-28,FR,204.78,C,Inactif
TXN-000486,2024-01-21,IT,585.94,B,Actif
TXN-000487,2024-03-02,IT,38.37,C,Actif
TXN-000488,2024-04-16,FR,41.29,C,Inactif
TXN-000489,2024-11-16,DE,397.09,A,Actif
TXN-000490,2024-10-16,FR,738.0,C,Inactif
TXN-000491,2024-03-02,FR,993.43,A,Actif
TXN-000492,2024-11-24,UK,560.32,A,Inactif
TXN-000493,2024-12-02,IT,118.41,A,Actif
TXN-000494,2024-07-02,DE,724.81,A,Actif
TXN-000495,2024-03-21,FR,590.16,A,Inactif
TXN-000496,2024-10-29,UK,65.94,C,Inactif
TXN-000497,2024-02-03,ES,301.08,A,Actif
TXN-000498,2024-12-30,UK,30.8,C,Actif
TXN-000499,2024-07-16,IT,253.0,A,Inactif
TXN-000500,2024-07-22,DE,968.32,C,Inactif
TXN-000501,2024-11-06,IT,270.43,A,Inactif
TXN-000502,2024-09-16,DE,540.54,B,Actif
TXN-000503,2024-02-03,ES,292.79,A,Inactif
TXN-000504,2024-11-14,IT,971.32,A,Inactif
TXN-000505,2024-09-20,ES,458.99,A,Inactif
TXN-000506,2024-06-12,IT,878.71,C,Actif
TXN-000507,2024-02-01,UK,135.89,C,Actif
