OrderID,Region,ManagerEmail,Revenue
ORD-00044,ES,manager.es@nova.com,850.42
ORD-00045,ES,manager.es@nova.com,2591.97
ORD-00046,IT,manager.it@nova.com,2757.26
ORD-00047,IT,manager.it@nova.com,1753.0
ORD-00048,DE,manager.de@nova.com,2854.32
ORD-00049,ES,manager.es@nova.com,2408.05
ORD-00050,IT,manager.it@nova.com,515.1
ORD-00051,IT,manager.it@nova.com,1285.37
ORD-00052,ES,manager.es@nova.com,2843.52
ORD-00053,DE,manager.de@nova.com,915.14
ORD-00054,IT,manager.it@nova.com,675.96
ORD-00055,UK,manager.uk@nova.com,145.55
ORD-00056,DE,manager.de@nova.com,1405.08
ORD-00057,ES,manager.es@nova.com,2369.53
ORD-00058,ES,manager.es@nova.com,1423.78
ORD-00059,ES,manager.es@nova.com,251.82
ORD-00060,IT,manager.it@nova.com,569.63
ORD-00061,IT,manager.it@nova.com,1410.43
ORD-00062,UK,manager.uk@nova.com,1324.68
ORD-00063,ES,manager.es@nova.com,814.94
ORD-00064,UK,manager.uk@nova.com,2691.99
ORD-00065,ES,manager.es@nova.com,604.68
ORD-00066,UK,manager.uk@nova.com,1692.42
ORD-00067,ES,manager.es@nova.com,1362.0
ORD-00068,DE,manager.de@nova.com,2333.01
ORD-00069,ES,manager.es@nova.com,1437.66
ORD-00070,FR,manager.fr@nova.com,2166.58
ORD-00071,ES,manager.es@nova.com,1182.17
ORD-00072,UK,manager.uk@nova.com,979.88
ORD-00073,FR,manager.fr@nova.com,2298.57
ORD-00074,ES,manager.es@nova.com,1825.61
ORD-00075,IT,manager.it@nova.com,203.76
ORD-00076,IT,manager.it@nova.com,1920.8
ORD-00077,UK,manager.uk@nova.com,2002.3
ORD-00078,UK,manager.uk@nova.com,311.43
ORD-00079,UK,manager.uk@nova.com,2485.3
ORD-00080,DE,manager.de@nova.com,764.45
ORD-00081,ES,manager.es@nova.com,329.73
ORD-00082,IT,manager.it@nova.com,2352.41
ORD-00083,IT,manager.it@nova.com,349.37
ORD-00084,IT,manager.it@nova.com,2276.48
ORD-00085,DE,manager.de@nova.com,2902.79
ORD-00086,DE,manager.de@nova.com,888.2
ORD-00087,IT,manager.it@nova.com,878.41
ORD-00088,FR,manager.fr@nova.com,1790.16
ORD-00089,UK,manager.uk@nova.com,575.23
ORD-00090,IT,manager.it@nova.com,1273.49
ORD-00091,IT,manager.it@nova.com,1429.83
ORD-00092,ES,manager.es@nova.com,2890.23
ORD-00093,FR,manager.fr@nova.com,2720.7
ORD-00094,FR,manager.fr@nova.com,2367.74
ORD-00095,FR,manager.fr@nova.com,463.11
ORD-00096,DE,manager.de@nova.com,2047.1
ORD-00097,UK,manager.uk@nova.com,2726.39
ORD-00098,FR,manager.fr@nova.com,1447.62
ORD-00099,UK,manager.uk@nova.com,2024.72
ORD-00100,FR,manager.fr@nova.com,315.04
ORD-00101,DE,manager.de@nova.com,1141.61
ORD-00102,UK,manager.uk@nova.com,2176.65
ORD-00103,UK,manager.uk@nova.com,744.78
ORD-00104,DE,manager.de@nova.com,2505.03
ORD-00105,DE,manager.de@nova.com,921.29
ORD-00106,FR,manager.fr@nova.com,2144.24
ORD-00107,FR,manager.fr@nova.com,2347.0
ORD-00108,UK,manager.uk@nova.com,1492.28
ORD-00109,FR,manager.fr@nova.com,2730.59
ORD-00110,UK,manager.uk@nova.com,1566.37
ORD-00111,FR,manager.fr@nova.com,211.92
ORD-00112,DE,manager.de@nova.com,2445.16
ORD-00113,IT,manager.it@nova.com,439.98
ORD-00114,ES,manager.es@nova.com,2032.69
ORD-00115,IT,manager.it@nova.com,1769.8
ORD-00116,DE,manager.de@nova.com,1914.98
ORD-00117,IT,manager.it@nova.com,1501.32
ORD-00118,ES,manager.es@nova.com,1474.13
ORD-00119,IT,manager.it@nova.com,1490.14
ORD-00120,IT,manager.it@nova.com,986.59
ORD-00121,UK,manager.uk@nova.com,1841.18
ORD-00122,UK,manager.uk@nova.com,1034.28
ORD-00123,UK,manager.uk@nova.com,861.89
ORD-00124,UK,manager.uk@nova.com,2277.5
ORD-00125,DE,manager.de@nova.com,2511.8
ORD-00126,DE,manager.de@nova.com,2642.33
ORD-00127,DE,manager.de@nova.com,2616.64
ORD-00128,IT,manager.it@nova.com,2849.5
ORD-00129,DE,manager.de@nova.com,235.2
ORD-00130,IT,manager.it@nova.com,2043.62
ORD-00131,IT,manager.it@nova.com,1942.74
ORD-00132,UK,manager.uk@nova.com,2924.85
ORD-00133,UK,manager.uk@nova.com,2282.16
ORD-00134,IT,manager.it@nova.com,2095.0
ORD-00135,DE,manager.de@nova.com,1079.85
ORD-00136,IT,manager.it@nova.com,2985.68
ORD-00137,FR,manager.fr@nova.com,184.67
ORD-00138,UK,manager.uk@nova.com,625.03
ORD-00139,ES,manager.es@nova.com,180.6
ORD-00140,ES,manager.es@nova.com,435.66
ORD-00141,DE,manager.de@nova.com,1654.6
ORD-00142,IT,manager.it@nova.com,2279.37
ORD-00143,ES,manager.es@nova.com,239.4
ORD-00144,DE,manager.de@nova.com,2294.62
ORD-00145,IT,manager.it@nova.com,1635.14
ORD-00146,FR,manager.fr@nova.com,672.91
ORD-00147,DE,manager.de@nova.com,1954.21
ORD-00148,FR,manager.fr@nova.com,1294.24
ORD-00149,FR,manager.fr@nova.com,1532.75
ORD-00150,FR,manager.fr@nova.com,1779.6
ORD-00151,DE,manager.de@nova.com,1155.05
ORD-00152,FR,manager.fr@nova.com,2545.03
ORD-00153,FR,manager.fr@nova.com,1113.62
ORD-00154,UK,manager.uk@nova.com,402.98
ORD-00155,FR,manager.fr@nova.com,1111.79
ORD-00156,FR,manager.fr@nova.com,366.72
ORD-00157,UK,manager.uk@nova.com,2053.37
ORD-00158,DE,manager.de@nova.com,1985.45
ORD-00159,IT,manager.it@nova.com,1472.32
ORD-00160,IT,manager.it@nova.com,1780.04
ORD-00161,ES,manager.es@nova.com,334.63
ORD-00162,ES,manager.es@nova.com,1933.77
ORD-00163,FR,manager.fr@nova.com,2399.59
ORD-00164,ES,manager.es@nova.com,374.69
ORD-00165,FR,manager.fr@nova.com,2143.23
ORD-00166,IT,manager.it@nova.com,2827.26
ORD-00167,UK,manager.uk@nova.com,1030.02
ORD-00168,DE,manager.de@nova.com,2895.23
ORD-00169,IT,manager.it@nova.com,276.45
ORD-00170,FR,manager.fr@nova.com,2250.16
ORD-00171,IT,manager.it@nova.com,665.42
ORD-00172,FR,manager.fr@nova.com,1635.63
ORD-00173,FR,manager.fr@nova.com,255.03
ORD-00174,UK,manager.uk@nova.com,2549.1
ORD-00175,ES,manager.es@nova.com,2667.36
ORD-00176,FR,manager.fr@nova.com,1685.91
ORD-00177,IT,manager.it@nova.com,2867.31
ORD-00178,DE,manager.de@nova.com,2314.55
ORD-00179,FR,manager.fr@nova.com,1217.81
ORD-00180,UK,manager.uk@nova.com,2456.45
ORD-00181,UK,manager.uk@nova.com,1943.83
ORD-00182,DE,manager.de@nova.com,984.67
ORD-00183,DE,manager.de@nova.com,2932.52
ORD-00184,IT,manager.it@nova.com,1093.91
ORD-00185,UK,manager.uk@nova.com,132.37
ORD-00186,FR,manager.fr@nova.com,1225.85
ORD-00187,FR,manager.fr@nova.com,970.94
ORD-00188,FR,manager.fr@nova.com,306.54
ORD-00189,UK,manager.uk@nova.com,2038.74
ORD-00190,FR,manager.fr@nova.com,869.6
ORD-00191,ES,manager.es@nova.com,2515.97
ORD-00192,ES,manager.es@nova.com,2791.35
ORD-00193,UK,manager.uk@nova.com,1659.03
ORD-00194,UK,manager.uk@nova.com,2500.26
ORD-00195,UK,manager.uk@nova.com,485.67
ORD-00196,ES,manager.es@nova.com,2255.62
ORD-00197,IT,manager.it@nova.com,2446.03
ORD-00198,DE,manager.de@nova.com,295.66
ORD-00199,IT,manager.it@nova.com,715.25
ORD-00200,DE,manager.de@nova.com,1717.55
ORD-00201,FR,manager.fr@nova.com,1287.55
ORD-00202,DE,manager.de@nova.com,394.45
ORD-00203,DE,manager.de@nova.com,1658.55
ORD-00204,DE,manager.de@nova.com,885.03
ORD-00205,ES,manager.es@nova.com,2138.22
ORD-00206,IT,manager.it@nova.com,1965.57
ORD-00207,DE,manager.de@nova.com,2104.13
ORD-00208,FR,manager.fr@nova.com,1297.24
ORD-00209,DE,manager.de@nova.com,2899.91
ORD-00210,DE,manager.de@nova.com,1060.05
ORD-00211,UK,manager.uk@nova.com,2559.7
ORD-00212,UK,manager.uk@nova.com,1454.73
ORD-00213,DE,manager.de@nova.com,2039.11
ORD-00214,DE,manager.de@nova.com,384.43
ORD-00215,IT,manager.it@nova.com,246.09
ORD-00216,FR,manager.fr@nova.com,2394.69
ORD-00217,IT,manager.it@nova.com,699.75
ORD-00218,ES,manager.es@nova.com,1745.04
ORD-00219,ES,manager.es@nova.com,2425.07
ORD-00220,DE,manager.de@nova.com,2082.92
ORD-00221,ES,manager.es@nova.com,1584.9
ORD-00222,UK,manager.uk@nova.com,276.64
ORD-00223,ES,manager.es@nova.com,1503.33
ORD-00224,UK,manager.uk@nova.com,515.88
ORD-00225,UK,manager.uk@nova.com,2464.96
ORD-00226,IT,manager.it@nova.com,2291.86
ORD-00227,DE,manager.de@nova.com,2386.56
ORD-00228,ES,manager.es@nova.com,1357.91
ORD-00229,UK,manager.uk@nova.com,415.33
ORD-00230,ES,manager.es@nova.com,2144.31
ORD-00231,FR,manager.fr@nova.com,2547.16
ORD-00232,FR,manager.fr@nova.com,1425.81
ORD-00233,FR,manager.fr@nova.com,1811.64
ORD-00234,IT,manager.it@nova.com,390.77
ORD-00235,IT,manager.it@nova.com,1234.31
ORD-00236,FR,manager.fr@nova.com,1709.24
ORD-00237,UK,manager.uk@nova.com,943.73
ORD-00238,DE,manager.de@nova.com,1976.91
ORD-00239,ES,manager.es@nova.com,1764.01
ORD-00240,DE,manager.de@nova.com,2794.9
ORD-00241,UK,manager.uk@nova.com,1931.41
ORD-00242,FR,manager.fr@nova.com,2233.1
ORD-00243,IT,manager.it@nova.com,2653.31
ORD-00244,ES,manager.es@nova.com,2027.91
ORD-00245,DE,manager.de@nova.com,2846.71
ORD-00246,UK,manager.uk@nova.com,2371.45
ORD-00247,DE,manager.de@nova.com,105.34
ORD-00248,FR,manager.fr@nova.com,1668.57
ORD-00249,ES,manager.es@nova.com,1100.2
ORD-00250,IT,manager.it@nova.com,78.14
ORD-00251,FR,manager.fr@nova.com,2076.61
ORD-00252,FR,manager.fr@nova.com,2486.25
ORD-00253,DE,manager.de@nova.com,229.08
ORD-00254,ES,manager.es@nova.com,374.24
ORD-00255,FR,manager.fr@nova.com,1529.02
ORD-00256,ES,manager.es@nova.com,2999.26
ORD-00257,DE,manager.de@nova.com,865.26
ORD-00258,UK,manager.uk@nova.com,773.45
ORD-00259,UK,manager.uk@nova.com,778.05
ORD-00260,UK,manager.uk@nova.com,1739.99
ORD-00261,ES,manager.es@nova.com,2870.26
ORD-00262,FR,manager.fr@nova.com,2325.44
ORD-00263,DE,manager.de@nova.com,1936.47
ORD-00264,FR,manager.fr@nova.com,713.93
ORD-00265,DE,manager.de@nova.com,271.53
ORD-00266,FR,manager.fr@nova.com,2438.07
ORD-00267,DE,manager.de@nova.com,2896.54
ORD-00268,DE,manager.de@nova.com,957.89
ORD-00269,FR,manager.fr@nova.com,689.39
ORD-00270,UK,manager.uk@nova.com,2395.27
ORD-00271,FR,manager.fr@nova.com,1354.21
ORD-00272,IT,manager.it@nova.com,1376.89
ORD-00273,ES,manager.es@nova.com,186.21
ORD-00274,UK,manager.uk@nova.com,2609.86
ORD-00275,IT,manager.it@nova.com,2839.97
ORD-00276,FR,manager.fr@nova.com,522.67
ORD-00277,FR,manager.fr@nova.com,2495.39
ORD-00278,IT,manager.it@nova.com,1857.62
ORD-00279,FR,manager.fr@nova.com,1968.81
ORD-00280,ES,manager.es@nova.com,2855.14
ORD-00281,ES,manager.es@nova.com,436.67
ORD-00282,IT,manager.it@nova.com,2684.68
ORD-00283,IT,manager.it@nova.com,1775.78
ORD-00284,IT,manager.it@nova.com,2434.05
ORD-00285,UK,manager.uk@nova.com,422.45
ORD-00286,DE,manager.de@nova.com,1771.19
ORD-00287,UK,manager.uk@nova.com,877.91
ORD-00288,UK,manager.uk@nova.com,1098.84
ORD-00289,FR,manager.fr@nova.com,813.19
ORD-00290,UK,manager.uk@nova.com,2040.06
ORD-00291,FR,manager.fr@nova.com,448.47
ORD-00292,UK,manager.uk@nova.com,2199.55
ORD-00293,ES,manager.es@nova.com,1275.68
ORD-00294,ES,manager.es@nova.com,777.73
ORD-00295,DE,manager.de@nova.com,709.42
ORD-00296,UK,manager.uk@nova.com,451.31
ORD-00297,DE,manager.de@nova.com,1044.55
ORD-00298,IT,manager.it@nova.com,2057.83
ORD-00299,DE,manager.de@nova.com,2990.51
ORD-00300,FR,manager.fr@nova.com,251.53
