OrderID,OrderDate,Region,ProductID,Revenue,Cost
ORD-00037,2024-04-17,UK,P003,1250.41,574.65
ORD-00038,2024-06-08,FR,P007,1991.78,1194.14
ORD-00039,2024-07-29,UK,P012,397.07,246.22
ORD-00040,2024-03-28,UK,P002,2956.55,1565.6
ORD-00041,2024-07-04,DE,P010,217.27,88.25
ORD-00042,2024-11-19,ES,P012,584.12,301.08
ORD-00043,2024-01-05,FR,P008,2801.0,1891.28
ORD-00044,2024-11-01,DE,P009,71.16,32.9
ORD-00045,2024-09-02,UK,P011,2392.22,1159.33
ORD-00046,2024-02-22,ES,P001,187.93,105.3
ORD-00047,2024-01-05,FR,P010,389.07,247.78
ORD-00048,2024-02-01,DE,P005,2609.29,1464.64
ORD-00049,2024-06-30,IT,P003,2222.43,1350.32
ORD-00050,2024-06-29,ES,P004,585.29,408.44
ORD-00051,2024-04-12,ES,P009,607.94,311.92
ORD-00052,2024-06-08,UK,P012,1379.65,1027.15
ORD-00053,2024-12-22,UK,P003,1194.46,642.0
ORD-00054,2024-10-30,ES,P009,1839.53,1328.81
ORD-00055,2024-02-06,UK,P007,2735.22,1384.75
ORD-00056,2024-09-14,DE,P009,981.09,704.08
ORD-00057,2024-01-01,FR,P005,813.97,465.14
ORD-00058,2024-03-17,DE,P001,1342.34,939.94
ORD-00059,2024-11-01,IT,P004,2311.17,1019.82
ORD-00060,2024-04-21,UK,P007,2311.62,1046.38
ORD-00061,2024-04-19,IT,P011,2367.84,1163.88
ORD-00062,2024-12-08,IT,P006,796.24,475.1
ORD-00063,2024-05-24,IT,P009,1496.37,971.82
ORD-00064,2024-09-13,IT,P006,1660.12,1117.71
ORD-00065,2024-12-08,UK,P010,1722.47,807.8
ORD-00066,2024-08-18,DE,P002,754.09,479.33
ORD-00067,2024-04-22,IT,P010,939.56,627.53
ORD-00068,2024-10-11,ES,P012,2458.94,1028.92
ORD-00069,2024-01-30,UK,P005,1833.97,1249.56
ORD-00070,2024-02-25,UK,P005,2497.35,1317.97
ORD-00071,2024-06-23,IT,P008,2016.6,895.73
ORD-00072,2024-01-10,UK,P005,1893.41,869.1
ORD-00073,2024-06-13,IT,P001,560.54,351.78
ORD-00074,2024-08-08,DE,P009,1047.75,461.32
ORD-00075,2024-06-20,FR,P012,2675.48,1848.09
ORD-00076,2024-01-31,ES,P002,453.87,231.87
ORD-00077,2024-10-26,UK,P006,2841.61,1196.84
ORD-00078,2024-03-25,FR,P012,1974.02,1087.35
ORD-00079,2024-09-12,DE,P010,2769.91,1274.05
ORD-00080,2024-12-26,UK,P012,1803.82,995.52
ORD-00081,2024-05-31,UK,P007,1849.36,938.88
ORD-00082,2024-04-03,FR,P003,1075.12,596.24
ORD-00083,2024-12-14,FR,P008,1038.81,416.52
ORD-00084,2024-03-11,FR,P001,1080.7,671.45
ORD-00085,2024-09-24,FR,P012,2675.72,1546.55
ORD-00086,2024-05-29,FR,P002,2209.77,1308.8
ORD-00087,2024-07-06,ES,P001,2203.36,1109.47
ORD-00088,2024-12-16,FR,P006,2495.17,1295.73
ORD-00089,2024-03-18,FR,P002,526.5,391.85
ORD-00090,2024-01-04,FR,P009,2495.27,1356.16
ORD-00091,2024-01-07,IT,P006,2904.47,1370.6
ORD-00092,2024-08-27,IT,P003,1433.62,642.52
ORD-00093,2024-03-17,UK,P004,1921.38,1136.38
ORD-00094,2024-02-17,IT,P012,2474.31,1298.87
ORD-00095,2024-12-14,DE,P010,1677.55,950.3
ORD-00096,2024-03-06,FR,P005,1799.49,737.87
ORD-00097,2024-10-06,ES,P004,2136.12,1096.96
ORD-00098,2024-05-17,DE,P003,2420.59,1367.61
ORD-00099,2024-02-15,FR,P011,2983.88,1211.87
ORD-00100,2024-10-30,UK,P005,2932.11,1532.61
ORD-00101,2024-10-28,FR,P002,2752.59,1678.39
ORD-00102,2024-01-25,ES,P007,1733.48,1210.21
ORD-00103,2024-06-26,IT,P002,2389.04,1727.31
ORD-00104,2024-03-12,DE,P008,1030.69,551.46
ORD-00105,2024-01-18,IT,P007,388.45,209.27
ORD-00106,2024-01-25,UK,P003,1464.04,757.34
ORD-00107,2024-12-04,ES,P004,1141.77,707.61
ORD-00108,2024-05-07,ES,P008,883.86,577.85
ORD-00109,2024-03-22,FR,P009,2984.24,1311.78
ORD-00110,2024-12-08,ES,P007,986.52,400.89
ORD-00111,2024-12-04,IT,P008,2437.55,1042.29
ORD-00112,2024-02-12,ES,P001,1602.56,1073.14
ORD-00113,2024-08-05,ES,P001,467.22,266.78
ORD-00114,2024-07-10,DE,P008,300.98,125.44
ORD-00115,2024-07-11,IT,P001,1300.12,885.1
ORD-00116,2024-09-25,IT,P009,2944.75,1999.32
ORD-00117,2024-11-29,ES,P007,212.03,88.59
ORD-00118,2024-06-15,DE,P003,1083.03,495.7
ORD-00119,2024-01-16,IT,P006,119.37,63.97
ORD-00120,2024-07-06,FR,P005,2088.05,938.44
ORD-00121,2024-04-20,ES,P009,2268.24,1388.87
ORD-00122,2024-09-19,UK,P009,661.24,403.78
ORD-00123,2024-08-29,UK,P007,1419.34,901.25
ORD-00124,2024-04-25,ES,P009,435.23,186.33
ORD-00125,2024-11-05,UK,P011,2276.61,1575.36
ORD-00126,2024-02-17,IT,P006,2124.53,1070.12
ORD-00127,2024-04-14,IT,P009,2611.08,1789.97
ORD-00128,2024-04-29,ES,P007,905.97,435.38
ORD-00129,2024-07-11,FR,P003,1762.77,1273.46
ORD-00130,2024-01-07,IT,P009,210.81,118.13
ORD-00131,2024-05-12,ES,P005,1056.3,434.24
ORD-00132,2024-12-26,DE,P001,2310.72,1599.75
ORD-00133,2024-02-25,IT,P002,639.41,339.06
ORD-00134,2024-09-12,ES,P008,2234.67,901.81
ORD-00135,2024-11-19,FR,P009,931.52,398.06
ORD-00136,2024-09-06,UK,P006,2321.61,1654.64
ORD-00137,2024-06-10,UK,P012,1142.71,823.16
ORD-00138,2024-11-17,DE,P002,1780.88,799.52
ORD-00139,2024-04-09,FR,P007,1663.88,1151.35
ORD-00140,2024-03-25,DE,P011,289.37,197.71
ORD-00141,2024-11-14,FR,P011,2326.09,1723.86
ORD-00142,2024-07-16,UK,P011,1721.28,844.68
ORD-00143,2024-03-19,DE,P010,1962.66,1171.99
ORD-00144,2024-02-03,ES,P012,2957.84,1671.7
ORD-00145,2024-10-10,FR,P007,213.55,113.58
ORD-00146,2024-01-12,UK,P011,251.55,117.09
ORD-00147,2024-02-22,UK,P010,997.69,520.83
ORD-00148,2024-08-08,UK,P011,375.7,175.87
ORD-00149,2024-07-15,UK,P011,2600.63,1709.95
ORD-00150,2024-04-08,UK,P010,1363.33,661.52
ORD-00151,2024-11-07,ES,P003,734.99,300.72
ORD-00152,2024-07-20,ES,P010,434.16,242.68
ORD-00153,2024-08-14,IT,P004,659.92,415.65
ORD-00154,2024-12-26,UK,P011,258.86,143.65
ORD-00155,2024-12-03,ES,P007,2041.09,839.21
ORD-00156,2024-10-20,IT,P008,2847.92,1318.77
ORD-00157,2024-06-18,FR,P007,2988.77,1569.97
ORD-00158,2024-01-16,FR,P006,2193.58,1366.65
ORD-00159,2024-08-19,DE,P002,700.78,328.85
ORD-00160,2024-11-15,UK,P011,744.05,455.16
ORD-00161,2024-12-30,UK,P010,801.04,503.0
ORD-00162,2024-08-27,FR,P002,401.43,267.11
ORD-00163,2024-06-27,IT,P001,1310.32,746.37
ORD-00164,2024-04-21,ES,P006,224.11,158.41
ORD-00165,2024-06-27,UK,P007,2878.62,2029.69
ORD-00166,2024-01-13,UK,P007,1540.97,854.62
ORD-00167,2024-11-05,UK,P010,899.04,565.7
ORD-00168,2024-03-11,FR,P007,1964.27,1131.42
ORD-00169,2024-10-05,IT,P006,188.87,91.57
ORD-00170,2024-03-23,IT,P008,1508.39,647.76
ORD-00171,2024-09-06,IT,P011,1982.38,801.95
ORD-00172,2024-05-14,UK,P004,2564.22,1337.41
ORD-00173,2024-11-14,ES,P005,2081.92,1340.15
ORD-00174,2024-04-05,DE,P003,1709.74,938.25
ORD-00175,2024-12-16,IT,P008,1192.7,709.35
ORD-00176,2024-01-30,IT,P004,359.86,157.66
ORD-00177,2024-06-09,DE,P007,1597.66,988.82
ORD-00178,2024-03-30,DE,P006,1131.78,584.98
ORD-00179,2024-09-20,IT,P007,1565.37,836.37
ORD-00180,2024-02-01,FR,P002,460.14,271.29
ORD-00181,2024-11-02,FR,P004,2971.91,1987.61
ORD-00182,2024-02-21,FR,P012,2674.27,1107.6
ORD-00183,2024-10-09,FR,P005,1582.07,763.8
ORD-00184,2024-10-20,IT,P001,1703.08,1209.16
ORD-00185,2024-06-30,ES,P002,1315.95,653.1
ORD-00186,2024-11-29,FR,P012,2637.69,1441.97
ORD-00187,2024-06-20,FR,P009,2169.72,1052.97
ORD-00188,2024-09-16,DE,P009,1445.42,986.8
ORD-00189,2024-08-22,FR,P011,426.5,309.41
ORD-00190,2024-06-18,IT,P002,2307.15,1633.08
ORD-00191,2024-08-01,DE,P007,888.48,565.32
ORD-00192,2024-03-12,DE,P008,969.86,518.66
ORD-00193,2024-06-09,UK,P004,128.7,64.9
ORD-00194,2024-01-07,DE,P012,2900.27,2083.8
ORD-00195,2024-03-24,ES,P011,2452.85,1361.95
ORD-00196,2024-02-16,FR,P007,2066.4,1237.24
ORD-00197,2024-07-15,ES,P012,1692.1,959.05
ORD-00198,2024-09-18,ES,P009,1704.12,1073.51
ORD-00199,2024-10-15,DE,P011,702.99,314.82
ORD-00200,2024-03-08,UK,P010,821.63,472.11
ORD-00201,2024-11-25,UK,P001,2054.91,1280.04
ORD-00202,2024-01-20,ES,P007,2747.05,1425.75
ORD-00203,2024-01-04,FR,P007,697.23,413.41
ORD-00204,2024-01-20,UK,P005,2024.68,921.57
ORD-00205,2024-02-19,IT,P012,2901.42,1262.21
ORD-00206,2024-07-20,ES,P003,2943.16,1358.23
ORD-00207,2024-05-28,UK,P002,2490.41,1461.49
ORD-00208,2024-05-19,UK,P002,304.89,123.67
ORD-00209,2024-02-21,IT,P002,912.97,386.88
ORD-00210,2024-03-08,DE,P011,748.96,349.86
ORD-00211,2024-08-17,FR,P004,2448.05,1826.14
ORD-00212,2024-08-08,FR,P006,608.53,317.49
ORD-00213,2024-04-06,DE,P004,1712.75,700.6
ORD-00214,2024-01-17,DE,P007,750.27,363.4
ORD-00215,2024-02-15,DE,P005,1914.33,1053.86
ORD-00216,2024-10-05,FR,P006,2576.28,1191.3
ORD-00217,2024-06-27,DE,P003,273.12,150.86
ORD-00218,2024-09-21,IT,P004,2027.05,848.69
ORD-00219,2024-01-12,ES,P001,2197.1,1313.57
ORD-00220,2024-03-11,IT,P009,2094.99,918.11
ORD-00221,2024-05-07,ES,P006,1751.63,1164.8
ORD-00222,2024-07-28,UK,P008,2169.58,973.34
ORD-00223,2024-04-06,UK,P012,2722.59,1736.23
ORD-00224,2024-09-19,DE,P007,2749.66,1363.76
ORD-00225,2024-04-07,ES,P012,2411.75,1038.67
ORD-00226,2024-02-13,UK,P002,1280.11,529.75
ORD-00227,2024-10-27,DE,P001,63.59,39.24
ORD-00228,2024-06-28,ES,P012,1011.82,571.43
ORD-00229,2024-05-06,IT,P006,185.43,118.32
ORD-00230,2024-03-16,FR,P001,850.94,450.62
ORD-00231,2024-11-19,IT,P008,301.64,215.67
ORD-00232,2024-09-29,UK,P011,2423.69,1269.47
ORD-00233,2024-05-24,FR,P008,520.98,225.01
ORD-00234,2024-05-30,DE,P006,2947.1,1966.85
ORD-00235,2024-03-25,DE,P011,188.05,107.87
ORD-00236,2024-09-16,ES,P004,2721.7,1211.52
ORD-00237,2024-08-21,IT,P003,2118.43,1251.79
ORD-00238,2024-01-15,DE,P003,793.66,394.63
ORD-00239,2024-08-25,IT,P008,2701.36,1499.93
ORD-00240,2024-11-22,FR,P008,2143.51,1577.05
ORD-00241,2024-02-22,ES,P006,1216.74,556.46
ORD-00242,2024-02-07,ES,P010,1051.22,602.12
ORD-00243,2024-05-30,DE,P001,2155.39,1285.08
ORD-00244,2024-07-15,IT,P012,86.01,55.38
ORD-00245,2024-09-26,ES,P004,249.29,163.74
ORD-00246,2024-09-03,DE,P005,2274.28,1553.78
ORD-00247,2024-11-16,UK,P007,1798.39,1297.18
ORD-00248,2024-04-22,DE,P003,2150.01,885.46
ORD-00249,2024-12-27,ES,P011,833.98,405.19
ORD-00250,2024-06-24,ES,P005,2241.85,971.94
ORD-00251,2024-01-12,UK,P001,2861.14,1937.77
ORD-00252,2024-07-06,DE,P001,83.02,51.5
ORD-00253,2024-05-25,FR,P012,503.36,280.84
ORD-00254,2024-04-14,ES,P011,2768.15,1921.98
ORD-00255,2024-04-02,ES,P004,2709.54,1090.88
ORD-00256,2024-06-18,IT,P003,2312.78,1215.27
ORD-00257,2024-01-13,UK,P010,2699.42,1374.47
ORD-00258,2024-09-28,UK,P009,2104.14,1078.9
ORD-00259,2024-12-24,ES,P011,2076.53,1196.51
ORD-00260,2024-04-04,ES,P009,2494.28,1015.53
ORD-00261,2024-05-15,DE,P009,2307.12,1392.09
ORD-00262,2024-03-16,IT,P006,824.79,433.23
ORD-00263,2024-04-20,UK,P010,2592.35,1354.55
ORD-00264,2024-06-18,DE,P007,1750.71,1172.5
ORD-00265,2024-12-27,FR,P004,2489.46,1338.32
ORD-00266,2024-11-24,UK,P009,305.51,155.45
ORD-00267,2024-11-28,FR,P010,645.15,341.54
ORD-00268,2024-09-09,IT,P011,1354.7,643.47
ORD-00269,2024-06-19,DE,P011,2452.76,1727.35
ORD-00270,2024-01-26,UK,P009,139.7,60.23
ORD-00271,2024-12-20,UK,P008,1628.45,809.44
ORD-00272,2024-06-25,DE,P001,2557.18,1331.79
ORD-00273,2024-05-06,IT,P006,2451.34,1343.86
ORD-00274,2024-02-26,IT,P010,2211.38,1300.37
ORD-00275,2024-05-20,FR,P012,1164.38,589.23
ORD-00276,2024-12-16,IT,P002,996.81,658.57
ORD-00277,2024-06-21,UK,P002,1643.25,1020.89
ORD-00278,2024-03-17,FR,P003,569.26,274.6
ORD-00279,2024-09-11,FR,P007,1570.88,888.27
ORD-00280,2024-04-12,ES,P006,1869.92,1000.09
ORD-00281,2024-02-28,IT,P008,1616.1,1024.21
ORD-00282,2024-09-23,UK,P009,129.97,83.46
ORD-00283,2024-03-16,UK,P002,1454.53,1069.14
ORD-00284,2024-07-28,ES,P005,1636.22,1222.06
ORD-00285,2024-03-05,UK,P009,2961.79,1496.01
ORD-00286,2024-01-20,IT,P003,803.72,511.64
ORD-00287,2024-12-22,FR,P001,1800.63,1134.6
ORD-00288,2024-06-09,UK,P001,1665.16,775.0
ORD-00289,2024-06-07,UK,P005,1009.46,756.68
ORD-00290,2024-02-09,UK,P007,1202.45,525.18
ORD-00291,2024-09-09,DE,P005,2125.9,1355.76
ORD-00292,2024-05-29,IT,P009,592.49,371.31
ORD-00293,2024-06-20,IT,P009,330.31,207.74
ORD-00294,2024-04-04,IT,P009,157.85,97.71
ORD-00295,2024-06-18,FR,P003,2027.78,1206.56
ORD-00296,2024-04-15,ES,P004,2668.07,1763.71
ORD-00297,2024-08-22,IT,P012,2268.93,1452.85
ORD-00298,2024-01-02,UK,P009,2168.49,1143.51
ORD-00299,2024-09-05,IT,P004,948.7,707.21
ORD-00300,2024-10-28,DE,P004,710.69,306.01
ORD-00301,2024-06-30,UK,P002,670.23,501.65
ORD-00302,2024-01-08,UK,P003,2674.53,1483.84
ORD-00303,2024-06-08,FR,P006,2339.51,1540.6
ORD-00304,2024-07-05,FR,P006,2175.62,903.88
ORD-00305,2024-04-28,IT,P010,1866.99,1227.18
ORD-00306,2024-06-05,ES,P006,2532.9,1805.23
ORD-00307,2024-03-31,FR,P008,444.08,213.53
ORD-00308,2024-10-02,DE,P007,2396.45,1663.04
ORD-00309,2024-07-25,UK,P007,1343.8,874.11
ORD-00310,2024-07-13,DE,P001,324.75,239.68
ORD-00311,2024-04-30,UK,P012,2409.15,1395.95
ORD-00312,2024-11-18,ES,P006,2132.51,1248.75
ORD-00313,2024-03-20,DE,P004,204.6,122.87
ORD-00314,2024-12-21,ES,P009,754.01,388.34
ORD-00315,2024-12-04,UK,P010,962.0,665.31
ORD-00316,2024-12-21,ES,P012,2936.86,1542.25
ORD-00317,2024-01-27,IT,P002,2667.26,1268.25
ORD-00318,2024-12-13,DE,P001,1998.82,1421.76
ORD-00319,2024-01-07,IT,P011,711.97,414.01
ORD-00320,2024-02-01,DE,P004,383.47,160.55
ORD-00321,2024-01-16,FR,P012,878.62,558.13
ORD-00322,2024-12-24,ES,P010,490.81,280.86
ORD-00323,2024-11-15,DE,P010,1728.2,792.67
ORD-00324,2024-09-15,IT,P009,763.89,522.81
ORD-00325,2024-11-13,DE,P011,1423.01,940.29
ORD-00326,2024-10-15,ES,P001,235.97,118.85
ORD-00327,2024-09-17,DE,P011,589.1,328.85
ORD-00328,2024-01-13,UK,P006,977.66,665.5
ORD-00329,2024-08-06,ES,P004,1663.19,936.66
ORD-00330,2024-04-15,IT,P006,1535.19,791.22
ORD-00331,2024-03-12,DE,P007,253.7,183.17
ORD-00332,2024-10-19,FR,P012,469.45,286.48
ORD-00333,2024-01-26,IT,P001,2031.82,1252.82
ORD-00334,2024-10-06,FR,P010,458.53,323.04
ORD-00335,2024-04-26,IT,P005,725.86,371.2
ORD-00336,2024-06-26,UK,P004,1833.17,1008.72
ORD-00337,2024-05-30,DE,P009,1312.51,673.45
ORD-00338,2024-04-26,DE,P004,1458.45,941.63
ORD-00339,2024-09-27,DE,P001,1211.8,806.59
ORD-00340,2024-02-25,ES,P001,1202.73,634.97
ORD-00341,2024-03-28,IT,P008,762.58,349.5
ORD-00342,2024-01-13,IT,P001,1078.6,554.8
ORD-00343,2024-02-24,FR,P001,2999.15,1589.0
ORD-00344,2024-03-19,IT,P003,217.31,91.94
ORD-00345,2024-08-31,IT,P003,1395.18,664.71
ORD-00346,2024-08-09,IT,P005,101.98,76.21
ORD-00347,2024-12-14,FR,P010,2500.32,1082.64
ORD-00348,2024-04-05,IT,P011,2952.04,1646.06
ORD-00349,2024-05-25,ES,P007,833.74,347.48
ORD-00350,2024-01-03,DE,P008,2919.89,1400.79
