DateCommande,Montant,ClientID,Produit,Quantite
01-12-2023,"2 473,97",C058,Clavier F,1
19-11-2024,"440,28",C047,Souri D,1
28-06-2024,"3 531,72",C032,Fourniture V,2
11-01-2024,"5 297,58",C026,Fourniture V,3
15-01-2023,"4 253,92",C105,Ecran F,4
30-09-2023,"3 195,60",C049,Casque J,4
05-02-2024,"934,90",C152,Cable A,1
07-11-2024,"12 369,85",C045,Clavier F,5
29-08-2024,"539,29",C062,Casque K,1
31-03-2023,"11 968,35",C134,Imprimante N,5
13-01-2024,"2 126,96",C084,Ecran F,2
17-07-2024,"10 380,35",C129,Fourniture T,5
04-11-2024,"6 378,72",C101,Cable Z,4
02-01-2023,"4 242,04",C077,Imprimante P,2
20-07-2023,"7 063,44",C197,Fourniture V,4
15-03-2024,"421,06",C170,Souri E,1
31-12-2023,"4 674,50",C010,Cable A,5
16-07-2024,"2 396,70",C021,Casque J,3
19-04-2024,"531,98",C017,Machine Y,2
21-07-2023,"2 713,76",C082,Cable B,4
03-04-2024,"1 594,68",C053,Cable Z,1
07-03-2023,"161,88",C066,Tablette H,2
08-06-2024,"6 378,72",C085,Cable Z,4
12-06-2024,"1 594,68",C022,Cable Z,1
30-11-2023,"10 087,30",C036,Smartphone L,5
29-09-2024,"4 947,94",C093,Clavier F,2
22-01-2024,"8 069,84",C054,Smartphone L,4
21-01-2025,"1 629,96",C199,Tablette I,1
30-04-2023,"4 218,98",C024,Clavier H,2
11-03-2025,"860,52",C099,Smartphone M,1
21-10-2024,"955,66",C002,Meuble S,1
02-07-2024,"245,47",C184,Imprimante O,1
21-02-2024,"797,97",C145,Machine Y,3
26-01-2023,"3 250,74",C052,Souri C,2
01-01-2024,"1 320,84",C047,Souri D,3
23-08-2024,"4 302,60",C094,Smartphone M,5
12-02-2024,"4 218,98",C139,Clavier H,2
04-02-2025,"1 594,68",C056,Cable Z,1
31-03-2025,"3 190,44",C123,Ecran F,3
10-08-2023,"8 105,72",C180,Smartphone K,4
01-07-2023,"842,12",C178,Souri E,2
08-06-2024,"6 378,72",C071,Cable Z,4
08-11-2024,"2 696,45",C055,Casque K,5
17-01-2025,"6 501,48",C176,Souri C,4
11-01-2024,"4 889,88",C074,Tablette I,3
16-02-2025,"2 095,35",C049,Ordinateur C,3
06-07-2024,"934,90",C006,Cable A,1
19-02-2024,"842,12",C118,Souri E,2
08-09-2024,"8 019,90",C055,Ordinateur B,5
16-08-2023,"860,52",C107,Smartphone M,1
21-10-2023,"1 629,96",C112,Tablette I,1
13-07-2023,"7 973,40",C083,Cable Z,5
13-12-2023,"698,45",C144,Ordinateur C,1
03-10-2024,"2 336,72",C164,Casque I,4
02-03-2023,"2 713,76",C146,Cable B,4
26-07-2024,"11 968,35",C062,Imprimante N,5
27-08-2024,"2 026,43",C192,Smartphone K,1
26-11-2024,"2 233,28",C127,Ecran G,4
05-03-2025,"2 232,07",C189,Ecran E,1
29-02-2024,"10 781,70",C109,Fourniture U,5
22-04-2023,"5 297,58",C143,Fourniture V,3
16-07-2023,"4 041,42",C030,Meuble Q,2
11-07-2024,"2 201,40",C058,Souri D,5
07-04-2024,"9 225,65",C170,Ordinateur D,5
17-09-2023,"1 765,86",C165,Fourniture V,1
24-07-2023,"1 869,80",C176,Cable A,2
18-03-2023,"4 811,94",C030,Ordinateur B,3
23-01-2024,"8 082,84",C083,Meuble Q,4
05-10-2023,"9 895,88",C166,Clavier F,4
26-02-2025,"1 347,53",C199,Meuble R,1
03-08-2024,"4 242,04",C076,Imprimante P,2
03-10-2023,"4 947,94",C075,Clavier F,2
07-09-2023,"8 019,90",C121,Ordinateur B,5
07-09-2024,"4 811,94",C148,Ordinateur B,3
15-07-2023,"9 574,68",C094,Imprimante N,4
18-01-2023,"3 250,74",C119,Souri C,2
30-07-2024,"3 739,60",C110,Cable A,4
19-09-2024,"6 519,84",C107,Tablette I,4
19-08-2024,"10 605,10",C050,Imprimante P,5
20-04-2023,"6 469,02",C051,Fourniture U,3
11-11-2024,"1 396,90",C167,Ordinateur C,2
02-09-2024,"1 845,13",C052,Ordinateur D,1
22-09-2023,"265,99",C179,Machine Y,1
09-10-2023,"2 121,02",C071,Imprimante P,1
28-05-2024,"10 781,70",C112,Fourniture U,5
18-07-2024,"3 492,25",C012,Ordinateur C,5
20-08-2023,"12 369,85",C070,Clavier F,5
09-01-2024,"2 201,40",C046,Souri D,5
18-11-2023,"6 501,48",C033,Souri C,4
22-04-2024,"2 791,60",C082,Ecran G,5
17-12-2024,"4 197,06",C083,Clavier G,3
22-08-2024,"1 674,96",C084,Ecran G,3
12-02-2025,"2 156,34",C012,Fourniture U,1
27-11-2024,"2 109,49",C005,Clavier H,1
11-01-2025,"4 876,11",C198,Souri C,3
07-11-2024,"6 696,21",C193,Ecran E,3
06-10-2023,"10 781,70",C012,Fourniture U,5
10-07-2024,"4 876,11",C179,Souri C,3
12-10-2024,"1 721,04",C059,Smartphone M,2
20-01-2023,"8 105,72",C131,Smartphone K,4
24-03-2024,"880,56",C166,Souri D,2
04-07-2023,"7 181,01",C048,Imprimante N,3
08-01-2024,"8 437,96",C136,Clavier H,4
21-01-2024,"2 076,07",C110,Fourniture T,1
27-02-2025,"2 109,49",C099,Clavier H,1
15-09-2023,"6 363,06",C017,Imprimante P,3
16-03-2023,"6 737,65",C052,Meuble R,5
24-02-2025,"2 233,28",C087,Ecran G,4
16-01-2024,"2 804,70",C154,Cable A,3
22-05-2023,"3 442,08",C079,Smartphone M,4
03-05-2024,"539,29",C007,Casque K,1
26-10-2023,"3 250,74",C095,Souri C,2
03-03-2025,"1 617,87",C094,Casque K,3
10-10-2023,"955,66",C156,Meuble S,1
08-05-2023,"678,44",C196,Cable B,1
21-08-2023,"934,90",C179,Cable A,1
11-07-2023,"698,45",C152,Ordinateur C,1
26-08-2024,"562,79",C165,Tablette J,1
16-01-2023,"80,94",C003,Tablette H,1
17-02-2023,"6 378,72",C113,Cable Z,4
08-01-2023,"7 380,52",C024,Ordinateur D,4
12-04-2023,"2 813,95",C162,Tablette J,5
09-03-2024,"242,82",C091,Tablette H,3
20-03-2024,"6 415,92",C026,Ordinateur B,4
17-03-2023,"4 052,86",C011,Smartphone K,2
01-12-2024,"4 947,94",C001,Clavier F,2
20-08-2024,"2 804,70",C095,Cable A,3
10-08-2023,"1 765,86",C089,Fourniture V,1
13-04-2023,"2 396,70",C045,Casque J,3
30-03-2024,"3 492,25",C146,Ordinateur C,5
07-12-2023,"4 218,98",C043,Clavier H,2
24-02-2023,"8 928,28",C191,Ecran E,4
01-03-2024,"2 793,80",C083,Ordinateur C,4
17-04-2023,"4 778,30",C073,Meuble S,5
22-11-2023,"2 393,67",C156,Imprimante N,1
24-03-2024,"426,56",C102,Machine X,2
29-06-2023,"4 152,14",C107,Fourniture T,2
26-01-2023,"4 312,68",C186,Fourniture U,2
02-11-2023,"1 674,96",C061,Ecran G,3
14-02-2025,"2 251,16",C176,Tablette J,4
12-01-2025,"2 581,56",C150,Smartphone M,3
23-04-2024,"880,56",C040,Souri D,2
26-03-2025,"2 201,40",C125,Souri D,5
06-12-2024,"426,56",C029,Machine X,2
21-03-2025,"213,28",C018,Machine X,1
13-10-2024,"4 778,30",C108,Meuble S,5
03-05-2024,"2 695,06",C059,Meuble R,2
29-07-2024,"1 845,13",C094,Ordinateur D,1
19-03-2024,"5 596,08",C180,Clavier G,4
28-08-2023,"2 126,96",C152,Ecran F,2
25-07-2023,"8 437,96",C159,Clavier H,4
19-03-2024,"5 390,12",C029,Meuble R,4
19-01-2023,"736,41",C053,Imprimante O,3
07-05-2024,"1 721,04",C086,Smartphone M,2
15-08-2023,"1 320,84",C189,Souri D,3
26-03-2023,"265,99",C129,Machine Y,1
17-02-2025,"4 218,98",C039,Clavier H,2
19-12-2023,"10 087,30",C092,Smartphone L,5
16-05-2024,"880,56",C076,Souri D,2
15-12-2023,"1 629,96",C134,Tablette I,1
20-02-2023,"2 473,97",C052,Clavier F,1
27-12-2024,"4 302,60",C029,Smartphone M,5
01-10-2024,"3 531,72",C057,Fourniture V,2
03-10-2024,"2 336,72",C102,Casque I,4
02-06-2023,"245,47",C154,Imprimante O,1
29-01-2024,"242,82",C095,Tablette H,3
23-08-2024,"7 973,40",C158,Cable Z,5
10-07-2023,"7 063,44",C097,Fourniture V,4
28-03-2025,"8 437,96",C069,Clavier H,4
24-02-2023,"1 399,02",C179,Clavier G,1
07-07-2024,"8 625,36",C185,Fourniture U,4
26-08-2024,"4 242,04",C151,Imprimante P,2
13-03-2025,"2 232,07",C105,Ecran E,1
19-07-2023,"2 804,70",C066,Cable A,3
07-01-2023,"4 041,42",C179,Meuble Q,2
08-05-2023,"7 380,52",C156,Ordinateur D,4
12-12-2024,"3 442,08",C049,Smartphone M,4
28-06-2024,"2 696,45",C194,Casque K,5
05-01-2024,"8 484,08",C115,Imprimante P,4
06-01-2023,"5 596,08",C186,Clavier G,4
03-11-2024,"678,44",C174,Cable B,1
03-09-2024,"1 116,64",C006,Ecran G,2
04-09-2024,"2 791,60",C054,Ecran G,5
31-05-2023,"880,56",C186,Souri D,2
01-03-2025,"2 109,49",C067,Clavier H,1
08-10-2024,"8 019,90",C168,Ordinateur B,5
12-05-2024,"1 162,66",C139,Machine W,2
21-12-2024,"10 781,70",C129,Fourniture U,5
17-08-2023,"698,45",C183,Ordinateur C,1
10-03-2024,"736,41",C190,Imprimante O,3
12-01-2023,"2 157,16",C132,Casque K,4
06-04-2024,"10 380,35",C073,Fourniture T,5
09-01-2024,"1 063,96",C173,Machine Y,4
02-04-2024,"1 845,13",C049,Ordinateur D,1
04-01-2025,"798,90",C137,Casque J,1
24-01-2024,"1 329,95",C133,Machine Y,5
03-07-2023,"4 052,86",C177,Smartphone K,2
04-09-2023,"1 399,02",C054,Clavier G,1
18-04-2024,"2 076,07",C069,Fourniture T,1
04-12-2023,"3 739,60",C101,Cable A,4
20-04-2023,"539,29",C134,Casque K,1
17-10-2023,"4 218,98",C004,Clavier H,2
23-12-2024,"8 105,72",C166,Smartphone K,4
14-04-2024,"7 380,52",C035,Ordinateur D,4
29-08-2024,"797,97",C144,Machine Y,3
24-05-2023,"7 063,44",C183,Fourniture V,4
21-01-2023,"4 152,14",C036,Fourniture T,2
21-03-2023,"6 378,72",C116,Cable Z,4
13-01-2025,"584,18",C164,Casque I,1
03-01-2025,"6 995,10",C066,Clavier G,5
12-01-2025,"4 889,88",C129,Tablette I,3
20-10-2023,"1 688,37",C085,Tablette J,3
12-09-2023,"3 392,20",C196,Cable B,5
22-04-2023,"2 791,60",C176,Ecran G,5
13-01-2025,"2 233,28",C067,Ecran G,4
03-06-2024,"2 713,76",C098,Cable B,4
06-04-2023,"2 233,28",C071,Ecran G,4
05-12-2023,"10 380,35",C181,Fourniture T,5
10-05-2023,"3 195,60",C035,Casque J,4
25-09-2023,"8 082,84",C123,Meuble Q,4
11-03-2023,"3 392,20",C010,Cable B,5
09-08-2023,"4 674,50",C175,Cable A,5
12-05-2024,"8 019,90",C066,Ordinateur B,5
17-04-2023,"6 519,84",C164,Tablette I,4
22-10-2023,"1 911,32",C053,Meuble S,2
13-02-2025,"6 079,29",C004,Smartphone K,3
27-12-2024,"3 250,74",C186,Souri C,2
16-10-2023,"2 393,67",C073,Imprimante N,1
11-11-2023,"323,76",C075,Tablette H,4
20-11-2024,"2 791,60",C095,Ecran G,5
04-03-2023,"265,99",C183,Machine Y,1
11-10-2023,"562,79",C067,Tablette J,1
15-03-2024,"1 396,90",C140,Ordinateur C,2
07-04-2024,"736,41",C186,Imprimante O,3
16-02-2024,"3 739,60",C127,Cable A,4
05-03-2024,"581,33",C163,Machine W,1
01-01-2023,"5 297,58",C061,Fourniture V,3
11-02-2024,"558,32",C137,Ecran G,1
08-01-2025,"2 866,98",C076,Meuble S,3
09-10-2024,"80,94",C132,Tablette H,1
12-02-2023,"6 995,10",C106,Clavier G,5
27-10-2024,"80,94",C022,Tablette H,1
