OrderID,Region,ProductID,Revenue
ORD-00163,ES,P012,441.5
ORD-00164,DE,P012,317.69
ORD-00165,DE,P008,1747.89
ORD-00166,ES,P011,1794.14
ORD-00167,IT,P007,671.4
ORD-00168,DE,P003,1796.43
ORD-00169,IT,P010,1357.77
ORD-00170,FR,P011,2270.31
ORD-00171,IT,P010,1558.72
ORD-00172,FR,P011,1282.32
ORD-00173,UK,P010,2749.15
ORD-00174,FR,P012,841.07
ORD-00175,FR,P010,809.23
ORD-00176,FR,P003,2108.58
ORD-00177,FR,P008,996.17
ORD-00178,ES,P012,2522.25
ORD-00179,ES,P011,987.52
ORD-00180,UK,P003,2898.61
ORD-00181,FR,P008,1539.84
ORD-00182,FR,P009,2534.37
ORD-00183,ES,P008,800.98
ORD-00184,UK,P002,1075.24
ORD-00185,DE,P001,2930.88
ORD-00186,DE,P001,2555.83
ORD-00187,ES,P003,1544.5
ORD-00188,UK,P003,604.16
ORD-00189,IT,P005,998.04
ORD-00190,DE,P004,1907.84
ORD-00191,IT,P007,1604.4
ORD-00192,DE,P008,739.93
ORD-00193,ES,P001,557.8
ORD-00194,FR,P008,1089.9
ORD-00195,DE,P009,2751.08
ORD-00196,IT,P010,2300.19
ORD-00197,UK,P009,2027.29
ORD-00198,UK,P008,553.13
ORD-00199,ES,P009,2179.88
ORD-00200,UK,P004,1374.62
ORD-00201,FR,P006,2365.74
ORD-00202,ES,P004,1551.51
ORD-00203,DE,P006,2909.22
ORD-00204,FR,P005,2090.41
ORD-00205,DE,P009,1373.34
ORD-00206,UK,P011,1632.58
ORD-00207,DE,P011,1558.0
ORD-00208,UK,P004,1536.96
ORD-00209,UK,P005,1784.02
ORD-00210,UK,P012,2697.08
ORD-00211,UK,P008,2394.65
ORD-00212,FR,P009,2221.74
ORD-00213,FR,P002,2295.1
ORD-00214,IT,P005,2753.92
ORD-00215,IT,P005,2640.14
ORD-00216,DE,P011,2172.67
ORD-00217,UK,P009,1160.13
ORD-00218,DE,P005,1174.13
ORD-00219,IT,P005,1446.95
ORD-00220,DE,P012,2489.91
ORD-00221,DE,P007,1981.33
ORD-00222,UK,P008,925.03
ORD-00223,DE,P006,1350.91
ORD-00224,DE,P009,1679.06
ORD-00225,FR,P004,2306.6
ORD-00226,IT,P012,1002.06
ORD-00227,UK,P008,853.46
ORD-00228,ES,P010,773.94
ORD-00229,UK,P008,507.66
ORD-00230,DE,P012,935.97
ORD-00231,FR,P001,158.43
ORD-00232,UK,P012,2939.41
ORD-00233,IT,P010,438.83
ORD-00234,FR,P001,2815.34
ORD-00235,FR,P011,290.19
ORD-00236,DE,P010,2958.86
ORD-00237,ES,P002,2412.58
ORD-00238,UK,P007,2489.31
ORD-00239,ES,P007,1684.38
ORD-00240,IT,P012,850.32
ORD-00241,UK,P009,1109.11
ORD-00242,FR,P006,2048.0
ORD-00243,FR,P003,761.5
ORD-00244,ES,P009,2061.2
ORD-00245,IT,P004,2596.39
ORD-00246,IT,P011,679.43
ORD-00247,ES,P011,1366.24
ORD-00248,FR,P008,1831.86
ORD-00249,ES,P007,422.87
ORD-00250,IT,P002,636.58
ORD-00251,DE,P009,1713.34
ORD-00252,FR,P009,1451.58
ORD-00253,DE,P011,879.08
ORD-00254,IT,P001,2417.3
ORD-00255,ES,P005,492.77
ORD-00256,UK,P009,865.1
ORD-00257,DE,P009,138.42
ORD-00258,DE,P005,1412.9
ORD-00259,DE,P006,1659.62
ORD-00260,DE,P008,2764.16
ORD-00261,UK,P006,2659.63
ORD-00262,DE,P010,377.67
ORD-00263,DE,P009,115.3
ORD-00264,ES,P001,2990.77
ORD-00265,FR,P002,287.84
ORD-00266,DE,P001,2680.31
ORD-00267,DE,P009,916.29
ORD-00268,DE,P005,2493.43
ORD-00269,ES,P002,455.14
ORD-00270,IT,P005,2463.82
ORD-00271,IT,P007,1380.17
ORD-00272,DE,P006,2241.46
ORD-00273,IT,P001,1655.88
ORD-00274,IT,P004,2256.4
ORD-00275,IT,P003,1550.52
ORD-00276,ES,P010,1376.8
ORD-00277,UK,P004,1337.22
ORD-00278,FR,P012,521.49
ORD-00279,UK,P009,1359.33
ORD-00280,DE,P003,2567.75
ORD-00281,UK,P011,1002.01
ORD-00282,ES,P008,1507.84
ORD-00283,IT,P003,2305.5
ORD-00284,DE,P003,1792.69
ORD-00285,ES,P004,289.09
ORD-00286,ES,P011,2646.69
ORD-00287,FR,P007,2731.48
ORD-00288,UK,P011,2497.0
ORD-00289,FR,P004,2760.19
ORD-00290,UK,P007,1990.88
ORD-00291,ES,P010,2304.84
ORD-00292,FR,P003,800.49
ORD-00293,UK,P009,1849.89
ORD-00294,FR,P005,592.68
ORD-00295,FR,P003,748.86
ORD-00296,UK,P006,2395.86
ORD-00297,IT,P007,2029.13
ORD-00298,IT,P012,1005.22
ORD-00299,UK,P002,2298.03
ORD-00300,DE,P008,2211.13
