OrderID,ProductID,ProductName,Revenue
ORD-00106,P003,Téléphone,1416.23
ORD-00107,P001,Ordinateur,107.71
ORD-00108,P005,Clavier,2311.15
ORD-00109,P004,Écran,1491.56
ORD-00110,P001,Ordinateur,2352.3
ORD-00111,P001,Ordinateur,2581.55
ORD-00112,P004,Écran,2518.32
ORD-00113,P002,Tablette,1107.64
ORD-00114,P005,Clavier,1703.88
ORD-00115,P001,Ordinateur,947.6
ORD-00116,P004,Écran,2431.59
ORD-00117,P003,Téléphone,853.57
ORD-00118,P005,Clavier,1099.65
ORD-00119,P001,Ordinateur,2062.02
ORD-00120,P001,Ordinateur,1892.11
ORD-00121,P003,Téléphone,916.57
ORD-00122,P003,Téléphone,704.18
ORD-00123,P002,Tablette,172.76
ORD-00124,P004,Écran,1242.69
ORD-00125,P003,Téléphone,131.07
ORD-00126,P001,Ordinateur,2417.76
ORD-00127,P001,Ordinateur,1929.5
ORD-00128,P002,Tablette,1172.78
ORD-00129,P003,Téléphone,156.51
ORD-00130,P003,Téléphone,95.15
ORD-00131,P001,Ordinateur,1251.93
ORD-00132,P004,Écran,149.04
ORD-00133,P005,Clavier,68.74
ORD-00134,P004,Écran,1870.9
ORD-00135,P004,Écran,2950.61
ORD-00136,P005,Clavier,2765.6
ORD-00137,P005,Clavier,2049.2
ORD-00138,P001,Ordinateur,1987.33
ORD-00139,P002,Tablette,1037.2
ORD-00140,P001,Ordinateur,830.81
ORD-00141,P001,Ordinateur,2096.45
ORD-00142,P001,Ordinateur,1519.01
ORD-00143,P003,Téléphone,600.94
ORD-00144,P001,Ordinateur,1148.65
ORD-00145,P005,Clavier,131.18
ORD-00146,P001,Ordinateur,2241.77
ORD-00147,P004,Écran,386.81
ORD-00148,P001,Ordinateur,234.93
ORD-00149,P005,Clavier,932.58
ORD-00150,P003,Téléphone,2535.86
ORD-00151,P002,Tablette,2726.09
ORD-00152,P001,Ordinateur,873.38
ORD-00153,P001,Ordinateur,312.15
ORD-00154,P003,Téléphone,1143.11
ORD-00155,P005,Clavier,1066.35
ORD-00156,P005,Clavier,1133.63
ORD-00157,P002,Tablette,2820.01
ORD-00158,P001,Ordinateur,817.83
ORD-00159,P005,Clavier,1346.65
ORD-00160,P005,Clavier,2583.99
ORD-00161,P001,Ordinateur,918.89
ORD-00162,P003,Téléphone,173.81
ORD-00163,P005,Clavier,2962.34
ORD-00164,P001,Ordinateur,787.88
ORD-00165,P005,Clavier,2125.65
ORD-00166,P002,Tablette,1849.62
ORD-00167,P002,Tablette,745.73
ORD-00168,P001,Ordinateur,2600.65
ORD-00169,P004,Écran,711.53
ORD-00170,P002,Tablette,1029.67
ORD-00171,P002,Tablette,512.01
ORD-00172,P003,Téléphone,2957.96
ORD-00173,P003,Téléphone,2365.33
ORD-00174,P001,Ordinateur,223.69
ORD-00175,P002,Tablette,2414.72
ORD-00176,P002,Tablette,75.3
ORD-00177,P002,Tablette,479.42
ORD-00178,P003,Téléphone,645.73
ORD-00179,P001,Ordinateur,1209.02
ORD-00180,P002,Tablette,2919.46
ORD-00181,P003,Téléphone,1319.78
ORD-00182,P002,Tablette,2372.61
ORD-00183,P001,Ordinateur,2568.59
ORD-00184,P001,Ordinateur,1338.35
ORD-00185,P001,Ordinateur,2858.86
ORD-00186,P004,Écran,124.96
ORD-00187,P003,Téléphone,1927.78
ORD-00188,P001,Ordinateur,1928.19
ORD-00189,P004,Écran,667.99
ORD-00190,P001,Ordinateur,476.53
ORD-00191,P002,Tablette,1361.54
ORD-00192,P004,Écran,1189.46
ORD-00193,P003,Téléphone,250.6
ORD-00194,P004,Écran,1588.52
ORD-00195,P001,Ordinateur,611.61
ORD-00196,P002,Tablette,462.13
ORD-00197,P003,Téléphone,2584.88
ORD-00198,P004,Écran,50.09
ORD-00199,P001,Ordinateur,372.24
ORD-00200,P004,Écran,1072.21
