OrderID,Revenue,Cost
ORD-00279,101.63,73.02
ORD-00280,1040.28,806.45
ORD-00281,157.44,110.3
ORD-00282,1399.1,1005.36
ORD-00283,277.99,216.6
ORD-00284,1777.87,1120.02
ORD-00285,2509.59,1670.06
ORD-00286,167.82,114.98
ORD-00287,2718.27,1990.39
ORD-00288,1150.92,846.41
ORD-00289,2554.99,1605.44
ORD-00290,1273.81,751.78
ORD-00291,2378.88,1797.96
ORD-00292,2781.17,2268.46
ORD-00293,2577.6,1572.41
ORD-00294,1240.49,756.65
ORD-00295,1622.62,1326.53
ORD-00296,2832.64,1679.09
ORD-00297,1337.87,865.11
ORD-00298,2451.28,1942.48
ORD-00299,2371.72,1675.51
ORD-00300,2823.66,1556.46
