OrderID,CustomerID,Country,Revenue,OrderDate
ORD-00161,C016,Espagne,2666.75,2024-05-02
ORD-00162,C044,Espagne,1416.98,2024-02-02
ORD-00163,C008,Royaume-Uni,174.48,2024-06-16
ORD-00164,C004,Royaume-Uni,2526.74,2024-06-22
ORD-00165,C035,Royaume-Uni,2604.31,2024-12-07
ORD-00166,C012,Royaume-Uni,1653.29,2024-11-05
ORD-00167,C019,Allemagne,1711.71,2024-12-01
ORD-00168,C012,Allemagne,2439.01,2024-02-04
ORD-00169,C004,Allemagne,1098.05,2024-08-07
ORD-00170,C021,Italie,1638.76,2024-10-03
ORD-00171,C035,Italie,279.62,2024-10-25
ORD-00172,C020,France,1718.88,2024-04-05
ORD-00173,C048,Italie,1951.09,2024-03-22
ORD-00174,C042,Royaume-Uni,2641.83,2024-11-20
ORD-00175,C006,Espagne,1236.15,2024-12-19
ORD-00176,C039,Espagne,2918.24,2024-10-16
ORD-00177,C029,Espagne,2644.24,2024-12-19
ORD-00178,C001,Espagne,271.46,2024-09-11
ORD-00179,C029,Royaume-Uni,59.94,2024-07-06
ORD-00180,C006,Allemagne,1621.85,2024-04-28
ORD-00181,C009,Italie,2454.12,2024-06-06
ORD-00182,C025,Italie,1472.48,2024-07-21
ORD-00183,C009,Italie,169.66,2024-08-27
ORD-00184,C004,Allemagne,2230.55,2024-03-12
ORD-00185,C042,Allemagne,1787.41,2024-03-10
ORD-00186,C020,France,1858.15,2024-03-14
ORD-00187,C048,Royaume-Uni,2245.35,2024-10-25
ORD-00188,C017,Royaume-Uni,2789.6,2024-06-06
ORD-00189,C021,Espagne,2633.13,2024-01-21
ORD-00190,C017,Espagne,2744.16,2024-04-04
ORD-00191,C007,France,2211.66,2024-03-30
ORD-00192,C046,Italie,1879.76,2024-11-06
ORD-00193,C037,Espagne,1250.3,2024-07-01
ORD-00194,C047,Italie,204.87,2024-08-25
ORD-00195,C026,France,153.87,2024-06-28
ORD-00196,C011,Allemagne,2601.32,2024-12-19
ORD-00197,C012,Italie,2383.16,2024-12-09
ORD-00198,C005,Allemagne,2025.24,2024-10-23
ORD-00199,C020,Italie,1909.4,2024-12-05
ORD-00200,C030,Royaume-Uni,2653.67,2024-02-22
ORD-00201,C038,Italie,1408.12,2024-06-18
ORD-00202,C007,France,60.77,2024-12-04
ORD-00203,C036,Allemagne,2553.71,2024-01-21
ORD-00204,C045,Allemagne,1760.85,2024-02-13
ORD-00205,C031,Espagne,1158.69,2024-05-13
ORD-00206,C050,Allemagne,713.5,2024-04-07
ORD-00207,C002,Italie,2167.9,2024-08-10
ORD-00208,C029,Espagne,1094.01,2024-10-27
ORD-00209,C030,Royaume-Uni,2211.79,2024-03-09
ORD-00210,C026,Espagne,2967.37,2024-12-22
ORD-00211,C026,Allemagne,2165.99,2024-10-30
ORD-00212,C050,Italie,2766.95,2024-06-22
ORD-00213,C025,Royaume-Uni,2354.22,2024-06-10
ORD-00214,C003,Allemagne,483.41,2024-05-26
ORD-00215,C025,Royaume-Uni,2554.69,2024-07-26
ORD-00216,C011,Royaume-Uni,2602.64,2024-12-06
ORD-00217,C002,France,1313.08,2024-10-21
ORD-00218,C006,Allemagne,1799.22,2024-07-24
ORD-00219,C025,France,2136.61,2024-07-19
ORD-00220,C034,Royaume-Uni,234.49,2024-01-02
ORD-00221,C005,Allemagne,1892.68,2024-02-17
ORD-00222,C006,Espagne,2510.02,2024-09-23
ORD-00223,C033,France,518.35,2024-06-30
ORD-00224,C005,Italie,2055.86,2024-09-14
ORD-00225,C042,Espagne,1165.66,2024-06-20
ORD-00226,C007,Espagne,2114.6,2024-05-11
ORD-00227,C019,Royaume-Uni,1405.88,2024-12-02
ORD-00228,C030,Espagne,2067.98,2024-02-22
ORD-00229,C026,Royaume-Uni,850.73,2024-09-18
ORD-00230,C029,Espagne,2536.81,2024-11-25
ORD-00231,C045,Espagne,995.66,2024-01-08
ORD-00232,C002,Espagne,290.8,2024-04-30
ORD-00233,C049,Espagne,1088.47,2024-12-19
ORD-00234,C005,Royaume-Uni,1585.34,2024-08-22
ORD-00235,C006,Allemagne,2069.07,2024-04-25
ORD-00236,C004,Royaume-Uni,844.77,2024-08-21
ORD-00237,C035,Allemagne,755.56,2024-09-28
ORD-00238,C022,Espagne,1038.77,2024-04-16
ORD-00239,C040,Espagne,2794.25,2024-10-14
ORD-00240,C005,France,931.45,2024-08-01
ORD-00241,C016,Royaume-Uni,2042.08,2024-12-08
ORD-00242,C004,Espagne,1704.48,2024-04-22
ORD-00243,C043,France,410.56,2024-08-24
ORD-00244,C019,Italie,2194.43,2024-02-23
ORD-00245,C043,France,1671.82,2024-02-18
ORD-00246,C048,France,1924.68,2024-09-10
ORD-00247,C039,Espagne,2991.2,2024-01-05
ORD-00248,C004,Royaume-Uni,2398.74,2024-04-12
ORD-00249,C017,Allemagne,939.24,2024-02-22
ORD-00250,C025,Royaume-Uni,347.16,2024-06-01
ORD-00251,C027,France,2423.47,2024-11-28
ORD-00252,C018,Allemagne,1836.77,2024-05-18
ORD-00253,C028,Espagne,613.53,2024-10-19
ORD-00254,C008,Italie,1615.12,2024-01-08
ORD-00255,C036,Allemagne,2929.99,2024-01-16
ORD-00256,C023,Espagne,1995.18,2024-03-21
ORD-00257,C013,Italie,990.53,2024-07-29
ORD-00258,C044,Royaume-Uni,2806.9,2024-11-03
ORD-00259,C037,France,2960.89,2024-04-20
ORD-00260,C024,Royaume-Uni,1477.43,2024-02-21
ORD-00261,C026,Royaume-Uni,790.06,2024-09-26
ORD-00262,C026,Italie,749.9,2024-06-12
ORD-00263,C002,Allemagne,1686.29,2024-01-03
ORD-00264,C031,Italie,1002.34,2024-09-30
ORD-00265,C009,France,402.0,2024-09-27
ORD-00266,C050,Allemagne,1852.72,2024-06-06
ORD-00267,C020,Royaume-Uni,1726.82,2024-10-13
ORD-00268,C025,Italie,2582.16,2024-02-23
ORD-00269,C031,Espagne,2116.04,2024-09-26
ORD-00270,C009,Italie,2733.19,2024-08-09
ORD-00271,C045,Royaume-Uni,930.62,2024-05-29
ORD-00272,C011,Allemagne,1286.53,2024-10-19
ORD-00273,C050,France,65.86,2024-09-13
ORD-00274,C022,Royaume-Uni,1779.62,2024-08-31
ORD-00275,C037,France,1563.46,2024-07-08
ORD-00276,C043,Italie,1958.14,2024-06-10
ORD-00277,C002,Allemagne,1939.03,2024-10-21
ORD-00278,C004,France,1094.9,2024-12-16
ORD-00279,C017,Italie,527.27,2024-05-24
ORD-00280,C012,Allemagne,104.59,2024-08-20
ORD-00281,C016,France,673.92,2024-01-01
ORD-00282,C013,Royaume-Uni,836.23,2024-11-07
ORD-00283,C001,Espagne,354.68,2024-01-02
ORD-00284,C023,France,2900.7,2024-11-14
ORD-00285,C035,Royaume-Uni,2151.36,2024-12-23
ORD-00286,C039,Espagne,799.95,2024-09-16
ORD-00287,C038,Italie,2847.71,2024-08-16
ORD-00288,C037,France,983.83,2024-11-22
ORD-00289,C018,Royaume-Uni,2164.01,2024-10-22
ORD-00290,C004,Italie,1895.79,2024-10-29
ORD-00291,C049,France,952.71,2024-05-14
ORD-00292,C008,Allemagne,63.91,2024-03-10
ORD-00293,C031,Italie,200.4,2024-05-20
ORD-00294,C029,Espagne,1952.87,2024-01-13
ORD-00295,C005,Espagne,1419.83,2024-03-10
ORD-00296,C016,Italie,2423.8,2024-06-09
ORD-00297,C030,Allemagne,2616.67,2024-03-16
ORD-00298,C021,Espagne,2799.42,2024-05-15
ORD-00299,C045,Italie,2906.42,2024-10-11
ORD-00300,C019,Allemagne,1240.91,2024-07-19
ORD-00301,C050,Italie,1731.17,2024-07-29
ORD-00302,C018,Allemagne,510.55,2024-02-15
ORD-00303,C034,Royaume-Uni,1587.29,2024-11-14
ORD-00304,C007,Espagne,2320.84,2024-10-28
ORD-00305,C034,Espagne,1489.17,2024-06-15
ORD-00306,C003,Allemagne,73.81,2024-10-23
ORD-00307,C045,Royaume-Uni,2107.51,2024-10-15
ORD-00308,C009,Royaume-Uni,2656.7,2024-10-28
ORD-00309,C039,Allemagne,521.26,2024-06-20
ORD-00310,C041,Italie,2920.49,2024-04-26
ORD-00311,C022,France,2828.63,2024-01-09
ORD-00312,C044,Espagne,1232.25,2024-11-03
ORD-00313,C021,France,1389.56,2024-08-23
ORD-00314,C001,Espagne,1489.94,2024-06-03
ORD-00315,C047,Espagne,1525.0,2024-09-13
ORD-00316,C050,Royaume-Uni,235.13,2024-02-18
ORD-00317,C017,Italie,2045.09,2024-02-25
ORD-00318,C016,France,2603.86,2024-05-01
ORD-00319,C037,France,1720.03,2024-11-07
ORD-00320,C001,France,88.44,2024-04-16
ORD-00321,C034,Italie,91.28,2024-11-20
ORD-00322,C038,Allemagne,2980.24,2024-07-21
ORD-00323,C047,France,2936.85,2024-11-20
ORD-00324,C046,Royaume-Uni,1515.54,2024-07-27
ORD-00325,C041,Italie,2951.54,2024-11-26
ORD-00326,C037,France,224.08,2024-04-01
ORD-00327,C042,Royaume-Uni,1946.52,2024-06-08
ORD-00328,C017,Allemagne,2545.24,2024-07-11
ORD-00329,C023,France,1065.48,2024-09-11
ORD-00330,C018,Allemagne,1725.97,2024-02-21
ORD-00331,C048,Royaume-Uni,1764.57,2024-04-22
ORD-00332,C017,Royaume-Uni,2295.27,2024-05-26
ORD-00333,C014,Royaume-Uni,646.99,2024-01-21
ORD-00334,C013,Royaume-Uni,1805.09,2024-06-30
ORD-00335,C003,Italie,316.05,2024-12-12
ORD-00336,C014,Royaume-Uni,2053.72,2024-09-16
ORD-00337,C014,Royaume-Uni,2941.8,2024-11-11
ORD-00338,C005,Allemagne,2716.72,2024-08-06
ORD-00339,C042,Espagne,1614.06,2024-02-03
ORD-00340,C022,Royaume-Uni,1505.02,2024-08-31
ORD-00341,C047,Italie,2537.97,2024-06-28
ORD-00342,C049,France,2580.0,2024-07-18
ORD-00343,C026,Royaume-Uni,2648.22,2024-04-12
ORD-00344,C009,Espagne,1008.41,2024-03-27
ORD-00345,C033,Allemagne,2054.07,2024-01-04
ORD-00346,C043,France,2190.06,2024-05-18
ORD-00347,C049,France,331.87,2024-06-15
ORD-00348,C011,Royaume-Uni,1608.73,2024-09-21
ORD-00349,C036,Espagne,208.08,2024-09-13
ORD-00350,C032,Espagne,1066.63,2024-07-20
ORD-00351,C006,Allemagne,945.03,2024-04-27
ORD-00352,C008,Allemagne,153.11,2024-01-02
ORD-00353,C020,Allemagne,118.87,2024-05-01
ORD-00354,C028,Italie,727.14,2024-12-28
ORD-00355,C024,Royaume-Uni,2222.98,2024-12-24
ORD-00356,C038,France,1690.25,2024-05-11
ORD-00357,C006,Royaume-Uni,1087.72,2024-06-23
ORD-00358,C005,Espagne,1336.85,2024-01-12
ORD-00359,C039,Royaume-Uni,1826.44,2024-11-20
ORD-00360,C043,Espagne,1872.87,2024-08-11
ORD-00361,C011,France,860.74,2024-05-05
ORD-00362,C037,France,2058.07,2024-01-27
ORD-00363,C001,Allemagne,1463.94,2024-04-05
ORD-00364,C012,France,714.65,2024-05-11
ORD-00365,C010,Italie,2440.05,2024-04-23
ORD-00366,C006,Espagne,711.2,2024-02-15
ORD-00367,C035,Royaume-Uni,752.7,2024-02-27
ORD-00368,C026,Allemagne,1079.74,2024-11-19
ORD-00369,C028,Italie,1998.41,2024-03-31
ORD-00370,C034,Royaume-Uni,2968.91,2024-06-16
ORD-00371,C024,Allemagne,823.14,2024-07-22
ORD-00372,C045,Royaume-Uni,1623.2,2024-10-19
ORD-00373,C007,France,1715.73,2024-07-17
ORD-00374,C038,France,549.24,2024-11-25
ORD-00375,C046,Allemagne,2840.64,2024-12-02
ORD-00376,C017,France,2349.85,2024-06-18
ORD-00377,C026,Allemagne,961.47,2024-12-20
ORD-00378,C002,Allemagne,2610.95,2024-07-08
ORD-00379,C030,Royaume-Uni,2735.83,2024-09-24
ORD-00380,C026,France,2407.24,2024-08-19
ORD-00381,C035,Royaume-Uni,2716.37,2024-05-08
ORD-00382,C023,Royaume-Uni,279.79,2024-06-02
ORD-00383,C005,Espagne,1756.07,2024-10-29
ORD-00384,C011,Royaume-Uni,397.51,2024-12-17
ORD-00385,C011,Espagne,1238.34,2024-01-07
ORD-00386,C023,Italie,208.17,2024-06-05
ORD-00387,C017,Royaume-Uni,2191.03,2024-08-11
ORD-00388,C013,Allemagne,1652.8,2024-12-21
ORD-00389,C017,Italie,2392.57,2024-11-27
ORD-00390,C039,Italie,2258.92,2024-11-30
ORD-00391,C020,Allemagne,2477.75,2024-08-30
ORD-00392,C047,Royaume-Uni,1680.72,2024-08-03
ORD-00393,C009,Espagne,259.92,2024-05-27
ORD-00394,C028,Italie,913.78,2024-10-16
ORD-00395,C020,Italie,918.5,2024-12-07
ORD-00396,C043,France,1479.68,2024-10-18
ORD-00397,C003,Royaume-Uni,1159.3,2024-01-17
ORD-00398,C008,Espagne,762.25,2024-06-15
ORD-00399,C047,Italie,540.18,2024-02-21
ORD-00400,C027,Italie,2411.71,2024-09-09
