OrderID,OrderDate,Region,ProductID,Revenue,Cost,Category
ORD-00058,2024-10-23,FR,P001,130.82,71.82,Électronique
ORD-00059,2024-04-12,FR,P001,1162.22,650.39,Accessoires
ORD-00060,2024-09-11,UK,P012,2751.03,1595.12,Périphériques
ORD-00061,2024-10-20,IT,P009,2401.3,1627.55,Périphériques
ORD-00062,2024-04-24,FR,P001,967.9,463.97,Électronique
ORD-00063,2024-01-18,ES,P009,981.54,713.41,Périphériques
ORD-00064,2024-10-28,IT,P012,1953.77,1454.72,Accessoires
ORD-00065,2024-05-17,FR,P002,1875.5,1159.52,Électronique
ORD-00066,2024-08-06,ES,P007,1791.26,950.19,Électronique
ORD-00067,2024-08-01,IT,P009,1332.9,654.27,Périphériques
ORD-00068,2024-08-31,UK,P007,336.43,206.41,Périphériques
ORD-00069,2024-11-29,DE,P008,1780.82,1162.48,Périphériques
ORD-00070,2024-12-12,FR,P001,2067.28,1286.82,Accessoires
ORD-00071,2024-09-28,ES,P002,1462.2,732.65,Électronique
ORD-00072,2024-12-07,FR,P008,1465.2,635.66,Accessoires
ORD-00073,2024-10-08,UK,P001,706.18,338.04,Périphériques
ORD-00074,2024-03-28,FR,P003,56.18,41.23,Électronique
ORD-00075,2024-04-09,IT,P001,2852.19,1767.96,Électronique
ORD-00076,2024-07-02,UK,P006,1873.98,1404.68,Électronique
ORD-00077,2024-01-28,IT,P012,2364.69,1506.72,Périphériques
ORD-00078,2024-02-16,UK,P006,2657.25,1553.11,Périphériques
ORD-00079,2024-08-05,IT,P004,702.42,393.39,Électronique
ORD-00080,2024-09-15,ES,P008,2873.62,1498.84,Accessoires
ORD-00081,2024-04-11,DE,P008,1870.23,944.5,Accessoires
ORD-00082,2024-06-17,IT,P004,2313.71,1544.78,Électronique
ORD-00083,2024-04-03,UK,P009,2927.4,1592.04,Électronique
ORD-00084,2024-09-30,UK,P012,2659.7,1367.43,Accessoires
ORD-00085,2024-02-28,ES,P009,2370.84,1091.91,Électronique
ORD-00086,2024-12-07,DE,P011,1383.87,797.29,Périphériques
ORD-00087,2024-11-09,UK,P003,1141.53,716.51,Périphériques
ORD-00088,2024-11-20,ES,P002,2749.1,1252.25,Périphériques
ORD-00089,2024-03-10,UK,P010,2509.4,1467.9,Accessoires
ORD-00090,2024-10-22,DE,P010,422.32,285.08,Périphériques
ORD-00091,2024-01-06,ES,P009,1476.23,981.84,Électronique
ORD-00092,2024-06-14,UK,P003,1931.84,948.82,Accessoires
ORD-00093,2024-09-20,ES,P005,1478.85,892.92,Électronique
ORD-00094,2024-07-20,DE,P012,96.79,70.03,Électronique
ORD-00095,2024-08-19,UK,P008,629.98,388.32,Périphériques
ORD-00096,2024-02-19,ES,P007,2598.67,1221.55,Accessoires
ORD-00097,2024-06-29,ES,P008,2983.32,1676.57,Périphériques
ORD-00098,2024-03-12,ES,P001,189.6,106.25,Accessoires
ORD-00099,2024-05-02,ES,P002,435.62,300.83,Électronique
ORD-00100,2024-06-29,IT,P001,2471.87,1502.13,Électronique
ORD-00101,2024-10-25,IT,P010,2332.39,1684.35,Périphériques
ORD-00102,2024-08-26,FR,P006,2145.26,1185.97,Électronique
ORD-00103,2024-12-09,IT,P009,2825.69,1765.62,Périphériques
ORD-00104,2024-10-23,IT,P006,482.87,217.95,Périphériques
ORD-00105,2024-12-25,UK,P005,2713.52,1261.69,Périphériques
ORD-00106,2024-01-02,FR,P002,1245.25,617.24,Périphériques
ORD-00107,2024-02-24,ES,P010,2201.89,1094.55,Électronique
ORD-00108,2024-05-15,ES,P011,1550.05,658.28,Périphériques
ORD-00109,2024-02-14,UK,P008,1711.35,1209.81,Accessoires
ORD-00110,2024-10-25,FR,P003,1263.74,697.53,Électronique
ORD-00111,2024-12-08,ES,P001,2562.21,1470.59,Accessoires
ORD-00112,2024-08-05,ES,P008,2426.03,1690.97,Électronique
ORD-00113,2024-12-21,UK,P003,1444.78,820.7,Accessoires
ORD-00114,2024-03-18,DE,P001,1686.55,856.86,Électronique
ORD-00115,2024-02-11,UK,P001,2298.45,1393.02,Accessoires
ORD-00116,2024-12-14,IT,P005,2155.66,1424.58,Accessoires
ORD-00117,2024-09-05,FR,P005,2023.21,1069.19,Périphériques
ORD-00118,2024-10-25,IT,P004,1889.03,791.34,Périphériques
ORD-00119,2024-04-12,IT,P009,2746.31,1986.34,Accessoires
ORD-00120,2024-04-22,UK,P002,2287.56,1615.18,Accessoires
ORD-00121,2024-07-05,UK,P008,2491.88,1802.78,Électronique
ORD-00122,2024-11-05,DE,P011,2394.46,1751.05,Électronique
ORD-00123,2024-11-07,DE,P003,2009.42,1159.67,Accessoires
ORD-00124,2024-10-05,ES,P008,1616.48,1158.45,Électronique
ORD-00125,2024-09-08,DE,P002,1613.55,859.03,Accessoires
ORD-00126,2024-03-05,IT,P010,1567.04,783.54,Périphériques
ORD-00127,2024-09-01,ES,P002,1227.6,920.42,Accessoires
ORD-00128,2024-01-09,UK,P008,1828.12,1190.82,Périphériques
ORD-00129,2024-09-17,UK,P009,1648.29,683.85,Électronique
ORD-00130,2024-11-09,FR,P003,2695.0,1480.42,Électronique
ORD-00131,2024-03-11,FR,P012,945.78,694.89,Périphériques
ORD-00132,2024-05-14,FR,P001,1737.94,1248.87,Accessoires
ORD-00133,2024-12-04,DE,P004,1192.68,756.65,Électronique
ORD-00134,2024-12-06,IT,P004,1986.31,912.89,Électronique
ORD-00135,2024-02-16,FR,P011,1893.61,1202.24,Électronique
ORD-00136,2024-03-24,DE,P001,370.03,155.61,Électronique
ORD-00137,2024-07-30,IT,P012,1093.45,602.85,Accessoires
ORD-00138,2024-11-19,DE,P009,105.42,66.87,Accessoires
ORD-00139,2024-11-01,UK,P005,1372.21,919.37,Électronique
ORD-00140,2024-06-05,UK,P002,2534.95,1020.61,Électronique
ORD-00141,2024-02-09,IT,P009,2345.76,1361.72,Périphériques
ORD-00142,2024-06-06,ES,P008,2670.58,1772.7,Périphériques
ORD-00143,2024-06-26,IT,P001,199.6,90.49,Électronique
ORD-00144,2024-02-24,UK,P006,2300.5,1537.2,Périphériques
ORD-00145,2024-10-02,ES,P011,1110.24,677.48,Électronique
ORD-00146,2024-04-14,ES,P006,2351.77,1671.28,Périphériques
ORD-00147,2024-09-13,ES,P001,2623.0,1418.63,Accessoires
ORD-00148,2024-09-10,DE,P002,2577.75,1804.19,Accessoires
ORD-00149,2024-05-06,IT,P008,574.75,280.38,Électronique
ORD-00150,2024-05-29,DE,P001,838.22,617.31,Électronique
ORD-00151,2024-05-30,IT,P002,646.75,443.89,Électronique
ORD-00152,2024-12-16,UK,P002,2180.41,1345.12,Périphériques
ORD-00153,2024-04-02,FR,P011,1719.23,1260.62,Accessoires
ORD-00154,2024-06-02,DE,P003,879.31,530.83,Accessoires
ORD-00155,2024-01-05,ES,P001,771.7,402.28,Électronique
ORD-00156,2024-06-06,ES,P010,2826.29,1233.99,Électronique
ORD-00157,2024-05-21,ES,P006,2222.13,897.29,Accessoires
ORD-00158,2024-01-05,FR,P006,2571.76,1742.31,Périphériques
ORD-00159,2024-05-17,FR,P007,968.03,676.46,Périphériques
ORD-00160,2024-01-28,DE,P001,1813.58,1355.59,Électronique
ORD-00161,2024-12-03,FR,P006,2257.27,1280.11,Périphériques
ORD-00162,2024-09-04,UK,P004,975.6,691.69,Périphériques
ORD-00163,2024-09-30,DE,P009,2310.31,1330.87,Électronique
ORD-00164,2024-01-26,DE,P002,2397.83,1174.74,Accessoires
ORD-00165,2024-03-16,UK,P007,2944.37,2163.13,Électronique
ORD-00166,2024-11-17,IT,P003,250.06,155.59,Périphériques
ORD-00167,2024-12-27,FR,P012,124.72,82.13,Électronique
ORD-00168,2024-01-19,IT,P009,1758.02,795.67,Périphériques
ORD-00169,2024-11-01,UK,P004,1310.24,792.14,Électronique
ORD-00170,2024-09-13,FR,P010,149.99,77.11,Électronique
ORD-00171,2024-11-18,FR,P002,117.63,64.82,Périphériques
ORD-00172,2024-01-25,DE,P005,2086.62,1185.66,Électronique
ORD-00173,2024-01-16,FR,P003,1273.21,915.92,Électronique
ORD-00174,2024-11-02,FR,P002,1750.75,876.56,Accessoires
ORD-00175,2024-03-02,IT,P003,1892.71,1167.1,Périphériques
ORD-00176,2024-08-26,IT,P004,921.61,531.93,Périphériques
ORD-00177,2024-01-25,ES,P006,2589.74,1813.62,Électronique
ORD-00178,2024-04-23,IT,P003,2754.66,1371.7,Accessoires
ORD-00179,2024-10-06,IT,P011,297.31,179.82,Accessoires
ORD-00180,2024-07-12,IT,P008,85.85,55.42,Accessoires
ORD-00181,2024-05-06,DE,P001,1019.93,544.16,Périphériques
ORD-00182,2024-05-24,IT,P008,1814.88,1168.57,Accessoires
ORD-00183,2024-09-08,FR,P007,2989.71,1478.82,Électronique
ORD-00184,2024-12-12,UK,P002,876.75,630.55,Périphériques
ORD-00185,2024-10-06,UK,P001,623.33,443.73,Électronique
ORD-00186,2024-04-30,ES,P011,2358.85,1050.15,Périphériques
ORD-00187,2024-11-13,UK,P012,2476.58,1335.79,Accessoires
ORD-00188,2024-05-06,DE,P004,2183.64,1369.36,Périphériques
ORD-00189,2024-09-27,IT,P004,1056.56,763.94,Accessoires
ORD-00190,2024-08-12,IT,P008,543.73,246.56,Électronique
ORD-00191,2024-12-15,ES,P009,1876.2,1336.36,Accessoires
ORD-00192,2024-02-14,DE,P011,102.15,74.35,Périphériques
ORD-00193,2024-12-17,UK,P006,1088.8,591.18,Périphériques
ORD-00194,2024-11-14,DE,P001,63.18,39.43,Accessoires
ORD-00195,2024-07-10,DE,P009,338.47,237.2,Périphériques
ORD-00196,2024-02-22,UK,P001,1248.94,624.56,Électronique
ORD-00197,2024-03-23,IT,P012,2102.92,855.82,Périphériques
ORD-00198,2024-02-21,IT,P001,2092.84,1051.96,Accessoires
ORD-00199,2024-10-09,FR,P007,2070.96,1430.37,Périphériques
ORD-00200,2024-03-02,IT,P011,1139.83,839.87,Électronique
ORD-00201,2024-01-19,UK,P009,1792.52,738.71,Électronique
ORD-00202,2024-03-09,DE,P008,2812.4,1822.62,Périphériques
ORD-00203,2024-11-04,ES,P004,488.22,302.81,Périphériques
ORD-00204,2024-04-19,DE,P005,2436.76,1370.62,Électronique
ORD-00205,2024-10-13,IT,P002,1109.69,664.32,Périphériques
ORD-00206,2024-02-01,UK,P006,1720.83,1140.13,Accessoires
ORD-00207,2024-04-01,DE,P007,59.69,24.51,Accessoires
ORD-00208,2024-10-01,ES,P004,1174.44,733.82,Périphériques
ORD-00209,2024-04-21,DE,P009,512.12,337.15,Périphériques
ORD-00210,2024-10-04,FR,P006,1729.51,739.81,Périphériques
ORD-00211,2024-12-24,UK,P003,2707.08,1906.25,Accessoires
ORD-00212,2024-04-14,DE,P002,131.07,55.77,Accessoires
ORD-00213,2024-03-09,FR,P009,1169.92,718.19,Périphériques
ORD-00214,2024-04-11,IT,P003,1125.34,473.21,Périphériques
ORD-00215,2024-03-24,FR,P012,1590.26,656.93,Périphériques
ORD-00216,2024-02-02,FR,P002,2188.87,1312.24,Électronique
ORD-00217,2024-04-22,IT,P011,944.32,449.28,Électronique
ORD-00218,2024-07-13,ES,P005,1670.01,1154.31,Électronique
ORD-00219,2024-01-20,ES,P001,2257.98,1125.91,Électronique
ORD-00220,2024-06-26,IT,P004,996.27,704.84,Électronique
ORD-00221,2024-04-16,ES,P011,843.33,498.57,Périphériques
ORD-00222,2024-11-19,ES,P004,575.14,345.09,Périphériques
ORD-00223,2024-07-15,IT,P008,2661.08,1163.83,Accessoires
ORD-00224,2024-11-30,ES,P012,1852.06,1067.9,Périphériques
ORD-00225,2024-02-24,UK,P009,1191.37,626.93,Électronique
ORD-00226,2024-03-17,ES,P006,1807.23,1005.02,Électronique
ORD-00227,2024-05-10,DE,P009,925.73,551.02,Électronique
ORD-00228,2024-10-02,DE,P003,697.85,281.92,Électronique
ORD-00229,2024-06-17,DE,P007,1883.03,1005.25,Accessoires
ORD-00230,2024-05-08,FR,P007,690.97,395.28,Périphériques
ORD-00231,2024-11-23,IT,P001,973.1,480.53,Accessoires
ORD-00232,2024-02-03,UK,P008,1947.44,925.49,Périphériques
ORD-00233,2024-08-01,IT,P005,2398.53,1783.37,Périphériques
ORD-00234,2024-06-16,FR,P006,140.09,66.43,Accessoires
ORD-00235,2024-12-24,DE,P004,617.54,351.29,Périphériques
ORD-00236,2024-02-04,IT,P003,1276.99,512.53,Accessoires
ORD-00237,2024-10-18,DE,P012,616.29,302.42,Périphériques
ORD-00238,2024-08-12,FR,P012,2688.51,1797.3,Périphériques
ORD-00239,2024-03-17,DE,P001,600.31,304.69,Périphériques
ORD-00240,2024-03-02,ES,P002,994.85,743.3,Périphériques
ORD-00241,2024-04-25,IT,P004,2920.44,1347.99,Périphériques
ORD-00242,2024-05-03,DE,P006,2962.49,1740.28,Périphériques
ORD-00243,2024-01-13,FR,P002,2436.05,1772.51,Électronique
ORD-00244,2024-03-28,IT,P007,2007.79,1334.95,Électronique
ORD-00245,2024-09-16,ES,P005,1913.19,1243.89,Accessoires
ORD-00246,2024-07-27,UK,P003,1376.7,719.2,Accessoires
ORD-00247,2024-01-18,FR,P010,506.07,267.67,Périphériques
ORD-00248,2024-08-02,DE,P009,2184.03,1312.99,Électronique
ORD-00249,2024-12-26,IT,P007,1947.14,1291.61,Accessoires
ORD-00250,2024-08-23,IT,P012,1978.68,1044.76,Périphériques
ORD-00251,2024-01-30,FR,P011,953.73,489.54,Périphériques
ORD-00252,2024-08-20,UK,P008,682.85,402.58,Périphériques
ORD-00253,2024-03-13,FR,P005,2268.29,1453.08,Électronique
ORD-00254,2024-06-26,DE,P010,1718.28,696.36,Périphériques
ORD-00255,2024-09-20,DE,P009,2967.1,2103.03,Accessoires
ORD-00256,2024-07-18,IT,P004,74.43,39.98,Accessoires
ORD-00257,2024-08-15,ES,P009,663.66,484.58,Accessoires
ORD-00258,2024-08-16,FR,P007,2819.69,1546.87,Accessoires
ORD-00259,2024-02-23,FR,P008,2039.3,1091.88,Accessoires
ORD-00260,2024-02-04,DE,P009,739.96,553.81,Périphériques
ORD-00261,2024-07-03,IT,P008,252.3,187.97,Accessoires
ORD-00262,2024-08-18,UK,P008,290.52,132.88,Électronique
ORD-00263,2024-03-05,UK,P006,759.47,482.73,Électronique
ORD-00264,2024-01-26,FR,P007,764.25,398.43,Accessoires
ORD-00265,2024-04-20,ES,P011,1566.13,1096.74,Accessoires
ORD-00266,2024-01-26,FR,P002,2061.01,1353.57,Électronique
ORD-00267,2024-05-15,DE,P012,280.53,138.4,Accessoires
ORD-00268,2024-01-12,ES,P002,2429.27,1214.48,Périphériques
ORD-00269,2024-09-25,ES,P003,1900.05,1403.05,Électronique
ORD-00270,2024-11-02,IT,P003,439.38,182.23,Électronique
ORD-00271,2024-04-06,UK,P002,1163.56,585.99,Électronique
ORD-00272,2024-01-11,DE,P002,326.14,239.65,Électronique
ORD-00273,2024-03-01,DE,P012,2929.4,1190.48,Accessoires
ORD-00274,2024-01-20,FR,P012,934.54,389.62,Électronique
ORD-00275,2024-07-24,ES,P012,465.97,276.54,Électronique
ORD-00276,2024-10-20,UK,P006,392.15,275.69,Accessoires
ORD-00277,2024-10-20,DE,P011,262.83,187.04,Accessoires
ORD-00278,2024-01-29,UK,P001,444.97,257.69,Électronique
ORD-00279,2024-07-21,IT,P005,1039.35,506.17,Périphériques
ORD-00280,2024-10-15,IT,P009,519.82,296.39,Périphériques
ORD-00281,2024-07-05,FR,P004,1956.89,963.74,Accessoires
ORD-00282,2024-06-03,UK,P005,2743.91,1203.36,Électronique
ORD-00283,2024-08-23,FR,P001,381.89,154.0,Électronique
ORD-00284,2024-07-09,IT,P009,2020.51,899.38,Accessoires
ORD-00285,2024-05-19,FR,P006,1377.09,610.47,Périphériques
ORD-00286,2024-10-27,IT,P011,2221.98,1503.67,Accessoires
ORD-00287,2024-03-11,DE,P010,2421.72,1719.82,Électronique
ORD-00288,2024-06-06,ES,P002,2938.92,2123.43,Accessoires
ORD-00289,2024-01-17,UK,P001,1514.9,1057.38,Électronique
ORD-00290,2024-06-04,FR,P008,2635.67,1176.25,Périphériques
ORD-00291,2024-10-20,ES,P001,1596.49,705.23,Périphériques
ORD-00292,2024-07-12,DE,P008,2854.3,1193.71,Périphériques
ORD-00293,2024-06-17,UK,P003,1926.33,1324.92,Accessoires
ORD-00294,2024-01-12,ES,P010,2450.31,1823.46,Accessoires
ORD-00295,2024-01-26,DE,P003,2497.71,1214.34,Accessoires
ORD-00296,2024-10-13,IT,P003,1073.07,563.56,Accessoires
ORD-00297,2024-09-11,IT,P008,2670.76,1983.49,Accessoires
ORD-00298,2024-06-06,ES,P006,1085.21,690.29,Accessoires
ORD-00299,2024-11-08,FR,P001,2983.22,2021.62,Accessoires
ORD-00300,2024-11-09,IT,P003,2343.43,1497.26,Électronique
ORD-00301,2024-11-05,ES,P002,2101.45,1548.77,Électronique
ORD-00302,2024-05-22,UK,P010,2382.09,1134.23,Accessoires
ORD-00303,2024-04-03,DE,P006,343.27,199.61,Électronique
ORD-00304,2024-05-08,DE,P004,769.1,309.71,Électronique
ORD-00305,2024-02-18,IT,P008,2377.75,1561.78,Électronique
ORD-00306,2024-05-24,ES,P012,1388.62,770.26,Électronique
ORD-00307,2024-05-18,DE,P004,2396.2,1544.15,Accessoires
ORD-00308,2024-11-02,ES,P006,1558.51,743.8,Électronique
ORD-00309,2024-03-04,DE,P012,2858.32,2001.1,Électronique
ORD-00310,2024-02-09,UK,P003,1519.64,872.1,Électronique
ORD-00311,2024-07-06,ES,P009,1617.08,699.16,Électronique
ORD-00312,2024-08-19,ES,P012,1369.33,764.86,Périphériques
ORD-00313,2024-12-25,FR,P011,74.39,42.99,Électronique
ORD-00314,2024-05-23,FR,P004,1030.14,517.54,Accessoires
ORD-00315,2024-08-01,FR,P012,2803.53,1861.47,Accessoires
ORD-00316,2024-10-16,FR,P012,2835.64,1304.43,Accessoires
ORD-00317,2024-10-13,ES,P006,183.25,73.45,Périphériques
ORD-00318,2024-09-27,ES,P008,1339.64,589.14,Périphériques
ORD-00319,2024-10-01,UK,P004,1458.28,738.04,Électronique
ORD-00320,2024-05-19,DE,P009,546.62,332.72,Périphériques
ORD-00321,2024-07-10,FR,P010,707.69,417.22,Électronique
ORD-00322,2024-04-10,ES,P004,1988.74,1299.14,Accessoires
ORD-00323,2024-02-27,FR,P007,2910.72,2108.2,Périphériques
ORD-00324,2024-08-18,FR,P002,1200.08,579.3,Périphériques
ORD-00325,2024-01-01,ES,P009,914.95,600.44,Électronique
ORD-00326,2024-09-03,ES,P010,1823.91,1264.12,Périphériques
ORD-00327,2024-10-16,IT,P008,1549.2,906.56,Accessoires
ORD-00328,2024-09-08,DE,P011,1062.67,461.71,Électronique
ORD-00329,2024-09-27,DE,P004,2620.02,1301.79,Accessoires
ORD-00330,2024-04-24,ES,P009,2599.76,1271.29,Accessoires
ORD-00331,2024-09-03,IT,P001,2885.09,1833.32,Électronique
ORD-00332,2024-04-17,IT,P001,379.31,216.99,Électronique
ORD-00333,2024-03-28,UK,P010,1702.23,1095.4,Accessoires
ORD-00334,2024-07-17,UK,P002,2881.03,2057.12,Accessoires
ORD-00335,2024-04-04,DE,P011,373.02,170.24,Électronique
ORD-00336,2024-10-26,IT,P006,72.02,40.54,Périphériques
ORD-00337,2024-10-08,UK,P003,1094.14,564.84,Périphériques
ORD-00338,2024-03-29,DE,P007,2828.12,1980.31,Accessoires
ORD-00339,2024-03-19,UK,P008,337.08,214.01,Accessoires
ORD-00340,2024-05-05,IT,P006,1313.13,585.18,Périphériques
ORD-00341,2024-07-21,ES,P004,2938.94,2189.91,Accessoires
ORD-00342,2024-10-28,UK,P004,1461.05,990.63,Périphériques
ORD-00343,2024-07-05,FR,P003,1785.49,991.07,Accessoires
ORD-00344,2024-03-21,DE,P010,1155.63,753.04,Accessoires
ORD-00345,2024-12-26,UK,P006,1073.4,773.56,Accessoires
ORD-00346,2024-05-11,IT,P004,1713.96,1208.23,Périphériques
ORD-00347,2024-05-09,UK,P007,1495.53,1116.41,Électronique
ORD-00348,2024-09-08,ES,P006,2303.3,1450.92,Périphériques
ORD-00349,2024-08-03,ES,P003,1218.03,551.87,Accessoires
ORD-00350,2024-08-07,IT,P007,2941.23,2028.14,Périphériques
