OrderID,OrderDate,Revenue
ORD-00067,2024-05-12,929.53
ORD-00068,2024-02-07,1477.41
ORD-00069,2024-12-21,2649.52
ORD-00070,2024-08-07,1464.06
ORD-00071,2024-12-23,247.93
ORD-00072,2024-06-14,1910.38
ORD-00073,2024-12-22,1273.01
ORD-00074,2024-03-13,449.06
ORD-00075,2024-09-09,596.09
ORD-00076,2024-10-08,236.28
ORD-00077,2024-07-24,2775.09
ORD-00078,2024-11-23,1977.54
ORD-00079,2024-08-30,763.72
ORD-00080,2024-02-25,80.59
ORD-00081,2024-06-09,1430.58
ORD-00082,2024-01-13,906.71
ORD-00083,2024-06-03,2938.87
ORD-00084,2024-03-30,1596.37
ORD-00085,2024-02-24,542.71
ORD-00086,2024-07-29,311.63
ORD-00087,2024-06-16,1543.5
ORD-00088,2024-03-20,1221.98
ORD-00089,2024-06-29,1155.79
ORD-00090,2024-05-21,2142.68
ORD-00091,2024-09-16,2471.19
ORD-00092,2024-10-13,2335.61
ORD-00093,2024-07-11,657.69
ORD-00094,2024-09-18,2182.46
ORD-00095,2024-12-20,2045.5
ORD-00096,2024-04-19,2693.71
ORD-00097,2024-08-16,612.42
ORD-00098,2024-10-04,1060.69
ORD-00099,2024-10-13,2817.24
ORD-00100,2024-06-07,2839.79
ORD-00101,2024-02-18,59.47
ORD-00102,2024-11-14,781.5
ORD-00103,2024-02-05,507.31
ORD-00104,2024-08-07,1169.16
ORD-00105,2024-01-16,2811.62
ORD-00106,2024-10-04,1523.38
ORD-00107,2024-05-31,642.13
ORD-00108,2024-02-23,762.26
ORD-00109,2024-02-05,2784.84
ORD-00110,2024-11-14,1188.17
ORD-00111,2024-12-25,2007.68
ORD-00112,2024-08-02,1023.87
ORD-00113,2024-12-04,2648.28
ORD-00114,2024-01-16,1450.8
ORD-00115,2024-09-30,1387.02
ORD-00116,2024-05-13,2717.82
ORD-00117,2024-01-24,1207.06
ORD-00118,2024-08-24,57.73
ORD-00119,2024-08-16,2978.9
ORD-00120,2024-05-31,139.27
ORD-00121,2024-02-02,231.45
ORD-00122,2024-05-26,1886.05
ORD-00123,2024-10-19,1893.37
ORD-00124,2024-03-19,2249.88
ORD-00125,2024-12-19,635.14
ORD-00126,2024-05-08,2184.17
ORD-00127,2024-04-26,299.41
ORD-00128,2024-08-16,645.77
ORD-00129,2024-05-08,2362.68
ORD-00130,2024-09-27,2077.87
ORD-00131,2024-01-04,527.29
ORD-00132,2024-12-16,2721.08
ORD-00133,2024-05-26,2702.6
ORD-00134,2024-02-01,2105.46
ORD-00135,2024-07-25,879.49
ORD-00136,2024-07-19,991.55
ORD-00137,2024-05-19,491.17
ORD-00138,2024-10-23,1666.91
ORD-00139,2024-10-23,2876.39
ORD-00140,2024-08-06,1156.78
ORD-00141,2024-11-14,1137.63
ORD-00142,2024-12-16,2316.74
ORD-00143,2024-02-10,1069.0
ORD-00144,2024-08-11,336.45
ORD-00145,2024-06-10,441.49
ORD-00146,2024-12-24,1608.18
ORD-00147,2024-07-12,1101.37
ORD-00148,2024-08-17,2508.62
ORD-00149,2024-02-09,2500.92
ORD-00150,2024-03-05,1053.98
ORD-00151,2024-04-16,451.59
ORD-00152,2024-12-18,1163.13
ORD-00153,2024-06-24,1193.65
ORD-00154,2024-11-20,700.59
ORD-00155,2024-11-09,1886.65
ORD-00156,2024-10-30,2314.93
ORD-00157,2024-11-18,2681.21
ORD-00158,2024-02-06,1523.64
ORD-00159,2024-12-21,2869.78
ORD-00160,2024-09-04,934.9
ORD-00161,2024-09-27,2169.68
ORD-00162,2024-11-05,2344.58
ORD-00163,2024-09-01,350.91
ORD-00164,2024-10-19,2418.21
ORD-00165,2024-02-14,978.64
ORD-00166,2024-06-05,692.1
ORD-00167,2024-06-06,1403.09
ORD-00168,2024-04-11,364.07
ORD-00169,2024-09-26,903.5
ORD-00170,2024-12-03,2139.75
ORD-00171,2024-07-24,77.73
ORD-00172,2024-11-05,1002.07
ORD-00173,2024-05-01,762.04
ORD-00174,2024-10-03,2357.84
ORD-00175,2024-06-07,1985.66
ORD-00176,2024-08-20,2432.1
ORD-00177,2024-03-30,1405.87
ORD-00178,2024-09-14,1108.41
ORD-00179,2024-02-04,2406.6
ORD-00180,2024-07-22,1535.75
ORD-00181,2024-08-18,2274.08
ORD-00182,2024-06-21,504.09
ORD-00183,2024-07-21,2056.12
ORD-00184,2024-11-07,215.62
ORD-00185,2024-02-10,1536.32
ORD-00186,2024-08-24,1175.36
ORD-00187,2024-02-16,76.1
ORD-00188,2024-11-15,1200.67
ORD-00189,2024-07-19,920.86
ORD-00190,2024-10-03,1531.46
ORD-00191,2024-08-02,1425.35
ORD-00192,2024-02-20,2212.61
ORD-00193,2024-05-08,2567.4
ORD-00194,2024-05-17,2957.7
ORD-00195,2024-07-13,2931.68
ORD-00196,2024-08-11,2426.63
ORD-00197,2024-05-03,1671.6
ORD-00198,2024-12-13,2978.18
ORD-00199,2024-08-11,282.42
ORD-00200,2024-11-07,1458.32
ORD-00201,2024-03-06,1929.83
ORD-00202,2024-03-30,2352.21
ORD-00203,2024-06-09,2406.44
ORD-00204,2024-10-07,597.16
ORD-00205,2024-10-10,558.71
ORD-00206,2024-08-20,2290.44
ORD-00207,2024-08-27,359.65
ORD-00208,2024-12-23,2447.77
ORD-00209,2024-06-27,894.02
ORD-00210,2024-07-27,1121.93
ORD-00211,2024-01-29,1329.65
ORD-00212,2024-01-13,1749.03
ORD-00213,2024-08-09,2969.17
ORD-00214,2024-08-16,2454.73
ORD-00215,2024-02-20,856.01
ORD-00216,2024-02-08,2470.32
ORD-00217,2024-08-10,2172.74
ORD-00218,2024-09-03,380.09
ORD-00219,2024-01-14,2658.5
ORD-00220,2024-09-13,2678.2
ORD-00221,2024-02-05,927.43
ORD-00222,2024-06-11,594.48
ORD-00223,2024-12-07,1061.1
ORD-00224,2024-04-23,2493.32
ORD-00225,2024-01-08,1690.29
ORD-00226,2024-02-02,1344.91
ORD-00227,2024-05-29,2066.19
ORD-00228,2024-03-28,1758.07
ORD-00229,2024-09-15,542.98
ORD-00230,2024-07-21,1914.08
ORD-00231,2024-08-08,1285.42
ORD-00232,2024-11-17,1739.05
ORD-00233,2024-05-05,1330.91
ORD-00234,2024-11-19,532.22
ORD-00235,2024-04-16,923.07
ORD-00236,2024-06-25,586.67
ORD-00237,2024-11-01,2620.32
ORD-00238,2024-11-09,2562.11
ORD-00239,2024-01-24,290.86
ORD-00240,2024-10-09,2674.79
ORD-00241,2024-09-30,404.54
ORD-00242,2024-08-01,1763.17
ORD-00243,2024-03-01,1582.19
ORD-00244,2024-01-25,2254.38
ORD-00245,2024-10-31,2995.77
ORD-00246,2024-09-26,2906.48
ORD-00247,2024-02-26,1039.48
ORD-00248,2024-12-10,754.62
ORD-00249,2024-03-18,258.63
ORD-00250,2024-02-28,498.06
ORD-00251,2024-01-30,2091.01
ORD-00252,2024-08-24,2675.77
ORD-00253,2024-02-12,1162.12
ORD-00254,2024-02-23,1164.96
ORD-00255,2024-07-13,1422.29
ORD-00256,2024-09-11,2803.7
ORD-00257,2024-11-23,1901.92
ORD-00258,2024-12-16,2323.04
ORD-00259,2024-10-15,1185.7
ORD-00260,2024-04-04,2467.45
ORD-00261,2024-08-18,2220.75
ORD-00262,2024-11-06,1628.17
ORD-00263,2024-01-14,407.73
ORD-00264,2024-04-21,1426.03
ORD-00265,2024-08-24,1644.43
ORD-00266,2024-09-12,2282.02
ORD-00267,2024-10-17,2926.03
ORD-00268,2024-01-18,239.56
ORD-00269,2024-05-04,2006.46
ORD-00270,2024-09-05,636.97
ORD-00271,2024-04-10,2101.02
ORD-00272,2024-06-24,207.69
ORD-00273,2024-02-29,2252.8
ORD-00274,2024-08-25,1204.51
ORD-00275,2024-03-26,377.91
ORD-00276,2024-03-21,996.43
ORD-00277,2024-07-30,1677.26
ORD-00278,2024-02-16,1177.13
ORD-00279,2024-05-12,1125.51
ORD-00280,2024-04-16,357.94
ORD-00281,2024-06-02,223.81
ORD-00282,2024-01-13,919.36
ORD-00283,2024-11-11,243.58
ORD-00284,2024-02-10,1998.04
ORD-00285,2024-09-03,1704.65
ORD-00286,2024-12-23,1863.24
ORD-00287,2024-08-29,1861.65
ORD-00288,2024-11-23,2848.78
ORD-00289,2024-11-20,1822.98
ORD-00290,2024-09-08,1785.77
ORD-00291,2024-09-30,469.98
ORD-00292,2024-11-21,1101.49
ORD-00293,2024-08-03,263.26
ORD-00294,2024-01-12,2782.48
ORD-00295,2024-06-06,2833.88
ORD-00296,2024-02-24,963.46
ORD-00297,2024-01-28,666.54
ORD-00298,2024-07-07,2419.62
ORD-00299,2024-03-20,886.2
ORD-00300,2024-06-08,1764.53
ORD-00301,2024-02-17,2604.69
ORD-00302,2024-10-11,2100.41
ORD-00303,2024-07-19,1531.77
ORD-00304,2024-02-02,1725.31
ORD-00305,2024-10-30,1283.83
ORD-00306,2024-02-03,521.28
ORD-00307,2024-04-23,2771.88
ORD-00308,2024-04-06,1214.41
ORD-00309,2024-10-30,2040.82
ORD-00310,2024-07-27,2436.78
ORD-00311,2024-07-04,2456.03
ORD-00312,2024-06-18,1221.06
ORD-00313,2024-01-23,856.48
ORD-00314,2024-11-02,1308.01
ORD-00315,2024-01-27,390.28
ORD-00316,2024-10-08,138.98
ORD-00317,2024-01-27,2015.49
ORD-00318,2024-10-16,2362.46
ORD-00319,2024-07-27,1811.61
ORD-00320,2024-05-13,414.78
ORD-00321,2024-07-06,798.28
ORD-00322,2024-08-09,2393.24
ORD-00323,2024-09-14,264.41
ORD-00324,2024-09-04,767.37
ORD-00325,2024-05-05,2163.82
ORD-00326,2024-08-29,955.5
ORD-00327,2024-06-17,1735.91
ORD-00328,2024-06-13,1311.13
ORD-00329,2024-05-29,1977.57
ORD-00330,2024-10-13,1632.75
ORD-00331,2024-03-28,1094.31
ORD-00332,2024-07-20,2099.06
ORD-00333,2024-06-21,56.62
ORD-00334,2024-05-31,892.95
ORD-00335,2024-09-12,1129.24
ORD-00336,2024-01-31,842.76
ORD-00337,2024-03-01,1849.79
ORD-00338,2024-07-28,169.12
ORD-00339,2024-12-13,772.75
ORD-00340,2024-02-24,1110.45
ORD-00341,2024-07-15,332.32
ORD-00342,2024-05-09,824.86
ORD-00343,2024-03-25,2432.6
ORD-00344,2024-10-19,1119.74
ORD-00345,2024-08-22,1040.78
ORD-00346,2024-03-09,1613.85
ORD-00347,2024-02-15,880.75
ORD-00348,2024-07-19,2528.16
ORD-00349,2024-09-19,1720.12
ORD-00350,2024-04-03,1378.17
ORD-00351,2024-10-15,542.51
ORD-00352,2024-10-21,1626.19
ORD-00353,2024-07-06,181.86
ORD-00354,2024-07-14,1774.22
ORD-00355,2024-04-10,2742.96
ORD-00356,2024-08-26,829.94
ORD-00357,2024-08-19,1034.31
ORD-00358,2024-03-20,347.11
ORD-00359,2024-12-07,813.2
ORD-00360,2024-06-08,479.94
ORD-00361,2024-08-30,1717.24
ORD-00362,2024-10-02,1472.31
ORD-00363,2024-01-31,1283.51
ORD-00364,2024-10-27,963.73
ORD-00365,2024-03-18,2571.35
ORD-00366,2024-09-08,2572.05
ORD-00367,2024-05-18,117.36
ORD-00368,2024-09-18,2922.02
ORD-00369,2024-08-08,1064.89
ORD-00370,2024-09-16,1622.21
ORD-00371,2024-03-29,112.09
ORD-00372,2024-06-08,1750.0
ORD-00373,2024-04-21,1039.28
ORD-00374,2024-11-10,2193.51
ORD-00375,2024-01-03,1556.54
ORD-00376,2024-04-11,2165.17
ORD-00377,2024-07-03,829.49
ORD-00378,2024-09-01,1419.64
ORD-00379,2024-05-24,1932.45
ORD-00380,2024-01-02,1461.11
ORD-00381,2024-08-18,1887.76
ORD-00382,2024-04-02,2867.78
ORD-00383,2024-12-11,346.41
ORD-00384,2024-11-01,1360.53
ORD-00385,2024-09-04,2986.14
ORD-00386,2024-05-22,176.55
ORD-00387,2024-11-16,2152.9
ORD-00388,2024-05-04,849.96
ORD-00389,2024-02-27,598.34
ORD-00390,2024-11-15,1778.55
ORD-00391,2024-03-13,1295.87
ORD-00392,2024-01-17,1883.56
ORD-00393,2024-08-10,2079.92
ORD-00394,2024-01-05,999.08
ORD-00395,2024-08-25,2753.31
ORD-00396,2024-07-10,455.36
ORD-00397,2024-12-28,1772.68
ORD-00398,2024-11-29,2491.89
ORD-00399,2024-03-15,1906.19
ORD-00400,2024-02-25,1091.67
