OrderID,SalespersonID,Revenue
ORD-00185,SP012,1764.5
ORD-00186,SP017,2886.09
ORD-00187,SP013,4368.01
ORD-00188,SP015,3782.33
ORD-00189,SP019,1520.6
ORD-00190,SP015,2972.49
ORD-00191,SP015,3797.29
ORD-00192,SP014,4960.49
ORD-00193,SP002,1259.68
ORD-00194,SP012,3414.11
ORD-00195,SP001,2598.95
ORD-00196,SP009,3513.25
ORD-00197,SP002,4971.23
ORD-00198,SP011,4946.48
ORD-00199,SP018,4639.63
ORD-00200,SP016,3908.54
ORD-00201,SP004,4280.45
ORD-00202,SP002,2867.07
ORD-00203,SP011,3741.45
ORD-00204,SP008,746.81
ORD-00205,SP001,3546.27
ORD-00206,SP009,3118.4
ORD-00207,SP012,4444.62
ORD-00208,SP005,208.15
ORD-00209,SP003,401.17
ORD-00210,SP016,4947.08
ORD-00211,SP016,1987.53
ORD-00212,SP001,2739.87
ORD-00213,SP001,3630.26
ORD-00214,SP020,1872.89
ORD-00215,SP003,3164.93
ORD-00216,SP003,1293.31
ORD-00217,SP016,483.51
ORD-00218,SP009,260.94
ORD-00219,SP014,4235.13
ORD-00220,SP014,4642.46
ORD-00221,SP008,3457.25
ORD-00222,SP012,3117.42
ORD-00223,SP015,2380.58
ORD-00224,SP007,3521.23
ORD-00225,SP014,3548.81
ORD-00226,SP015,3224.36
ORD-00227,SP007,1314.98
ORD-00228,SP007,1435.15
ORD-00229,SP008,1915.77
ORD-00230,SP017,1463.57
ORD-00231,SP008,2707.62
ORD-00232,SP019,4776.06
ORD-00233,SP001,3652.35
ORD-00234,SP013,904.61
ORD-00235,SP016,2725.26
ORD-00236,SP003,4382.74
ORD-00237,SP001,3034.1
ORD-00238,SP016,4550.15
ORD-00239,SP014,716.53
ORD-00240,SP016,1575.92
ORD-00241,SP008,3383.66
ORD-00242,SP007,1954.39
ORD-00243,SP012,2466.43
ORD-00244,SP005,3245.74
ORD-00245,SP011,403.92
ORD-00246,SP007,1999.14
ORD-00247,SP013,2123.46
ORD-00248,SP016,517.92
ORD-00249,SP020,4966.57
ORD-00250,SP012,880.18
ORD-00251,SP001,3487.76
ORD-00252,SP009,3612.66
ORD-00253,SP017,2812.72
ORD-00254,SP009,648.43
ORD-00255,SP020,4075.45
ORD-00256,SP015,4436.28
ORD-00257,SP006,3190.28
ORD-00258,SP017,809.47
ORD-00259,SP019,1715.43
ORD-00260,SP018,2091.57
ORD-00261,SP002,2260.59
ORD-00262,SP011,4172.5
ORD-00263,SP019,781.82
ORD-00264,SP006,2590.96
ORD-00265,SP004,3728.19
ORD-00266,SP007,4792.31
ORD-00267,SP008,4896.09
ORD-00268,SP015,740.03
ORD-00269,SP015,2169.51
ORD-00270,SP011,3440.06
ORD-00271,SP003,4274.97
ORD-00272,SP013,1116.33
ORD-00273,SP005,4629.72
ORD-00274,SP019,961.34
ORD-00275,SP019,3082.34
ORD-00276,SP002,3155.19
ORD-00277,SP003,4506.29
ORD-00278,SP013,1315.0
ORD-00279,SP003,1672.67
ORD-00280,SP017,4143.72
ORD-00281,SP003,2004.23
ORD-00282,SP012,3814.21
ORD-00283,SP018,3403.44
ORD-00284,SP020,1407.26
ORD-00285,SP002,1159.13
ORD-00286,SP005,2446.18
ORD-00287,SP002,419.49
ORD-00288,SP001,3441.3
ORD-00289,SP010,803.26
ORD-00290,SP014,4987.63
ORD-00291,SP017,2444.43
ORD-00292,SP014,3687.45
ORD-00293,SP002,794.53
ORD-00294,SP019,1399.04
ORD-00295,SP016,2673.71
ORD-00296,SP003,2007.76
ORD-00297,SP020,2392.15
ORD-00298,SP004,3959.98
ORD-00299,SP010,1144.02
ORD-00300,SP009,4120.13
ORD-00301,SP018,1081.4
ORD-00302,SP012,1206.73
ORD-00303,SP011,3619.28
ORD-00304,SP009,1233.41
ORD-00305,SP007,2314.4
ORD-00306,SP015,1511.96
ORD-00307,SP003,3967.46
ORD-00308,SP002,2187.62
ORD-00309,SP008,703.7
ORD-00310,SP008,2026.06
ORD-00311,SP006,824.6
ORD-00312,SP019,2637.79
ORD-00313,SP010,2111.83
ORD-00314,SP011,2069.41
ORD-00315,SP020,4788.49
ORD-00316,SP017,684.68
ORD-00317,SP012,1601.33
ORD-00318,SP009,3874.5
ORD-00319,SP002,1400.14
ORD-00320,SP011,4390.31
ORD-00321,SP004,3182.71
ORD-00322,SP015,3737.13
ORD-00323,SP020,2854.31
ORD-00324,SP008,3960.41
ORD-00325,SP009,3389.14
ORD-00326,SP001,215.94
ORD-00327,SP005,4881.14
ORD-00328,SP011,3055.85
ORD-00329,SP016,891.88
ORD-00330,SP010,4723.15
ORD-00331,SP008,488.25
ORD-00332,SP013,3072.81
ORD-00333,SP002,4854.54
ORD-00334,SP016,4060.95
ORD-00335,SP016,3509.43
ORD-00336,SP001,3355.17
ORD-00337,SP010,2110.28
ORD-00338,SP013,84.7
ORD-00339,SP020,3298.07
ORD-00340,SP008,425.49
ORD-00341,SP012,56.93
ORD-00342,SP007,4126.65
ORD-00343,SP016,1594.72
ORD-00344,SP006,4681.72
ORD-00345,SP007,842.11
ORD-00346,SP003,4851.52
ORD-00347,SP010,2672.87
ORD-00348,SP016,3110.89
ORD-00349,SP008,332.81
ORD-00350,SP018,2398.99
ORD-00351,SP001,1668.63
ORD-00352,SP010,3314.48
ORD-00353,SP009,3609.27
ORD-00354,SP015,572.71
ORD-00355,SP008,1277.95
ORD-00356,SP010,846.37
ORD-00357,SP017,3813.77
ORD-00358,SP010,1526.18
ORD-00359,SP019,2547.06
ORD-00360,SP005,4042.43
ORD-00361,SP019,3938.29
ORD-00362,SP006,205.33
ORD-00363,SP012,2137.84
ORD-00364,SP018,1505.98
ORD-00365,SP003,742.84
ORD-00366,SP006,1179.41
ORD-00367,SP010,4715.75
ORD-00368,SP013,651.03
ORD-00369,SP003,1525.91
ORD-00370,SP010,1382.51
ORD-00371,SP008,1611.43
ORD-00372,SP010,1850.98
ORD-00373,SP008,2191.34
ORD-00374,SP006,4275.7
ORD-00375,SP010,245.28
ORD-00376,SP015,880.9
ORD-00377,SP003,2943.53
ORD-00378,SP015,3240.09
ORD-00379,SP019,1753.09
ORD-00380,SP002,630.0
ORD-00381,SP008,161.15
ORD-00382,SP003,2772.86
ORD-00383,SP015,2227.43
ORD-00384,SP001,2156.83
ORD-00385,SP007,659.29
ORD-00386,SP017,2799.47
ORD-00387,SP003,3932.97
ORD-00388,SP006,4440.19
ORD-00389,SP004,1110.37
ORD-00390,SP005,4681.47
ORD-00391,SP020,1098.67
ORD-00392,SP003,2814.27
ORD-00393,SP015,4948.79
ORD-00394,SP005,127.98
ORD-00395,SP001,4651.13
ORD-00396,SP013,1449.57
ORD-00397,SP005,4843.68
ORD-00398,SP002,1048.08
ORD-00399,SP019,952.62
ORD-00400,SP012,469.57
ORD-00401,SP018,2600.95
ORD-00402,SP012,4434.99
ORD-00403,SP012,502.3
ORD-00404,SP002,70.68
ORD-00405,SP001,162.34
ORD-00406,SP005,2145.85
ORD-00407,SP013,124.68
ORD-00408,SP008,251.62
ORD-00409,SP010,4333.14
ORD-00410,SP018,3383.42
ORD-00411,SP008,543.08
ORD-00412,SP018,2161.78
ORD-00413,SP001,4445.25
ORD-00414,SP007,787.2
ORD-00415,SP006,2364.23
ORD-00416,SP020,3212.85
ORD-00417,SP014,4421.32
ORD-00418,SP011,793.28
ORD-00419,SP020,2921.39
ORD-00420,SP016,2437.66
ORD-00421,SP007,649.74
ORD-00422,SP003,4191.29
ORD-00423,SP010,330.54
ORD-00424,SP011,3476.75
ORD-00425,SP009,395.93
ORD-00426,SP017,4544.16
ORD-00427,SP013,2621.53
ORD-00428,SP013,3967.69
ORD-00429,SP019,1117.86
ORD-00430,SP011,4401.49
ORD-00431,SP017,1037.67
ORD-00432,SP002,4947.66
ORD-00433,SP009,1972.61
ORD-00434,SP004,391.0
ORD-00435,SP005,589.81
ORD-00436,SP002,815.74
ORD-00437,SP007,3703.46
ORD-00438,SP018,607.33
ORD-00439,SP014,2469.31
ORD-00440,SP003,1850.35
ORD-00441,SP015,1943.23
ORD-00442,SP020,4489.73
ORD-00443,SP013,2397.89
ORD-00444,SP003,538.8
ORD-00445,SP019,472.75
ORD-00446,SP014,2667.23
ORD-00447,SP005,755.09
ORD-00448,SP011,2053.35
ORD-00449,SP001,188.9
ORD-00450,SP011,1874.44
ORD-00451,SP012,4154.16
ORD-00452,SP007,4898.72
ORD-00453,SP002,343.76
ORD-00454,SP013,2097.51
ORD-00455,SP018,1540.96
ORD-00456,SP013,3265.68
ORD-00457,SP017,948.75
ORD-00458,SP003,3262.04
ORD-00459,SP013,4421.82
ORD-00460,SP015,1777.12
ORD-00461,SP005,1517.1
ORD-00462,SP016,765.35
ORD-00463,SP017,4835.0
ORD-00464,SP018,3874.38
ORD-00465,SP011,4565.37
ORD-00466,SP013,2949.86
ORD-00467,SP009,750.93
ORD-00468,SP010,1869.71
ORD-00469,SP013,1728.23
ORD-00470,SP011,4005.6
ORD-00471,SP005,4827.08
ORD-00472,SP012,303.6
ORD-00473,SP001,2428.67
ORD-00474,SP007,2005.37
ORD-00475,SP019,2381.53
ORD-00476,SP006,1860.85
ORD-00477,SP020,508.43
ORD-00478,SP009,1924.14
ORD-00479,SP016,4420.9
ORD-00480,SP017,4479.05
ORD-00481,SP012,3232.77
ORD-00482,SP003,3272.1
ORD-00483,SP006,583.83
ORD-00484,SP013,1166.01
ORD-00485,SP011,3068.51
ORD-00486,SP009,4327.24
ORD-00487,SP010,4269.82
ORD-00488,SP004,1514.04
ORD-00489,SP004,1421.43
ORD-00490,SP007,1814.07
ORD-00491,SP013,3198.87
ORD-00492,SP003,3608.8
ORD-00493,SP003,787.51
ORD-00494,SP019,2947.78
ORD-00495,SP013,2053.75
ORD-00496,SP019,4081.1
ORD-00497,SP009,3115.87
ORD-00498,SP011,4299.74
ORD-00499,SP018,4389.67
ORD-00500,SP020,2005.77
