BulletinID,EmployeeID,Mois,Brut,Net,Charges
BUL-00075,E0075,7,3199.96,1759.98,1439.98
BUL-00076,E0076,9,6152.74,3384.01,2768.73
BUL-00077,E0077,11,7954.63,4375.05,3579.58
BUL-00078,E0078,4,7253.38,3989.36,3264.02
BUL-00079,E0079,12,4824.06,2653.23,2170.83
BUL-00080,E0080,10,2429.61,1336.29,1093.32
BUL-00081,E0081,12,2910.2,1600.61,1309.59
BUL-00082,E0082,9,2212.4,1216.82,995.58
BUL-00083,E0083,10,4485.17,2466.84,2018.33
BUL-00084,E0084,1,4193.8,2306.59,1887.21
BUL-00085,E0085,10,6865.32,3775.93,3089.39
BUL-00086,E0086,8,2560.63,1408.35,1152.28
BUL-00087,E0087,10,6093.15,3351.23,2741.92
BUL-00088,E0088,6,4997.28,2748.5,2248.78
BUL-00089,E0089,7,6942.66,3818.46,3124.2
BUL-00090,E0090,5,5289.42,2909.18,2380.24
BUL-00091,E0091,10,2195.93,1207.76,988.17
BUL-00092,E0092,11,3666.82,2016.75,1650.07
BUL-00093,E0093,4,5923.26,3257.79,2665.47
BUL-00094,E0094,8,2959.1,1627.5,1331.6
BUL-00095,E0095,8,7043.25,3873.79,3169.46
BUL-00096,E0096,11,7337.84,4035.81,3302.03
BUL-00097,E0097,10,6638.84,3651.36,2987.48
BUL-00098,E0098,5,5029.09,2766.0,2263.09
BUL-00099,E0099,9,5828.65,3205.76,2622.89
BUL-00100,E0100,1,3497.68,1923.72,1573.96
