EmployeeID,Nom,BU,DateEntree,DateSortie,Salaire,Absences
E0110,Employé 110,Sales,2022-01-02,,5305.73,5
E0111,Employé 111,Marketing,2020-12-11,,3266.12,8
E0112,Employé 112,Sales,2021-01-29,2023-10-21,3714.25,10
E0113,Employé 113,Sales,2020-01-03,,6798.42,11
E0114,Employé 114,Finance,2020-02-16,,6932.43,12
E0115,Employé 115,IT,2021-02-04,,5023.57,3
E0116,Employé 116,Finance,2022-04-12,,5468.5,10
E0117,Employé 117,Finance,2022-01-16,,7116.78,3
E0118,Employé 118,Sales,2020-04-29,,6145.46,10
E0119,Employé 119,RH,2020-06-09,,3975.17,0
E0120,Employé 120,IT,2022-03-23,2026-01-11,3086.3,7
E0121,Employé 121,Sales,2020-10-23,2021-10-03,5701.0,12
E0122,Employé 122,IT,2020-04-18,2021-03-02,3854.34,13
E0123,Employé 123,Sales,2021-12-09,2023-02-28,6261.19,15
E0124,Employé 124,IT,2020-05-06,,3674.62,12
E0125,Employé 125,IT,2021-10-10,,3960.03,6
E0126,Employé 126,Sales,2020-02-25,,2517.75,13
E0127,Employé 127,Finance,2021-02-26,,3093.86,8
E0128,Employé 128,Finance,2020-03-18,2022-12-13,6764.1,2
E0129,Employé 129,RH,2022-03-25,,7703.44,3
E0130,Employé 130,Marketing,2022-01-02,2022-11-30,5521.31,5
E0131,Employé 131,IT,2020-08-31,,4406.75,7
E0132,Employé 132,IT,2020-01-03,2021-12-31,4653.93,2
E0133,Employé 133,RH,2022-01-09,,5142.64,10
E0134,Employé 134,Finance,2021-12-03,,7136.61,10
E0135,Employé 135,Finance,2020-09-25,,7043.99,14
E0136,Employé 136,Sales,2020-09-03,,4881.68,9
E0137,Employé 137,Marketing,2020-10-26,,6950.36,14
E0138,Employé 138,IT,2020-11-16,,3949.87,14
E0139,Employé 139,RH,2022-03-19,2023-11-14,3576.7,9
E0140,Employé 140,Finance,2021-09-23,,5880.17,4
E0141,Employé 141,RH,2020-12-29,2023-08-28,7015.31,5
E0142,Employé 142,IT,2020-05-29,,7634.66,2
E0143,Employé 143,RH,2020-08-26,,5025.79,13
E0144,Employé 144,Finance,2020-12-18,,7356.46,5
E0145,Employé 145,IT,2021-01-15,,5770.47,7
E0146,Employé 146,Marketing,2020-11-18,,6177.96,8
E0147,Employé 147,RH,2021-04-15,2024-10-29,3025.32,0
E0148,Employé 148,RH,2021-01-08,,2529.01,6
E0149,Employé 149,Marketing,2022-02-28,,3460.09,6
E0150,Employé 150,RH,2021-03-19,2022-12-19,7159.8,14
