OrderID,Qty,MarginUnit,Revenue
ORD-00252,2,197.72,301.51
ORD-00253,9,19.46,708.61
ORD-00254,6,137.87,1832.64
ORD-00255,1,156.33,804.95
ORD-00256,1,65.4,1215.76
ORD-00257,2,39.98,1534.9
ORD-00258,4,65.01,2602.58
ORD-00259,9,91.53,340.04
ORD-00260,5,101.95,2726.65
ORD-00261,2,7.63,2501.21
ORD-00262,4,16.0,1122.37
ORD-00263,5,46.26,1737.62
ORD-00264,9,177.13,287.97
ORD-00265,9,94.24,2032.62
ORD-00266,6,160.11,2958.25
ORD-00267,1,81.19,1977.22
ORD-00268,3,81.51,496.43
ORD-00269,3,20.71,500.46
ORD-00270,3,150.56,2773.13
ORD-00271,7,74.65,1412.81
ORD-00272,2,137.54,1108.58
ORD-00273,3,39.8,865.69
ORD-00274,1,10.66,443.21
ORD-00275,8,89.59,442.48
ORD-00276,4,36.74,2228.9
ORD-00277,10,8.24,2354.35
ORD-00278,6,17.17,920.88
ORD-00279,8,46.1,293.07
ORD-00280,4,189.33,1225.91
ORD-00281,1,86.03,1223.66
ORD-00282,5,185.47,212.85
ORD-00283,7,81.16,745.35
ORD-00284,6,101.06,1526.07
ORD-00285,4,34.1,162.16
ORD-00286,3,95.53,649.27
ORD-00287,6,7.04,337.44
ORD-00288,3,171.25,2863.78
ORD-00289,2,130.02,1046.11
ORD-00290,3,129.16,236.11
ORD-00291,3,19.77,2914.71
ORD-00292,4,154.85,1081.83
ORD-00293,9,84.57,1983.33
ORD-00294,1,99.77,649.98
ORD-00295,2,14.69,1557.04
ORD-00296,4,99.89,549.53
ORD-00297,8,158.49,222.34
ORD-00298,1,126.45,2068.23
ORD-00299,9,26.97,2725.0
ORD-00300,5,109.31,2645.04
