TransactionID,Region,Montant,Date
TXN-00100,FR,4450.69,2024-03-30
TXN-00101,IT,2148.44,2024-01-13
TXN-00102,IT,2234.35,2024-05-11
TXN-00103,DE,52.8,2024-09-30
TXN-00104,UK,2923.56,2024-11-13
TXN-00105,ES,125.16,2024-04-19
TXN-00106,FR,4119.75,2024-07-23
TXN-00107,FR,2599.92,2024-02-27
TXN-00108,ES,1471.02,2024-04-14
TXN-00109,ES,2157.79,2024-09-02
TXN-00110,FR,3082.27,2024-09-12
TXN-00111,FR,3046.89,2024-06-25
TXN-00112,FR,3255.13,2024-07-20
TXN-00113,IT,4247.13,2024-06-09
TXN-00114,DE,2350.0,2024-08-30
TXN-00115,FR,3283.16,2024-01-25
TXN-00116,IT,517.05,2024-10-25
TXN-00117,UK,1504.85,2024-05-09
TXN-00118,IT,291.79,2024-07-06
TXN-00119,ES,1014.06,2024-10-19
TXN-00120,DE,2894.73,2024-11-24
TXN-00121,ES,987.01,2024-08-16
TXN-00122,IT,3208.77,2024-06-17
TXN-00123,FR,4086.3,2024-01-29
TXN-00124,DE,2957.14,2024-10-06
TXN-00125,ES,4631.29,2024-05-23
TXN-00126,IT,3001.35,2024-12-12
TXN-00127,UK,739.35,2024-03-04
TXN-00128,DE,2833.66,2024-05-31
TXN-00129,ES,4994.89,2024-08-17
TXN-00130,DE,4257.71,2024-02-21
TXN-00131,FR,4395.77,2024-10-01
TXN-00132,FR,4134.07,2024-10-12
TXN-00133,UK,2482.58,2024-10-09
TXN-00134,ES,4988.28,2024-06-02
TXN-00135,FR,4178.25,2024-01-02
TXN-00136,IT,1717.98,2024-06-27
TXN-00137,IT,2062.75,2024-01-28
TXN-00138,FR,2654.27,2024-10-01
TXN-00139,UK,3897.78,2024-03-08
TXN-00140,ES,3069.31,2024-02-17
TXN-00141,IT,3971.8,2024-02-15
TXN-00142,UK,4033.63,2024-12-12
TXN-00143,ES,132.39,2024-12-25
TXN-00144,ES,4593.36,2024-01-17
TXN-00145,UK,3024.83,2024-08-31
TXN-00146,ES,461.89,2024-09-22
TXN-00147,DE,1460.49,2024-08-04
TXN-00148,UK,3994.17,2024-07-24
TXN-00149,FR,1760.76,2024-02-07
TXN-00150,UK,1189.35,2024-12-15
TXN-00151,ES,4344.59,2024-08-23
TXN-00152,UK,2117.97,2024-12-26
TXN-00153,FR,1238.18,2024-02-22
TXN-00154,FR,1446.3,2024-05-03
TXN-00155,ES,2330.26,2024-08-16
TXN-00156,IT,1424.84,2024-05-27
TXN-00157,DE,3382.7,2024-06-21
TXN-00158,DE,2991.78,2024-11-16
TXN-00159,IT,2877.8,2024-07-27
TXN-00160,FR,1517.44,2024-01-31
TXN-00161,FR,4262.24,2024-05-13
TXN-00162,ES,185.15,2024-08-06
TXN-00163,DE,89.81,2024-01-11
TXN-00164,ES,3581.18,2024-02-10
TXN-00165,FR,3609.01,2024-06-23
TXN-00166,DE,3833.99,2024-08-28
TXN-00167,UK,4233.95,2024-04-14
TXN-00168,UK,3600.53,2024-09-25
TXN-00169,ES,2133.57,2024-06-12
TXN-00170,FR,1298.01,2024-11-12
TXN-00171,ES,3403.08,2024-01-08
TXN-00172,DE,1093.97,2024-09-12
TXN-00173,FR,3830.9,2024-01-10
TXN-00174,ES,1551.41,2024-09-05
TXN-00175,UK,3603.0,2024-09-12
TXN-00176,DE,3942.77,2024-05-24
TXN-00177,ES,4447.14,2024-10-24
TXN-00178,UK,605.3,2024-04-15
TXN-00179,ES,3793.14,2024-06-21
TXN-00180,UK,1427.03,2024-09-22
TXN-00181,UK,3343.3,2024-11-03
TXN-00182,ES,4221.63,2024-01-19
TXN-00183,IT,695.85,2024-04-23
TXN-00184,FR,268.19,2024-07-21
TXN-00185,FR,219.66,2024-10-24
TXN-00186,UK,88.85,2024-03-13
TXN-00187,FR,2015.89,2024-08-20
TXN-00188,DE,1308.82,2024-04-03
TXN-00189,ES,511.32,2024-05-07
TXN-00190,DE,4358.79,2024-07-01
TXN-00191,IT,3168.88,2024-04-07
TXN-00192,ES,4993.81,2024-05-21
TXN-00193,DE,4269.56,2024-03-04
TXN-00194,ES,2719.97,2024-11-09
TXN-00195,ES,4798.45,2024-05-01
TXN-00196,UK,1864.9,2024-02-04
TXN-00197,DE,590.24,2024-02-09
TXN-00198,DE,4722.93,2024-11-20
TXN-00199,FR,3301.22,2024-03-31
TXN-00200,ES,2862.14,2024-11-15
TXN-00201,IT,2807.97,2024-08-30
TXN-00202,ES,350.09,2024-06-04
TXN-00203,IT,2666.8,2024-12-14
TXN-00204,DE,2282.53,2024-11-18
TXN-00205,ES,2123.51,2024-01-03
TXN-00206,FR,3662.48,2024-11-07
TXN-00207,UK,328.73,2024-02-09
TXN-00208,ES,900.35,2024-02-05
TXN-00209,FR,427.29,2024-05-11
TXN-00210,IT,2245.37,2024-04-19
TXN-00211,IT,681.75,2024-08-28
TXN-00212,UK,3760.58,2024-06-29
TXN-00213,FR,377.2,2024-12-20
TXN-00214,DE,4009.35,2024-05-30
TXN-00215,IT,1101.62,2024-02-14
TXN-00216,UK,132.59,2024-07-29
TXN-00217,DE,2465.13,2024-07-13
TXN-00218,FR,544.87,2024-10-10
TXN-00219,DE,263.21,2024-05-01
TXN-00220,DE,2553.72,2024-01-27
TXN-00221,ES,1318.23,2024-09-18
TXN-00222,DE,4617.62,2024-09-28
TXN-00223,UK,4576.08,2024-08-22
TXN-00224,UK,2184.23,2024-01-23
TXN-00225,ES,3127.19,2024-02-06
TXN-00226,ES,1313.12,2024-06-09
TXN-00227,UK,4704.24,2024-12-23
TXN-00228,UK,3695.83,2024-07-20
TXN-00229,IT,4499.6,2024-04-10
TXN-00230,UK,3490.08,2024-05-24
TXN-00231,ES,2074.54,2024-05-12
TXN-00232,FR,2773.49,2024-12-09
TXN-00233,UK,2058.9,2024-04-23
TXN-00234,DE,2015.28,2024-06-11
TXN-00235,IT,1662.11,2024-01-07
TXN-00236,FR,102.33,2024-09-18
TXN-00237,IT,1738.94,2024-03-24
TXN-00238,ES,3044.58,2024-01-18
TXN-00239,FR,4964.48,2024-04-13
TXN-00240,UK,1342.05,2024-08-01
TXN-00241,IT,1089.28,2024-11-29
TXN-00242,UK,1284.27,2024-06-18
TXN-00243,ES,3116.93,2024-04-10
TXN-00244,DE,4882.12,2024-03-08
TXN-00245,UK,3972.34,2024-10-02
TXN-00246,ES,3234.05,2024-12-13
TXN-00247,IT,3967.05,2024-08-02
TXN-00248,DE,3983.61,2024-07-08
TXN-00249,FR,2629.26,2024-01-08
TXN-00250,FR,3258.48,2024-10-01
TXN-00251,FR,1661.31,2024-07-28
TXN-00252,DE,1266.88,2024-07-26
TXN-00253,DE,3002.11,2024-11-15
TXN-00254,DE,1762.15,2024-05-05
TXN-00255,DE,835.6,2024-03-28
TXN-00256,ES,2540.44,2024-11-23
TXN-00257,DE,2696.21,2024-10-17
TXN-00258,ES,4775.63,2024-01-25
TXN-00259,IT,4227.81,2024-04-10
TXN-00260,FR,4398.42,2024-11-11
TXN-00261,UK,3235.36,2024-05-04
TXN-00262,FR,3074.62,2024-02-02
TXN-00263,FR,3210.42,2024-04-01
TXN-00264,ES,1783.16,2024-03-13
TXN-00265,UK,629.92,2024-04-20
TXN-00266,DE,1072.49,2024-02-29
TXN-00267,DE,1997.55,2024-09-24
TXN-00268,FR,3698.69,2024-09-01
TXN-00269,IT,4322.37,2024-02-29
TXN-00270,ES,1738.9,2024-10-29
TXN-00271,ES,1622.65,2024-10-31
TXN-00272,DE,727.87,2024-03-11
TXN-00273,ES,2693.62,2024-06-15
TXN-00274,DE,3299.83,2024-09-27
TXN-00275,FR,1125.21,2024-11-19
TXN-00276,DE,3595.58,2024-06-18
TXN-00277,IT,2480.66,2024-02-10
TXN-00278,DE,2630.61,2024-01-25
TXN-00279,FR,1374.99,2024-08-23
TXN-00280,FR,3816.72,2024-12-15
TXN-00281,DE,957.15,2024-01-08
TXN-00282,IT,3310.43,2024-03-30
TXN-00283,DE,4223.29,2024-06-13
TXN-00284,UK,4325.76,2024-03-31
TXN-00285,IT,1368.65,2024-11-20
TXN-00286,IT,3770.61,2024-12-06
TXN-00287,IT,4416.38,2024-01-10
TXN-00288,ES,2345.41,2024-09-06
TXN-00289,ES,968.04,2024-04-13
TXN-00290,FR,2211.15,2024-02-24
TXN-00291,UK,1221.1,2024-10-06
TXN-00292,DE,1478.38,2024-02-12
TXN-00293,UK,1921.45,2024-08-09
TXN-00294,UK,185.47,2024-06-19
TXN-00295,ES,1468.18,2024-11-01
TXN-00296,IT,1372.56,2024-02-15
TXN-00297,ES,994.41,2024-11-13
TXN-00298,IT,4288.39,2024-12-20
TXN-00299,IT,254.7,2024-02-24
TXN-00300,UK,3945.92,2024-05-06
TXN-00301,FR,3974.62,2024-10-04
TXN-00302,FR,3890.49,2024-11-25
TXN-00303,FR,4090.87,2024-04-17
TXN-00304,ES,3116.74,2024-04-01
TXN-00305,IT,4786.21,2024-03-30
TXN-00306,ES,3627.89,2024-03-17
TXN-00307,FR,4674.01,2024-08-14
TXN-00308,UK,547.63,2024-05-15
TXN-00309,FR,4232.89,2024-05-31
TXN-00310,DE,1621.43,2024-12-29
TXN-00311,UK,2751.13,2024-08-23
TXN-00312,FR,4652.46,2024-09-02
TXN-00313,DE,817.73,2024-07-26
TXN-00314,FR,3632.42,2024-05-03
TXN-00315,DE,1795.49,2024-09-04
TXN-00316,FR,364.76,2024-10-13
TXN-00317,UK,2000.13,2024-09-18
TXN-00318,UK,3133.29,2024-05-25
TXN-00319,IT,2775.62,2024-03-09
TXN-00320,DE,2263.28,2024-01-03
TXN-00321,FR,2413.31,2024-10-08
TXN-00322,IT,458.47,2024-06-26
TXN-00323,IT,1203.56,2024-08-07
TXN-00324,ES,2344.05,2024-01-11
TXN-00325,DE,2950.19,2024-07-31
TXN-00326,IT,3765.15,2024-09-05
TXN-00327,DE,1999.04,2024-12-02
TXN-00328,ES,2132.07,2024-01-14
TXN-00329,UK,3452.4,2024-01-02
TXN-00330,ES,2139.14,2024-04-12
TXN-00331,IT,3365.01,2024-01-17
TXN-00332,ES,234.38,2024-05-28
TXN-00333,UK,1766.23,2024-12-23
TXN-00334,UK,4449.27,2024-05-21
TXN-00335,DE,530.35,2024-08-06
TXN-00336,FR,1644.17,2024-07-23
TXN-00337,IT,2254.88,2024-03-16
TXN-00338,DE,1912.25,2024-11-22
TXN-00339,UK,1587.92,2024-11-22
TXN-00340,IT,1908.95,2024-11-14
TXN-00341,FR,343.54,2024-06-09
TXN-00342,FR,4349.52,2024-03-29
TXN-00343,ES,2105.24,2024-06-05
TXN-00344,DE,1594.0,2024-01-03
TXN-00345,DE,1307.35,2024-04-18
TXN-00346,UK,3919.56,2024-10-20
TXN-00347,DE,4070.55,2024-12-01
TXN-00348,ES,4049.82,2024-11-07
TXN-00349,ES,3773.75,2024-12-20
TXN-00350,ES,1412.53,2024-01-02
TXN-00351,IT,4729.89,2024-10-11
TXN-00352,FR,487.08,2024-09-20
TXN-00353,UK,237.57,2024-12-01
TXN-00354,FR,1006.44,2024-11-09
TXN-00355,UK,4151.06,2024-12-19
TXN-00356,UK,224.48,2024-05-01
TXN-00357,IT,4800.59,2024-05-20
TXN-00358,UK,285.97,2024-02-20
TXN-00359,DE,2695.77,2024-05-20
TXN-00360,ES,3032.15,2024-06-23
TXN-00361,FR,1434.68,2024-05-11
TXN-00362,ES,3326.07,2024-10-24
TXN-00363,DE,3535.19,2024-08-11
TXN-00364,FR,696.85,2024-02-06
TXN-00365,IT,886.5,2024-05-03
TXN-00366,IT,260.29,2024-08-16
TXN-00367,DE,2287.41,2024-07-08
TXN-00368,ES,4523.32,2024-09-13
TXN-00369,DE,4073.16,2024-01-22
TXN-00370,ES,476.98,2024-12-09
TXN-00371,UK,4325.41,2024-06-05
TXN-00372,FR,797.78,2024-12-08
TXN-00373,ES,117.46,2024-11-07
TXN-00374,FR,273.76,2024-06-30
TXN-00375,FR,3006.02,2024-10-02
TXN-00376,ES,792.79,2024-02-05
TXN-00377,ES,181.19,2024-09-07
TXN-00378,IT,4068.46,2024-08-23
TXN-00379,FR,3005.61,2024-09-10
TXN-00380,DE,3906.05,2024-11-28
TXN-00381,UK,1172.66,2024-09-03
TXN-00382,IT,311.67,2024-01-09
TXN-00383,ES,2888.56,2024-11-06
TXN-00384,DE,3874.47,2024-06-10
TXN-00385,ES,1480.08,2024-11-01
TXN-00386,UK,774.62,2024-06-17
TXN-00387,UK,1718.62,2024-01-16
TXN-00388,IT,679.57,2024-04-08
TXN-00389,UK,3975.25,2024-10-05
TXN-00390,FR,4628.23,2024-11-09
TXN-00391,IT,1282.68,2024-10-12
TXN-00392,DE,4350.93,2024-01-10
TXN-00393,UK,1172.88,2024-12-06
TXN-00394,FR,1434.5,2024-06-15
TXN-00395,IT,4034.32,2024-08-27
TXN-00396,IT,156.43,2024-04-16
TXN-00397,FR,3783.57,2024-07-12
TXN-00398,IT,3822.83,2024-09-07
TXN-00399,UK,438.64,2024-04-22
TXN-00400,DE,1910.48,2024-08-23
