OrderID,CustomerID,Revenue
ORD-00488,C042,4179.2
ORD-00489,C013,707.89
ORD-00490,C023,4392.21
ORD-00491,C033,1450.27
ORD-00492,C028,4999.12
ORD-00493,C040,2035.56
ORD-00494,C018,2867.13
ORD-00495,C002,1587.38
ORD-00496,C014,1925.29
ORD-00497,C027,1346.2
ORD-00498,C028,1588.74
ORD-00499,C019,3468.34
ORD-00500,C011,4097.46
