OrderID,ProductID,CustomerID,Revenue,Cost,OrderDate,Channel
3913,P011,C080,6052.38,3779.91,2024-06-13,Online
2167,P001,C027,6415.92,2927.28,2023-08-04,Direct
4129,P012,C054,860.52,420.68,2024-07-27,Online
3506,P032,C050,6995.1,4345.05,2024-03-31,Store
3888,P027,C146,1356.88,928.32,2024-06-08,Direct
4780,P013,C031,9574.68,5114.32,2024-11-23,Online
3555,P008,C058,1629.96,955.54,2024-04-09,Online
3222,P023,C118,1066.4,541.95,2024-02-11,Store
2678,P010,C097,2026.43,915.19,2023-11-04,Direct
2750,P022,C030,1162.66,607.32,2023-11-15,Direct
1567,P003,C170,5535.39,3427.38,2023-04-15,Reseller
4923,P004,C172,2232.07,1052.94,2024-12-19,Direct
1793,P036,C092,539.29,369.81,2023-05-24,Reseller
2004,P009,C127,1688.37,1008.48,2023-07-06,Reseller
3969,P005,C191,2126.96,972.98,2024-06-25,Direct
2858,P002,C146,2095.35,1059.84,2023-12-07,Store
2861,P023,C140,639.84,325.17,2023-12-08,Direct
2991,P018,C157,4778.3,2809.7,2024-01-01,Reseller
3267,P022,C041,1162.66,607.32,2024-02-19,Direct
4694,P007,C098,404.7,202.25,2024-11-07,Online
2349,P003,C120,9225.65,5712.3,2023-09-05,Reseller
4541,P033,C170,6328.47,4075.53,2024-10-10,Direct
4829,P025,C173,1594.68,863.05,2024-12-02,Direct
1234,P012,C187,860.52,420.68,2023-02-16,Direct
1756,P020,C012,10781.7,6407.95,2023-05-17,Online
1375,P019,C141,10380.35,6276.25,2023-03-12,Reseller
2688,P033,C079,4218.98,2717.02,2023-11-05,Direct
3479,P011,C006,10087.3,6299.85,2024-03-26,Direct
2854,P010,C004,8105.72,3660.76,2023-12-05,Direct
3413,P023,C135,1066.4,541.95,2024-03-16,Store
3471,P025,C192,4784.04,2589.15,2024-03-25,Reseller
5066,P006,C067,2233.28,1287.12,2025-01-13,Direct
3985,P006,C060,558.32,321.78,2024-06-28,Reseller
5447,P011,C169,10087.3,6299.85,2025-03-24,Reseller
3916,P019,C158,10380.35,6276.25,2024-06-13,Online
4387,P036,C016,539.29,369.81,2024-09-12,Online
1564,P010,C022,8105.72,3660.76,2023-04-15,Reseller
5348,P028,C032,4876.11,2936.79,2025-03-08,Direct
5289,P002,C103,2095.35,1059.84,2025-02-25,Reseller
5150,P035,C196,2396.7,1238.94,2025-01-31,Direct
1757,P030,C012,421.06,229.42,2023-05-17,Reseller
4901,P024,C003,1063.96,552.72,2024-12-15,Direct
5193,P018,C191,3822.64,2247.76,2025-02-07,Online
4306,P014,C018,1227.35,582.0,2024-08-27,Store
1440,P005,C065,1063.48,486.49,2023-03-23,Store
2072,P027,C066,3392.2,2320.8,2023-07-18,Online
1948,P019,C122,6228.21,3765.75,2023-06-25,Store
4002,P027,C066,3392.2,2320.8,2024-07-01,Direct
2258,P031,C008,9895.88,6036.48,2023-08-19,Store
5089,P002,C177,698.45,353.28,2025-01-18,Online
3091,P032,C187,5596.08,3476.04,2024-01-21,Reseller
2781,P029,C042,880.56,556.76,2023-11-21,Reseller
4739,P006,C169,2791.6,1608.9,2024-11-16,Direct
4581,P016,C033,2020.71,1277.96,2024-10-17,Online
2799,P005,C056,3190.44,1459.47,2023-11-26,Reseller
5219,P009,C051,1688.37,1008.48,2025-02-12,Store
2046,P014,C074,736.41,349.2,2023-07-14,Online
5023,P001,C155,3207.96,1463.64,2025-01-04,Direct
3364,P023,C007,426.56,216.78,2024-03-07,Direct
1369,P027,C010,3392.2,2320.8,2023-03-11,Online
2726,P022,C017,1743.99,910.98,2023-11-12,Reseller
2757,P030,C142,1684.24,917.68,2023-11-16,Online
1963,P001,C105,4811.94,2195.46,2023-06-28,Direct
2313,P023,C080,1066.4,541.95,2023-08-29,Store
2372,P006,C044,558.32,321.78,2023-09-09,Store
2526,P035,C048,3195.6,1651.92,2023-10-05,Online
2877,P032,C079,1399.02,869.01,2023-12-11,Direct
3634,P009,C082,2251.16,1344.64,2024-04-24,Store
3164,P023,C149,639.84,325.17,2024-02-02,Reseller
1336,P001,C078,6415.92,2927.28,2023-03-05,Online
4597,P024,C128,265.99,138.18,2024-10-21,Online
1113,P003,C195,7380.52,4569.84,2023-01-23,Store
3375,P006,C167,2233.28,1287.12,2024-03-09,Direct
4691,P007,C198,80.94,40.45,2024-11-06,Direct
2694,P007,C027,80.94,40.45,2023-11-06,Reseller
1964,P030,C182,2105.3,1147.1,2023-06-29,Store
3558,P017,C089,5390.12,3736.84,2024-04-09,Direct
5304,P004,C179,4464.14,2105.88,2025-02-28,Online
2789,P019,C120,8304.28,5021.0,2023-11-24,Direct
4247,P029,C071,1761.12,1113.52,2024-08-17,Online
4796,P010,C102,2026.43,915.19,2024-11-26,Reseller
3537,P019,C073,10380.35,6276.25,2024-04-06,Reseller
4767,P018,C082,1911.32,1123.88,2024-11-21,Store
4864,P035,C165,3994.5,2064.9,2024-12-09,Reseller
5067,P018,C121,1911.32,1123.88,2025-01-13,Reseller
3096,P011,C054,8069.84,5039.88,2024-01-22,Store
1053,P024,C028,265.99,138.18,2023-01-11,Online
4761,P011,C107,2017.46,1259.97,2024-11-19,Reseller
1148,P008,C151,6519.84,3822.16,2023-01-28,Reseller
2812,P031,C025,9895.88,6036.48,2023-11-28,Reseller
4299,P031,C009,12369.85,7545.6,2024-08-26,Store
4154,P036,C165,1078.58,739.62,2024-07-31,Store
4368,P001,C055,8019.9,3659.1,2024-09-08,Reseller
3894,P021,C135,3531.72,1629.74,2024-06-10,Reseller
4295,P003,C011,3690.26,2284.92,2024-08-25,Reseller
1103,P025,C109,3189.36,1726.1,2023-01-21,Direct
1031,P034,C185,1752.54,802.71,2023-01-07,Reseller
4681,P012,C023,1721.04,841.36,2024-11-04,Direct
4094,P004,C094,6696.21,3158.82,2024-07-19,Store
2141,P012,C112,3442.08,1682.72,2023-07-31,Online
2328,P019,C045,4152.14,2510.5,2023-09-01,Reseller
2267,P035,C145,798.9,412.98,2023-08-21,Reseller
1985,P031,C090,7421.91,4527.36,2023-07-02,Reseller
2483,P028,C122,1625.37,978.93,2023-09-28,Direct
5414,P022,C044,2325.32,1214.64,2025-03-19,Store
2041,P031,C151,2473.97,1509.12,2023-07-13,Reseller
1991,P028,C011,3250.74,1957.86,2023-07-03,Online
2742,P027,C068,3392.2,2320.8,2023-11-14,Online
5125,P026,C036,3739.6,1878.68,2025-01-24,Online
4403,P017,C112,5390.12,3736.84,2024-09-16,Direct
5401,P001,C009,4811.94,2195.46,2025-03-18,Store
2352,P029,C060,1320.84,835.14,2023-09-06,Online
3143,P030,C126,842.12,458.84,2024-01-30,Direct
4608,P012,C119,860.52,420.68,2024-10-22,Online
2095,P030,C051,1263.18,688.26,2023-07-22,Store
4496,P009,C063,1688.37,1008.48,2024-10-01,Reseller
3142,P004,C147,2232.07,1052.94,2024-01-29,Direct
2766,P021,C133,3531.72,1629.74,2023-11-18,Direct
2619,P008,C112,1629.96,955.54,2023-10-21,Direct
1091,P028,C119,3250.74,1957.86,2023-01-18,Direct
3453,P006,C086,1674.96,965.34,2024-03-22,Store
3951,P014,C137,1227.35,582.0,2024-06-21,Reseller
4530,P013,C009,9574.68,5114.32,2024-10-08,Store
2361,P034,C151,2920.9,1337.85,2023-09-07,Direct
1301,P020,C049,4312.68,2563.18,2023-02-28,Store
4296,P015,C151,4242.04,2549.18,2024-08-26,Online
4285,P009,C194,2251.16,1344.64,2024-08-23,Online
4253,P034,C001,2336.72,1070.28,2024-08-18,Store
1266,P029,C045,880.56,556.76,2023-02-22,Store
3238,P025,C122,7973.4,4315.25,2024-02-13,Online
5449,P007,C017,242.82,121.35,2025-03-25,Store
3887,P003,C078,1845.13,1142.46,2024-06-08,Store
2898,P022,C016,581.33,303.66,2023-12-14,Online
1775,P023,C123,853.12,433.56,2023-05-20,Store
2489,P018,C057,2866.98,1685.82,2023-09-29,Direct
2658,P011,C029,4034.92,2519.94,2023-10-30,Online
3068,P021,C067,5297.58,2444.61,2024-01-18,Direct
3168,P033,C142,6328.47,4075.53,2024-02-02,Online
2685,P001,C074,1603.98,731.82,2023-11-04,Store
3786,P026,C008,1869.8,939.34,2024-05-21,Reseller
5269,P012,C037,3442.08,1682.72,2025-02-20,Direct
3271,P031,C186,2473.97,1509.12,2024-02-19,Reseller
1751,P008,C096,1629.96,955.54,2023-05-16,Store
1922,P022,C062,2906.65,1518.3,2023-06-20,Online
5267,P028,C112,4876.11,2936.79,2025-02-20,Store
3534,P015,C019,2121.02,1274.59,2024-04-06,Online
4548,P036,C167,1078.58,739.62,2024-10-11,Direct
3880,P022,C157,2325.32,1214.64,2024-06-07,Reseller
1804,P028,C155,1625.37,978.93,2023-05-26,Direct
2262,P035,C044,1597.8,825.96,2023-08-20,Direct
2486,P029,C030,1761.12,1113.52,2023-09-29,Store
1970,P016,C008,2020.71,1277.96,2023-06-29,Reseller
1239,P001,C068,3207.96,1463.64,2023-02-16,Store
4186,P020,C131,6469.02,3844.77,2024-08-06,Online
2926,P024,C156,265.99,138.18,2023-12-21,Store
4832,P014,C162,1227.35,582.0,2024-12-03,Reseller
1724,P011,C173,6052.38,3779.91,2023-05-12,Store
4882,P012,C049,3442.08,1682.72,2024-12-12,Store
1156,P027,C094,3392.2,2320.8,2023-01-30,Store
3515,P032,C007,5596.08,3476.04,2024-04-02,Online
2848,P026,C101,3739.6,1878.68,2023-12-04,Online
4083,P025,C173,1594.68,863.05,2024-07-17,Reseller
5334,P004,C189,2232.07,1052.94,2025-03-05,Direct
1777,P007,C084,404.7,202.25,2023-05-21,Online
1682,P009,C149,2813.95,1680.8,2023-05-05,Store
4366,P019,C097,4152.14,2510.5,2024-09-07,Online
3770,P005,C023,3190.44,1459.47,2024-05-18,Reseller
3865,P027,C098,2713.76,1856.64,2024-06-03,Reseller
3961,P008,C129,8149.8,4777.7,2024-06-23,Direct
4050,P036,C179,1078.58,739.62,2024-07-11,Online
3114,P010,C121,2026.43,915.19,2024-01-25,Online
2368,P002,C146,698.45,353.28,2023-09-08,Store
1601,P006,C176,2791.6,1608.9,2023-04-22,Reseller
3022,P036,C183,2157.16,1479.24,2024-01-07,Online
5094,P019,C100,6228.21,3765.75,2025-01-19,Reseller
2617,P013,C108,11968.35,6392.9,2023-10-21,Reseller
1856,P006,C094,2791.6,1608.9,2023-06-06,Reseller
2709,P025,C062,3189.36,1726.1,2023-11-09,Online
4360,P013,C111,9574.68,5114.32,2024-09-07,Reseller
2585,P013,C073,2393.67,1278.58,2023-10-16,Store
4227,P002,C127,3492.25,1766.4,2024-08-13,Direct
3757,P029,C018,2201.4,1391.9,2024-05-15,Store
5068,P023,C198,426.56,216.78,2025-01-14,Reseller
2453,P030,C175,842.12,458.84,2023-09-22,Reseller
5005,P032,C046,1399.02,869.01,2025-01-02,Store
4275,P006,C094,1116.64,643.56,2024-08-22,Direct
4779,P005,C080,2126.96,972.98,2024-11-23,Reseller
4504,P002,C027,698.45,353.28,2024-10-03,Store
5258,P027,C018,1356.88,928.32,2025-02-18,Reseller
5034,P023,C185,853.12,433.56,2025-01-06,Direct
4902,P031,C157,12369.85,7545.6,2024-12-15,Reseller
4999,P024,C149,531.98,276.36,2025-01-01,Online
4000,P009,C104,2813.95,1680.8,2024-07-01,Direct
2718,P021,C096,1765.86,814.87,2023-11-11,Direct
3957,P028,C053,3250.74,1957.86,2024-06-22,Reseller
4483,P006,C109,558.32,321.78,2024-09-29,Store
1590,P031,C047,4947.94,3018.24,2023-04-19,Reseller
2710,P032,C025,1399.02,869.01,2023-11-09,Store
3529,P016,C160,6062.13,3833.88,2024-04-04,Direct
1732,P032,C134,5596.08,3476.04,2023-05-14,Direct
4978,P028,C105,1625.37,978.93,2024-12-29,Store
1598,P011,C071,10087.3,6299.85,2023-04-21,Online
3835,P016,C166,2020.71,1277.96,2024-05-30,Direct
2803,P014,C135,490.94,232.8,2023-11-27,Online
1193,P018,C060,955.66,561.94,2023-02-07,Store
5460,P014,C061,490.94,232.8,2025-03-27,Direct
3440,P018,C027,3822.64,2247.76,2024-03-20,Direct
2468,P011,C021,6052.38,3779.91,2023-09-24,Online
4542,P028,C151,8126.85,4894.65,2024-10-10,Store
5026,P019,C142,10380.35,6276.25,2025-01-05,Online
2068,P034,C065,2336.72,1070.28,2023-07-17,Online
2573,P031,C076,7421.91,4527.36,2023-10-14,Store
2643,P019,C006,6228.21,3765.75,2023-10-26,Store
1107,P025,C144,7973.4,4315.25,2023-01-22,Direct
5015,P002,C144,698.45,353.28,2025-01-03,Direct
4327,P011,C084,6052.38,3779.91,2024-08-30,Store
1942,P003,C082,9225.65,5712.3,2023-06-24,Store
3977,P028,C076,1625.37,978.93,2024-06-27,Online
1226,P022,C158,1162.66,607.32,2023-02-15,Store
1272,P010,C146,10132.15,4575.95,2023-02-23,Online
1770,P009,C024,2251.16,1344.64,2023-05-20,Online
1615,P019,C083,8304.28,5021.0,2023-04-24,Reseller
1672,P007,C081,323.76,161.8,2023-05-04,Online
2835,P018,C109,1911.32,1123.88,2023-12-02,Reseller
1871,P015,C017,4242.04,2549.18,2023-06-09,Direct
3739,P007,C127,161.88,80.9,2024-05-13,Online
3523,P003,C055,1845.13,1142.46,2024-04-03,Direct
5307,P020,C122,2156.34,1281.59,2025-02-28,Store
1002,P034,C057,2336.72,1070.28,2023-01-01,Reseller
3522,P033,C135,4218.98,2717.02,2024-04-03,Reseller
3319,P020,C157,4312.68,2563.18,2024-02-29,Store
2503,P031,C162,4947.94,3018.24,2023-10-01,Direct
2629,P003,C137,3690.26,2284.92,2023-10-23,Reseller
4381,P004,C032,2232.07,1052.94,2024-09-11,Reseller
3058,P025,C162,7973.4,4315.25,2024-01-15,Store
5092,P007,C181,80.94,40.45,2025-01-19,Direct
2281,P006,C158,1674.96,965.34,2023-08-23,Store
1612,P033,C098,4218.98,2717.02,2023-04-23,Online
1105,P019,C036,4152.14,2510.5,2023-01-21,Reseller
1713,P010,C042,4052.86,1830.38,2023-05-11,Store
1021,P010,C051,6079.29,2745.57,2023-01-05,Store
5298,P007,C012,161.88,80.9,2025-02-26,Online
4226,P002,C087,1396.9,706.56,2024-08-13,Direct
1797,P013,C143,9574.68,5114.32,2023-05-25,Reseller
4150,P030,C019,1263.18,688.26,2024-07-30,Store
3049,P033,C173,2109.49,1358.51,2024-01-14,Reseller
4771,P002,C178,3492.25,1766.4,2024-11-21,Direct
1152,P033,C049,8437.96,5434.04,2023-01-29,Reseller
1734,P008,C007,6519.84,3822.16,2023-05-14,Online
3807,P008,C097,8149.8,4777.7,2024-05-25,Direct
4943,P011,C092,10087.3,6299.85,2024-12-22,Store
2837,P008,C062,1629.96,955.54,2023-12-02,Direct
5345,P022,C060,1743.99,910.98,2025-03-07,Online
1220,P015,C148,8484.08,5098.36,2023-02-13,Reseller
4125,P021,C058,1765.86,814.87,2024-07-26,Direct
4721,P025,C101,3189.36,1726.1,2024-11-12,Store
4121,P015,C037,2121.02,1274.59,2024-07-25,Online
4783,P003,C051,1845.13,1142.46,2024-11-24,Store
2894,P009,C104,562.79,336.16,2023-12-14,Direct
4172,P031,C040,9895.88,6036.48,2024-08-03,Online
4704,P032,C072,2798.04,1738.02,2024-11-09,Store
2487,P014,C044,245.47,116.4,2023-09-29,Online
1300,P018,C164,2866.98,1685.82,2023-02-28,Reseller
4231,P010,C022,4052.86,1830.38,2024-08-14,Store
1969,P019,C107,4152.14,2510.5,2023-06-29,Direct
2485,P006,C078,2791.6,1608.9,2023-09-29,Direct
2587,P013,C123,7181.01,3835.74,2023-10-17,Online
4753,P022,C074,1743.99,910.98,2024-11-18,Online
3504,P003,C138,1845.13,1142.46,2024-03-31,Reseller
2833,P007,C034,161.88,80.9,2023-12-01,Reseller
2421,P015,C129,10605.1,6372.95,2023-09-17,Online
1469,P018,C055,1911.32,1123.88,2023-03-29,Store
3981,P020,C105,2156.34,1281.59,2024-06-27,Online
5170,P036,C165,539.29,369.81,2025-02-03,Online
4170,P015,C076,4242.04,2549.18,2024-08-03,Direct
4595,P032,C012,4197.06,2607.03,2024-10-20,Direct
