OrderID,CustomerID,Revenue,OrderDate
ORD-00202,C023,1589.39,2024-07-13
ORD-00203,C045,2895.57,2024-12-25
ORD-00204,C037,2908.06,2024-05-30
ORD-00205,C041,2767.71,2024-11-26
ORD-00206,C038,2159.13,2024-07-01
ORD-00207,C018,1955.97,2024-05-04
ORD-00208,C020,822.23,2024-07-12
ORD-00209,C043,1540.68,2024-03-01
ORD-00210,C036,2535.87,2024-12-23
ORD-00211,C033,1687.25,2024-10-14
ORD-00212,C037,1229.83,2024-03-13
ORD-00213,C031,1526.34,2024-07-23
ORD-00214,C038,2015.52,2024-04-15
ORD-00215,C030,1883.72,2024-11-09
ORD-00216,C031,1914.23,2024-01-11
ORD-00217,C042,2034.56,2024-07-05
ORD-00218,C030,2696.64,2024-05-23
ORD-00219,C033,2435.71,2024-06-11
ORD-00220,C001,2793.77,2024-08-26
ORD-00221,C008,1821.03,2024-10-15
ORD-00222,C031,452.44,2024-12-21
ORD-00223,C002,2510.26,2024-05-26
ORD-00224,C007,505.11,2024-07-10
ORD-00225,C034,2326.51,2024-12-18
ORD-00226,C017,597.41,2024-08-09
ORD-00227,C001,538.93,2024-06-12
ORD-00228,C024,1109.17,2024-04-03
ORD-00229,C008,2582.62,2024-10-15
ORD-00230,C016,1517.51,2024-11-15
ORD-00231,C017,512.94,2024-02-15
ORD-00232,C048,2187.47,2024-06-25
ORD-00233,C031,339.38,2024-01-13
ORD-00234,C010,58.62,2024-12-23
ORD-00235,C032,2368.24,2024-07-03
ORD-00236,C035,1901.14,2024-03-21
ORD-00237,C049,1559.96,2024-06-15
ORD-00238,C037,1886.23,2024-08-30
ORD-00239,C046,1915.36,2024-04-29
ORD-00240,C014,866.3,2024-06-06
ORD-00241,C007,457.95,2024-02-19
ORD-00242,C049,2869.73,2024-05-15
ORD-00243,C037,2776.72,2024-02-19
ORD-00244,C046,2456.0,2024-02-08
ORD-00245,C029,1495.09,2024-02-11
ORD-00246,C014,59.87,2024-05-10
ORD-00247,C050,2500.13,2024-02-25
ORD-00248,C048,1672.52,2024-08-06
ORD-00249,C045,2715.46,2024-11-05
ORD-00250,C017,1013.84,2024-08-25
ORD-00251,C044,2818.14,2024-01-14
ORD-00252,C046,1581.78,2024-01-29
ORD-00253,C006,1814.65,2024-05-08
ORD-00254,C044,1453.01,2024-08-15
ORD-00255,C001,678.59,2024-06-06
ORD-00256,C028,2719.55,2024-04-23
ORD-00257,C014,1181.42,2024-09-03
ORD-00258,C044,818.33,2024-05-06
ORD-00259,C042,1303.34,2024-05-18
ORD-00260,C022,256.34,2024-02-22
ORD-00261,C029,522.06,2024-07-13
ORD-00262,C036,867.99,2024-03-11
ORD-00263,C033,318.39,2024-10-29
ORD-00264,C007,544.5,2024-07-07
ORD-00265,C048,578.29,2024-03-16
ORD-00266,C039,1965.43,2024-08-08
ORD-00267,C042,1540.78,2024-10-31
ORD-00268,C023,1807.93,2024-11-06
ORD-00269,C038,605.77,2024-11-14
ORD-00270,C038,1615.48,2024-01-08
ORD-00271,C028,1652.53,2024-01-12
ORD-00272,C026,2916.34,2024-01-19
ORD-00273,C010,805.53,2024-07-06
ORD-00274,C023,2733.15,2024-07-13
ORD-00275,C012,2546.2,2024-11-15
ORD-00276,C016,1005.86,2024-12-25
ORD-00277,C046,2485.72,2024-03-07
ORD-00278,C045,596.97,2024-04-30
ORD-00279,C040,764.51,2024-01-14
ORD-00280,C010,116.7,2024-04-19
ORD-00281,C040,2315.91,2024-12-03
ORD-00282,C042,2959.76,2024-11-26
ORD-00283,C031,2377.56,2024-10-30
ORD-00284,C049,2885.78,2024-02-08
ORD-00285,C014,178.13,2024-05-12
ORD-00286,C003,2715.8,2024-03-12
ORD-00287,C010,1285.74,2024-03-24
ORD-00288,C041,2816.28,2024-04-21
ORD-00289,C030,417.74,2024-08-04
ORD-00290,C044,1894.99,2024-01-29
ORD-00291,C049,2839.85,2024-10-19
ORD-00292,C013,1190.38,2024-12-21
ORD-00293,C039,115.62,2024-03-09
ORD-00294,C032,2336.65,2024-10-20
ORD-00295,C049,2514.3,2024-12-30
ORD-00296,C037,2203.42,2024-05-25
ORD-00297,C022,2441.35,2024-04-15
ORD-00298,C024,2551.65,2024-12-24
ORD-00299,C022,586.81,2024-07-06
ORD-00300,C028,1251.43,2024-02-24
ORD-00301,C037,2950.4,2024-11-26
ORD-00302,C032,75.52,2024-03-21
ORD-00303,C002,2399.13,2024-01-14
ORD-00304,C049,2284.24,2024-02-12
ORD-00305,C008,265.19,2024-12-04
ORD-00306,C026,1205.76,2024-06-21
ORD-00307,C016,492.19,2024-06-11
ORD-00308,C047,704.92,2024-03-08
ORD-00309,C026,2382.71,2024-05-31
ORD-00310,C010,2121.67,2024-02-16
ORD-00311,C007,1540.25,2024-12-29
ORD-00312,C006,1040.57,2024-05-14
ORD-00313,C040,1134.04,2024-10-23
ORD-00314,C024,228.63,2024-03-17
ORD-00315,C011,2319.24,2024-02-21
ORD-00316,C002,2549.69,2024-12-04
ORD-00317,C022,1524.13,2024-10-17
ORD-00318,C005,1917.07,2024-01-10
ORD-00319,C022,1647.07,2024-09-02
ORD-00320,C039,2834.04,2024-05-03
ORD-00321,C047,395.02,2024-04-15
ORD-00322,C017,2071.26,2024-04-14
ORD-00323,C049,1047.92,2024-11-26
ORD-00324,C049,2272.83,2024-08-06
ORD-00325,C041,1472.34,2024-11-11
ORD-00326,C045,1510.59,2024-07-03
ORD-00327,C038,2037.71,2024-09-06
ORD-00328,C023,1104.28,2024-11-14
ORD-00329,C016,2020.6,2024-11-17
ORD-00330,C007,2078.18,2024-09-29
ORD-00331,C022,1183.92,2024-05-29
ORD-00332,C033,990.07,2024-09-04
ORD-00333,C022,2515.67,2024-01-02
ORD-00334,C031,100.82,2024-09-25
ORD-00335,C001,2085.59,2024-12-29
ORD-00336,C016,1849.19,2024-08-04
ORD-00337,C041,658.55,2024-12-15
ORD-00338,C028,2124.0,2024-02-04
ORD-00339,C008,91.85,2024-05-29
ORD-00340,C014,189.42,2024-03-19
ORD-00341,C041,2115.45,2024-06-11
ORD-00342,C027,966.04,2024-07-21
ORD-00343,C031,2681.81,2024-01-06
ORD-00344,C027,2301.62,2024-07-15
ORD-00345,C004,227.41,2024-04-15
ORD-00346,C024,2110.96,2024-02-23
ORD-00347,C045,758.37,2024-09-03
ORD-00348,C018,1655.5,2024-05-11
ORD-00349,C001,1154.99,2024-08-14
ORD-00350,C002,1919.86,2024-07-24
ORD-00351,C042,1438.21,2024-12-06
ORD-00352,C044,1619.36,2024-04-18
ORD-00353,C018,1413.24,2024-07-10
ORD-00354,C040,895.88,2024-04-07
ORD-00355,C037,1729.34,2024-09-26
ORD-00356,C016,1374.48,2024-06-03
ORD-00357,C049,1858.23,2024-04-30
ORD-00358,C011,307.78,2024-04-18
ORD-00359,C028,2619.05,2024-06-01
ORD-00360,C044,77.1,2024-05-07
ORD-00361,C022,2981.14,2024-02-09
ORD-00362,C039,2884.48,2024-09-09
ORD-00363,C034,2721.4,2024-03-16
ORD-00364,C049,1026.29,2024-10-28
ORD-00365,C045,308.43,2024-07-02
ORD-00366,C032,2634.96,2024-02-18
ORD-00367,C041,1191.71,2024-12-22
ORD-00368,C005,1455.98,2024-07-20
ORD-00369,C049,1290.16,2024-01-22
ORD-00370,C045,267.45,2024-03-31
ORD-00371,C003,1871.22,2024-08-12
ORD-00372,C032,2747.54,2024-01-18
ORD-00373,C004,2586.28,2024-09-12
ORD-00374,C023,1756.33,2024-08-26
ORD-00375,C030,2713.0,2024-01-15
ORD-00376,C010,1275.21,2024-09-17
ORD-00377,C039,2217.89,2024-02-28
ORD-00378,C044,1968.34,2024-04-16
ORD-00379,C043,1033.4,2024-05-21
ORD-00380,C016,499.65,2024-01-17
ORD-00381,C003,1628.8,2024-06-21
ORD-00382,C039,2382.14,2024-08-19
ORD-00383,C009,1487.38,2024-01-17
ORD-00384,C020,1441.4,2024-09-05
ORD-00385,C031,842.19,2024-08-11
ORD-00386,C048,2090.19,2024-10-24
ORD-00387,C019,501.79,2024-04-28
ORD-00388,C035,1708.41,2024-03-02
ORD-00389,C014,1280.78,2024-05-05
ORD-00390,C008,2803.81,2024-01-25
ORD-00391,C026,1337.11,2024-09-06
ORD-00392,C028,827.19,2024-09-24
ORD-00393,C040,1970.55,2024-04-14
ORD-00394,C036,2947.69,2024-02-07
ORD-00395,C035,2432.74,2024-12-21
ORD-00396,C005,794.93,2024-07-12
ORD-00397,C044,1699.58,2024-09-20
ORD-00398,C009,2493.5,2024-06-29
ORD-00399,C045,1068.69,2024-03-17
ORD-00400,C039,1789.7,2024-10-05
