OrderID,ProductID,Category,Revenue
ORD-00145,P005,Électronique,976.92
ORD-00146,P005,Électronique,759.73
ORD-00147,P005,Périphériques,2414.21
ORD-00148,P003,Électronique,278.47
ORD-00149,P002,Périphériques,1468.48
ORD-00150,P004,Accessoires,2454.5
ORD-00151,P003,Accessoires,288.27
ORD-00152,P002,Accessoires,1219.55
ORD-00153,P005,Périphériques,531.37
ORD-00154,P003,Électronique,1924.96
ORD-00155,P005,Accessoires,2595.78
ORD-00156,P001,Électronique,2866.38
ORD-00157,P005,Périphériques,1850.92
ORD-00158,P004,Accessoires,1557.1
ORD-00159,P001,Électronique,1191.22
ORD-00160,P001,Périphériques,2768.07
ORD-00161,P003,Périphériques,2811.27
ORD-00162,P002,Accessoires,367.04
ORD-00163,P004,Électronique,865.64
ORD-00164,P004,Périphériques,639.89
ORD-00165,P004,Électronique,191.85
ORD-00166,P003,Accessoires,1483.3
ORD-00167,P002,Accessoires,2678.15
ORD-00168,P005,Électronique,358.9
ORD-00169,P004,Électronique,686.23
ORD-00170,P002,Électronique,623.28
ORD-00171,P003,Accessoires,462.76
ORD-00172,P004,Électronique,2933.02
ORD-00173,P002,Électronique,854.6
ORD-00174,P003,Électronique,2844.16
ORD-00175,P003,Accessoires,827.08
ORD-00176,P003,Électronique,826.01
ORD-00177,P001,Périphériques,1117.47
ORD-00178,P005,Périphériques,2081.42
ORD-00179,P001,Électronique,1660.91
ORD-00180,P002,Accessoires,2767.04
ORD-00181,P005,Électronique,2828.53
ORD-00182,P004,Accessoires,1182.38
ORD-00183,P003,Périphériques,2551.0
ORD-00184,P002,Électronique,1767.81
ORD-00185,P004,Périphériques,719.61
ORD-00186,P004,Électronique,1871.61
ORD-00187,P005,Électronique,2926.38
ORD-00188,P004,Périphériques,1519.72
ORD-00189,P003,Périphériques,2453.7
ORD-00190,P003,Périphériques,1468.85
ORD-00191,P003,Périphériques,101.45
ORD-00192,P002,Électronique,2284.37
ORD-00193,P002,Accessoires,1927.76
ORD-00194,P003,Électronique,2814.72
ORD-00195,P003,Électronique,2267.37
ORD-00196,P001,Accessoires,689.78
ORD-00197,P003,Accessoires,499.93
ORD-00198,P001,Électronique,71.47
ORD-00199,P003,Électronique,2803.43
ORD-00200,P004,Électronique,693.97
ORD-00201,P005,Périphériques,1606.48
ORD-00202,P002,Périphériques,2461.39
ORD-00203,P002,Périphériques,2179.36
ORD-00204,P005,Électronique,2198.16
ORD-00205,P001,Périphériques,1423.02
ORD-00206,P002,Électronique,1476.82
ORD-00207,P001,Électronique,2342.05
ORD-00208,P004,Accessoires,2626.66
ORD-00209,P002,Périphériques,626.05
ORD-00210,P005,Périphériques,2881.8
ORD-00211,P004,Périphériques,1919.21
ORD-00212,P004,Périphériques,1720.74
ORD-00213,P003,Accessoires,1267.65
ORD-00214,P002,Accessoires,2369.58
ORD-00215,P003,Accessoires,1818.1
ORD-00216,P005,Périphériques,133.27
ORD-00217,P001,Électronique,1170.85
ORD-00218,P003,Électronique,2231.48
ORD-00219,P001,Périphériques,2783.09
ORD-00220,P001,Accessoires,863.74
ORD-00221,P004,Électronique,1228.33
ORD-00222,P002,Électronique,1801.28
ORD-00223,P001,Électronique,1139.8
ORD-00224,P001,Périphériques,863.99
ORD-00225,P004,Électronique,2000.92
ORD-00226,P005,Électronique,1995.51
ORD-00227,P004,Accessoires,472.41
ORD-00228,P002,Électronique,2162.24
ORD-00229,P003,Accessoires,635.41
ORD-00230,P004,Électronique,478.65
ORD-00231,P002,Périphériques,880.38
ORD-00232,P003,Accessoires,1547.46
ORD-00233,P003,Électronique,2102.75
ORD-00234,P005,Périphériques,2940.2
ORD-00235,P001,Périphériques,2762.77
ORD-00236,P001,Électronique,250.68
ORD-00237,P003,Accessoires,712.07
ORD-00238,P003,Périphériques,2183.06
ORD-00239,P005,Accessoires,1996.27
ORD-00240,P004,Électronique,2551.35
ORD-00241,P002,Électronique,2699.94
ORD-00242,P002,Périphériques,2928.62
ORD-00243,P005,Accessoires,320.99
ORD-00244,P004,Électronique,909.0
ORD-00245,P002,Périphériques,381.8
ORD-00246,P005,Périphériques,653.28
ORD-00247,P005,Périphériques,139.63
ORD-00248,P004,Périphériques,759.79
ORD-00249,P004,Électronique,2207.41
ORD-00250,P001,Électronique,2431.06
ORD-00251,P004,Accessoires,1091.64
ORD-00252,P001,Périphériques,1672.92
ORD-00253,P001,Électronique,2440.35
ORD-00254,P001,Accessoires,816.46
ORD-00255,P005,Électronique,1086.7
ORD-00256,P004,Accessoires,2171.22
ORD-00257,P004,Périphériques,2939.06
ORD-00258,P004,Électronique,2391.72
ORD-00259,P005,Accessoires,670.21
ORD-00260,P004,Électronique,2011.66
ORD-00261,P001,Périphériques,2489.71
ORD-00262,P001,Périphériques,2234.79
ORD-00263,P003,Accessoires,2218.21
ORD-00264,P005,Accessoires,1907.93
ORD-00265,P005,Électronique,1441.47
ORD-00266,P004,Électronique,2661.92
ORD-00267,P002,Accessoires,1267.73
ORD-00268,P003,Périphériques,1475.31
ORD-00269,P003,Accessoires,604.92
ORD-00270,P003,Électronique,2839.89
ORD-00271,P002,Périphériques,453.06
ORD-00272,P003,Électronique,490.38
ORD-00273,P001,Périphériques,2111.21
ORD-00274,P002,Accessoires,897.01
ORD-00275,P004,Périphériques,2814.63
ORD-00276,P003,Accessoires,2967.04
ORD-00277,P002,Accessoires,2290.46
ORD-00278,P002,Périphériques,2532.71
ORD-00279,P003,Périphériques,905.76
ORD-00280,P001,Accessoires,1821.66
ORD-00281,P003,Périphériques,132.36
ORD-00282,P004,Électronique,2819.73
ORD-00283,P005,Accessoires,997.21
ORD-00284,P003,Périphériques,959.26
ORD-00285,P002,Accessoires,512.85
ORD-00286,P002,Électronique,2578.01
ORD-00287,P005,Accessoires,311.08
ORD-00288,P004,Électronique,2984.27
ORD-00289,P002,Électronique,2110.32
ORD-00290,P001,Périphériques,1587.93
ORD-00291,P002,Électronique,929.55
ORD-00292,P001,Périphériques,2138.32
ORD-00293,P001,Électronique,2476.39
ORD-00294,P002,Périphériques,1818.8
ORD-00295,P003,Électronique,102.41
ORD-00296,P005,Électronique,2597.52
ORD-00297,P002,Accessoires,2333.09
ORD-00298,P005,Électronique,115.34
ORD-00299,P001,Périphériques,1307.89
ORD-00300,P004,Accessoires,2599.05
