OrderID,OrderDate,ProductID,CustomerID,Quantity,Revenue,Cost,Channel
2025-00105,2025-08-11,P011,C019,2,1920.86,997.16,Online
2025-00106,2025-08-24,P012,C085,1,1058.18,682.96,Online
2025-00107,2025-02-07,P001,C046,3,3477.27,1719.6,Phone
2025-00108,2025-02-06,P010,C059,3,691.44,327.9,Store
2025-00109,2025-07-18,P008,C162,4,2952.96,1572.88,Store
2025-00110,2025-06-11,P001,C100,1,1159.09,573.2,Phone
2025-00111,2025-01-04,P011,C185,5,4802.15,2492.9,Online
2025-00112,2025-10-27,P001,C180,1,1159.09,573.2,Store
2025-00113,2025-09-15,P002,C075,3,2918.16,1716.93,Phone
2025-00114,2025-02-14,P005,C196,4,4097.12,2830.12,Store
2025-00115,2025-07-22,P011,C008,4,3841.72,1994.32,Online
2025-00116,2025-10-01,P004,C035,4,3525.08,1741.16,Phone
2025-00117,2025-06-01,P011,C037,3,2881.29,1495.74,Phone
2025-00118,2025-11-28,P006,C003,5,588.5,417.0,Phone
2025-00119,2025-03-14,P002,C011,1,972.72,572.31,Phone
2025-00120,2025-11-02,P007,C138,5,1519.9,855.15,Online
2025-00121,2025-06-06,P004,C192,3,2643.81,1305.87,Online
2025-00122,2025-07-31,P011,C132,2,1920.86,997.16,Online
2025-00123,2025-04-05,P004,C158,3,2643.81,1305.87,Online
2025-00124,2025-02-28,P003,C172,5,2939.7,1624.05,Online
2025-00125,2025-10-09,P008,C166,5,3691.2,1966.1,Online
2025-00126,2025-05-29,P011,C018,3,2881.29,1495.74,Online
2025-00127,2025-04-12,P012,C149,4,4232.72,2731.84,Store
2025-00128,2025-07-02,P003,C172,2,1175.88,649.62,Online
2025-00129,2025-05-26,P010,C018,2,460.96,218.6,Store
2025-00130,2025-09-06,P008,C085,5,3691.2,1966.1,Phone
2025-00131,2025-06-06,P012,C150,2,2116.36,1365.92,Phone
2025-00132,2025-10-18,P006,C081,4,470.8,333.6,Online
2025-00133,2025-01-03,P006,C064,2,235.4,166.8,Phone
2025-00134,2025-11-25,P007,C071,3,911.94,513.09,Online
2025-00135,2025-12-14,P012,C085,4,4232.72,2731.84,Store
2025-00136,2025-08-17,P006,C199,3,353.1,250.2,Store
2025-00137,2025-10-10,P002,C045,5,4863.6,2861.55,Online
2025-00138,2025-05-24,P003,C138,2,1175.88,649.62,Store
2025-00139,2025-11-17,P002,C187,1,972.72,572.31,Online
2025-00140,2025-09-17,P011,C008,5,4802.15,2492.9,Phone
2025-00141,2025-07-27,P010,C055,1,230.48,109.3,Phone
2025-00142,2025-05-14,P009,C139,4,196.04,136.8,Phone
2025-00143,2025-03-18,P006,C101,2,235.4,166.8,Phone
2025-00144,2025-05-29,P003,C119,5,2939.7,1624.05,Phone
2025-00145,2025-02-16,P007,C094,5,1519.9,855.15,Online
2025-00146,2025-12-06,P004,C158,2,1762.54,870.58,Phone
2025-00147,2025-03-13,P008,C041,2,1476.48,786.44,Phone
2025-00148,2025-10-17,P011,C038,4,3841.72,1994.32,Store
2025-00149,2025-01-21,P004,C195,4,3525.08,1741.16,Online
2025-00150,2025-02-02,P005,C095,2,2048.56,1415.06,Online
2025-00151,2025-12-09,P004,C133,3,2643.81,1305.87,Store
2025-00152,2025-08-29,P008,C012,1,738.24,393.22,Phone
2025-00153,2025-06-15,P002,C181,5,4863.6,2861.55,Phone
2025-00154,2025-05-21,P012,C068,5,5290.9,3414.8,Phone
2025-00155,2025-10-19,P003,C097,4,2351.76,1299.24,Store
2025-00156,2025-10-28,P011,C020,5,4802.15,2492.9,Store
2025-00157,2025-07-12,P004,C133,4,3525.08,1741.16,Store
2025-00158,2025-06-26,P008,C124,5,3691.2,1966.1,Online
2025-00159,2025-09-14,P003,C113,2,1175.88,649.62,Online
2025-00160,2025-02-09,P009,C165,3,147.03,102.6,Online
2025-00161,2025-03-18,P003,C041,3,1763.82,974.43,Phone
2025-00162,2025-03-02,P011,C059,4,3841.72,1994.32,Store
2025-00163,2025-02-28,P008,C173,4,2952.96,1572.88,Store
2025-00164,2025-04-18,P010,C042,4,921.92,437.2,Online
2025-00165,2025-05-05,P001,C033,5,5795.45,2866.0,Phone
2025-00166,2025-03-24,P003,C162,5,2939.7,1624.05,Online
2025-00167,2025-10-21,P003,C015,2,1175.88,649.62,Store
2025-00168,2025-04-03,P009,C104,5,245.05,171.0,Phone
2025-00169,2025-11-23,P001,C185,3,3477.27,1719.6,Online
2025-00170,2025-04-21,P008,C156,4,2952.96,1572.88,Store
2025-00171,2025-03-29,P004,C106,5,4406.35,2176.45,Online
2025-00172,2025-10-26,P003,C160,5,2939.7,1624.05,Store
2025-00173,2025-03-27,P012,C176,3,3174.54,2048.88,Store
2025-00174,2025-11-02,P010,C018,2,460.96,218.6,Store
2025-00175,2025-07-17,P003,C028,1,587.94,324.81,Online
2025-00176,2025-09-25,P009,C176,4,196.04,136.8,Online
2025-00177,2025-11-07,P002,C046,4,3890.88,2289.24,Phone
2025-00178,2025-11-04,P001,C137,5,5795.45,2866.0,Online
2025-00179,2025-02-17,P008,C169,2,1476.48,786.44,Phone
2025-00180,2025-10-04,P001,C199,4,4636.36,2292.8,Phone
2025-00181,2025-08-04,P006,C012,5,588.5,417.0,Store
2025-00182,2025-04-28,P008,C197,4,2952.96,1572.88,Store
2025-00183,2025-10-29,P012,C195,5,5290.9,3414.8,Online
2025-00184,2025-08-06,P003,C066,4,2351.76,1299.24,Online
2025-00185,2025-02-12,P005,C154,5,5121.4,3537.65,Store
2025-00186,2025-05-12,P004,C002,1,881.27,435.29,Phone
2025-00187,2025-09-25,P002,C134,1,972.72,572.31,Store
2025-00188,2025-12-02,P004,C177,3,2643.81,1305.87,Store
2025-00189,2025-07-05,P002,C040,4,3890.88,2289.24,Phone
2025-00190,2025-10-27,P005,C067,5,5121.4,3537.65,Store
2025-00191,2025-10-17,P006,C157,3,353.1,250.2,Phone
2025-00192,2025-07-23,P004,C106,5,4406.35,2176.45,Phone
2025-00193,2025-09-05,P003,C095,5,2939.7,1624.05,Phone
2025-00194,2025-09-05,P005,C079,5,5121.4,3537.65,Store
2025-00195,2025-12-28,P007,C189,2,607.96,342.06,Phone
2025-00196,2025-03-02,P012,C059,4,4232.72,2731.84,Phone
2025-00197,2025-03-24,P002,C055,5,4863.6,2861.55,Store
2025-00198,2025-06-23,P009,C158,1,49.01,34.2,Online
2025-00199,2025-07-19,P011,C002,1,960.43,498.58,Online
2025-00200,2025-08-30,P010,C112,1,230.48,109.3,Online
2025-00201,2025-05-15,P004,C095,1,881.27,435.29,Phone
2025-00202,2025-01-20,P012,C099,4,4232.72,2731.84,Phone
2025-00203,2025-12-02,P009,C074,5,245.05,171.0,Online
2025-00204,2025-03-31,P011,C127,4,3841.72,1994.32,Online
2025-00205,2025-04-14,P011,C133,3,2881.29,1495.74,Online
2025-00206,2025-01-18,P010,C131,5,1152.4,546.5,Phone
2025-00207,2025-04-29,P010,C044,1,230.48,109.3,Store
2025-00208,2025-05-03,P011,C001,2,1920.86,997.16,Online
2025-00209,2025-05-22,P007,C091,4,1215.92,684.12,Store
2025-00210,2025-10-28,P004,C133,1,881.27,435.29,Phone
2025-00211,2025-12-27,P002,C024,5,4863.6,2861.55,Store
2025-00212,2025-10-14,P010,C090,3,691.44,327.9,Store
2025-00213,2025-04-26,P010,C050,4,921.92,437.2,Store
2025-00214,2025-10-22,P001,C067,2,2318.18,1146.4,Store
2025-00215,2025-09-17,P002,C144,1,972.72,572.31,Phone
2025-00216,2025-05-31,P006,C030,5,588.5,417.0,Store
2025-00217,2025-10-03,P010,C065,4,921.92,437.2,Store
2025-00218,2025-10-16,P008,C198,2,1476.48,786.44,Store
2025-00219,2025-08-23,P011,C118,5,4802.15,2492.9,Online
2025-00220,2025-09-04,P002,C067,1,972.72,572.31,Store
2025-00221,2025-11-21,P004,C174,2,1762.54,870.58,Store
2025-00222,2025-07-31,P006,C133,5,588.5,417.0,Online
2025-00223,2025-12-25,P005,C064,3,3072.84,2122.59,Online
2025-00224,2025-07-24,P011,C192,3,2881.29,1495.74,Online
2025-00225,2025-10-11,P003,C122,3,1763.82,974.43,Store
2025-00226,2025-04-22,P010,C069,2,460.96,218.6,Phone
2025-00227,2025-12-16,P004,C128,2,1762.54,870.58,Online
2025-00228,2025-05-04,P005,C053,2,2048.56,1415.06,Online
2025-00229,2025-05-08,P010,C092,2,460.96,218.6,Online
2025-00230,2025-03-03,P002,C174,4,3890.88,2289.24,Phone
2025-00231,2025-01-04,P009,C011,4,196.04,136.8,Store
2025-00232,2025-11-14,P006,C127,5,588.5,417.0,Store
2025-00233,2025-09-09,P003,C196,5,2939.7,1624.05,Store
2025-00234,2025-07-23,P004,C193,5,4406.35,2176.45,Online
2025-00235,2025-01-28,P009,C109,4,196.04,136.8,Phone
2025-00236,2025-01-17,P009,C089,4,196.04,136.8,Phone
2025-00237,2025-03-31,P008,C031,5,3691.2,1966.1,Store
2025-00238,2025-06-11,P012,C003,1,1058.18,682.96,Phone
2025-00239,2025-04-18,P007,C149,1,303.98,171.03,Store
2025-00240,2025-07-05,P010,C067,2,460.96,218.6,Phone
2025-00241,2025-05-15,P004,C069,4,3525.08,1741.16,Phone
2025-00242,2025-06-25,P006,C048,4,470.8,333.6,Store
2025-00243,2025-04-18,P007,C180,3,911.94,513.09,Store
2025-00244,2025-07-25,P005,C116,2,2048.56,1415.06,Phone
2025-00245,2025-03-09,P010,C176,2,460.96,218.6,Online
2025-00246,2025-05-19,P004,C143,4,3525.08,1741.16,Store
2025-00247,2025-04-11,P003,C190,2,1175.88,649.62,Store
2025-00248,2025-01-05,P003,C108,4,2351.76,1299.24,Online
2025-00249,2025-11-19,P009,C137,3,147.03,102.6,Store
2025-00250,2025-06-03,P005,C144,5,5121.4,3537.65,Online
2025-00251,2025-07-23,P002,C177,2,1945.44,1144.62,Online
2025-00252,2025-04-21,P005,C122,1,1024.28,707.53,Store
2025-00253,2025-06-21,P005,C093,3,3072.84,2122.59,Phone
2025-00254,2025-10-13,P005,C089,1,1024.28,707.53,Store
2025-00255,2025-03-04,P006,C174,5,588.5,417.0,Online
2025-00256,2025-10-23,P010,C167,5,1152.4,546.5,Online
2025-00257,2025-05-26,P006,C084,5,588.5,417.0,Store
2025-00258,2025-08-17,P002,C098,5,4863.6,2861.55,Store
2025-00259,2025-08-26,P011,C038,2,1920.86,997.16,Phone
2025-00260,2025-06-22,P007,C162,5,1519.9,855.15,Phone
2025-00261,2025-07-27,P002,C021,2,1945.44,1144.62,Store
2025-00262,2025-04-27,P006,C082,3,353.1,250.2,Phone
2025-00263,2025-05-17,P010,C166,4,921.92,437.2,Store
2025-00264,2025-08-16,P006,C192,5,588.5,417.0,Phone
2025-00265,2025-08-19,P007,C043,2,607.96,342.06,Online
2025-00266,2025-03-06,P012,C061,3,3174.54,2048.88,Phone
2025-00267,2025-12-25,P012,C021,2,2116.36,1365.92,Online
2025-00268,2025-07-23,P002,C025,1,972.72,572.31,Store
2025-00269,2025-10-08,P001,C007,4,4636.36,2292.8,Phone
2025-00270,2025-02-12,P002,C068,5,4863.6,2861.55,Online
2025-00271,2025-02-13,P011,C100,3,2881.29,1495.74,Online
2025-00272,2025-05-07,P012,C073,4,4232.72,2731.84,Phone
2025-00273,2025-03-06,P003,C135,2,1175.88,649.62,Online
2025-00274,2025-01-18,P011,C092,3,2881.29,1495.74,Store
2025-00275,2025-08-28,P009,C070,5,245.05,171.0,Store
2025-00276,2025-03-11,P012,C139,2,2116.36,1365.92,Phone
2025-00277,2025-11-02,P008,C162,5,3691.2,1966.1,Store
2025-00278,2025-09-26,P011,C164,5,4802.15,2492.9,Store
2025-00279,2025-06-27,P008,C139,2,1476.48,786.44,Online
2025-00280,2025-08-15,P005,C094,4,4097.12,2830.12,Store
2025-00281,2025-03-21,P005,C003,1,1024.28,707.53,Phone
2025-00282,2025-03-11,P006,C074,4,470.8,333.6,Phone
2025-00283,2025-01-05,P012,C126,4,4232.72,2731.84,Store
2025-00284,2025-01-05,P007,C075,5,1519.9,855.15,Online
2025-00285,2025-01-04,P009,C096,2,98.02,68.4,Store
2025-00286,2025-10-15,P007,C102,2,607.96,342.06,Online
2025-00287,2025-11-27,P007,C097,2,607.96,342.06,Store
2025-00288,2025-02-10,P007,C161,2,607.96,342.06,Phone
2025-00289,2025-11-10,P012,C176,3,3174.54,2048.88,Store
2025-00290,2025-11-29,P012,C137,3,3174.54,2048.88,Store
2025-00291,2025-04-07,P002,C047,2,1945.44,1144.62,Store
2025-00292,2025-02-26,P011,C117,5,4802.15,2492.9,Store
2025-00293,2025-05-20,P012,C160,4,4232.72,2731.84,Online
2025-00294,2025-06-14,P001,C039,1,1159.09,573.2,Phone
2025-00295,2025-01-12,P003,C027,3,1763.82,974.43,Store
2025-00296,2025-03-06,P012,C113,1,1058.18,682.96,Online
2025-00297,2025-02-16,P003,C004,4,2351.76,1299.24,Online
2025-00298,2025-06-25,P007,C080,4,1215.92,684.12,Store
2025-00299,2025-08-26,P012,C009,3,3174.54,2048.88,Online
2025-00300,2025-03-16,P001,C069,4,4636.36,2292.8,Online
2025-00301,2025-10-06,P008,C047,2,1476.48,786.44,Store
2025-00302,2025-07-15,P001,C032,2,2318.18,1146.4,Store
2025-00303,2025-08-15,P004,C189,1,881.27,435.29,Online
2025-00304,2025-08-24,P012,C198,1,1058.18,682.96,Phone
2025-00305,2025-12-07,P004,C122,4,3525.08,1741.16,Phone
2025-00306,2025-06-09,P006,C041,1,117.7,83.4,Phone
2025-00307,2025-10-09,P009,C032,3,147.03,102.6,Store
2025-00308,2025-11-23,P005,C051,3,3072.84,2122.59,Online
2025-00309,2025-12-08,P004,C029,2,1762.54,870.58,Phone
2025-00310,2025-08-11,P006,C004,2,235.4,166.8,Store
2025-00311,2025-10-27,P002,C102,2,1945.44,1144.62,Online
2025-00312,2025-01-22,P010,C177,4,921.92,437.2,Phone
2025-00313,2025-11-02,P003,C096,1,587.94,324.81,Online
2025-00314,2025-03-22,P008,C024,5,3691.2,1966.1,Store
2025-00315,2025-11-17,P001,C016,3,3477.27,1719.6,Phone
2025-00316,2025-03-20,P012,C138,1,1058.18,682.96,Online
2025-00317,2025-09-07,P004,C082,5,4406.35,2176.45,Phone
2025-00318,2025-06-27,P008,C188,2,1476.48,786.44,Online
2025-00319,2025-12-19,P007,C092,2,607.96,342.06,Store
2025-00320,2025-01-21,P008,C181,4,2952.96,1572.88,Phone
2025-00321,2025-05-31,P009,C179,4,196.04,136.8,Online
2025-00322,2025-10-18,P003,C140,3,1763.82,974.43,Store
2025-00323,2025-08-28,P005,C154,5,5121.4,3537.65,Online
2025-00324,2025-02-05,P009,C040,4,196.04,136.8,Store
2025-00325,2025-05-15,P009,C094,4,196.04,136.8,Online
2025-00326,2025-11-23,P009,C098,2,98.02,68.4,Online
2025-00327,2025-11-14,P006,C199,5,588.5,417.0,Online
2025-00328,2025-06-14,P012,C017,5,5290.9,3414.8,Store
2025-00329,2025-04-08,P009,C175,4,196.04,136.8,Phone
2025-00330,2025-03-20,P010,C073,3,691.44,327.9,Store
2025-00331,2025-11-25,P006,C029,1,117.7,83.4,Phone
2025-00332,2025-12-04,P002,C012,2,1945.44,1144.62,Online
2025-00333,2025-01-17,P004,C028,4,3525.08,1741.16,Online
2025-00334,2025-02-20,P001,C147,4,4636.36,2292.8,Phone
2025-00335,2025-09-08,P009,C160,5,245.05,171.0,Store
2025-00336,2025-01-26,P006,C057,5,588.5,417.0,Phone
2025-00337,2025-02-06,P001,C054,4,4636.36,2292.8,Online
2025-00338,2025-08-28,P011,C016,3,2881.29,1495.74,Phone
2025-00339,2025-08-01,P006,C182,1,117.7,83.4,Phone
2025-00340,2025-05-17,P009,C011,1,49.01,34.2,Store
2025-00341,2025-02-09,P004,C133,1,881.27,435.29,Online
2025-00342,2025-04-29,P009,C099,2,98.02,68.4,Online
2025-00343,2025-09-27,P011,C064,5,4802.15,2492.9,Phone
2025-00344,2025-04-02,P009,C192,5,245.05,171.0,Store
2025-00345,2025-02-24,P011,C148,3,2881.29,1495.74,Phone
2025-00346,2025-08-23,P012,C171,4,4232.72,2731.84,Online
2025-00347,2025-03-27,P003,C141,4,2351.76,1299.24,Phone
2025-00348,2025-06-22,P011,C041,5,4802.15,2492.9,Phone
2025-00349,2025-08-15,P006,C081,5,588.5,417.0,Store
2025-00350,2025-07-10,P007,C196,4,1215.92,684.12,Phone
2025-00351,2025-06-15,P010,C062,5,1152.4,546.5,Phone
2025-00352,2025-04-20,P007,C197,5,1519.9,855.15,Phone
2025-00353,2025-05-11,P006,C116,4,470.8,333.6,Store
2025-00354,2025-01-01,P012,C009,3,3174.54,2048.88,Phone
2025-00355,2025-01-09,P009,C035,3,147.03,102.6,Online
2025-00356,2025-06-03,P004,C055,3,2643.81,1305.87,Online
2025-00357,2025-12-20,P005,C142,5,5121.4,3537.65,Phone
2025-00358,2025-10-20,P010,C040,1,230.48,109.3,Online
2025-00359,2025-08-24,P006,C040,2,235.4,166.8,Store
2025-00360,2025-07-07,P010,C064,2,460.96,218.6,Store
2025-00361,2025-06-03,P002,C147,4,3890.88,2289.24,Phone
2025-00362,2025-04-22,P012,C020,3,3174.54,2048.88,Store
2025-00363,2025-03-30,P008,C177,5,3691.2,1966.1,Online
2025-00364,2025-11-01,P011,C077,1,960.43,498.58,Phone
2025-00365,2025-10-23,P007,C021,1,303.98,171.03,Store
2025-00366,2025-06-28,P007,C107,1,303.98,171.03,Online
2025-00367,2025-12-01,P010,C003,4,921.92,437.2,Online
2025-00368,2025-06-06,P009,C011,3,147.03,102.6,Phone
2025-00369,2025-10-17,P003,C084,5,2939.7,1624.05,Phone
2025-00370,2025-04-24,P003,C013,4,2351.76,1299.24,Store
2025-00371,2025-11-01,P010,C130,1,230.48,109.3,Online
2025-00372,2025-08-10,P005,C101,2,2048.56,1415.06,Online
2025-00373,2025-06-22,P002,C122,5,4863.6,2861.55,Phone
2025-00374,2025-01-26,P009,C103,3,147.03,102.6,Online
2025-00375,2025-07-24,P009,C112,2,98.02,68.4,Online
2025-00376,2025-09-04,P009,C051,4,196.04,136.8,Store
2025-00377,2025-11-30,P010,C051,5,1152.4,546.5,Phone
2025-00378,2025-09-26,P004,C063,1,881.27,435.29,Store
2025-00379,2025-08-09,P006,C176,5,588.5,417.0,Online
2025-00380,2025-02-27,P011,C106,4,3841.72,1994.32,Store
2025-00381,2025-06-28,P004,C083,3,2643.81,1305.87,Phone
2025-00382,2025-12-02,P001,C198,3,3477.27,1719.6,Online
2025-00383,2025-06-29,P010,C114,5,1152.4,546.5,Online
2025-00384,2025-08-14,P001,C060,2,2318.18,1146.4,Phone
2025-00385,2025-07-11,P003,C194,1,587.94,324.81,Online
2025-00386,2025-01-28,P004,C159,2,1762.54,870.58,Store
2025-00387,2025-01-08,P006,C178,1,117.7,83.4,Store
2025-00388,2025-08-19,P008,C006,3,2214.72,1179.66,Online
2025-00389,2025-10-03,P004,C053,5,4406.35,2176.45,Phone
2025-00390,2025-05-13,P009,C124,5,245.05,171.0,Phone
2025-00391,2025-03-14,P012,C179,1,1058.18,682.96,Store
2025-00392,2025-10-26,P011,C135,1,960.43,498.58,Store
2025-00393,2025-03-29,P001,C073,2,2318.18,1146.4,Phone
2025-00394,2025-11-13,P005,C014,4,4097.12,2830.12,Phone
2025-00395,2025-01-05,P002,C100,3,2918.16,1716.93,Phone
2025-00396,2025-12-04,P006,C028,1,117.7,83.4,Store
2025-00397,2025-11-29,P007,C060,4,1215.92,684.12,Phone
2025-00398,2025-12-30,P002,C081,4,3890.88,2289.24,Phone
2025-00399,2025-09-30,P002,C048,2,1945.44,1144.62,Phone
2025-00400,2025-08-23,P009,C183,1,49.01,34.2,Online
2025-00401,2025-05-07,P009,C079,3,147.03,102.6,Store
2025-00402,2025-07-21,P012,C041,1,1058.18,682.96,Store
2025-00403,2025-12-17,P006,C091,3,353.1,250.2,Online
2025-00404,2025-09-14,P005,C016,3,3072.84,2122.59,Store
2025-00405,2025-01-16,P009,C072,2,98.02,68.4,Online
2025-00406,2025-06-24,P007,C169,2,607.96,342.06,Online
2025-00407,2025-07-15,P009,C174,5,245.05,171.0,Phone
2025-00408,2025-12-18,P004,C107,2,1762.54,870.58,Phone
2025-00409,2025-03-20,P007,C080,5,1519.9,855.15,Store
2025-00410,2025-08-18,P009,C034,2,98.02,68.4,Phone
2025-00411,2025-03-12,P010,C139,2,460.96,218.6,Online
2025-00412,2025-06-08,P012,C181,5,5290.9,3414.8,Online
2025-00413,2025-08-09,P003,C168,5,2939.7,1624.05,Online
2025-00414,2025-06-12,P002,C143,5,4863.6,2861.55,Phone
2025-00415,2025-03-02,P003,C082,2,1175.88,649.62,Phone
2025-00416,2025-01-16,P006,C106,4,470.8,333.6,Store
